#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,1500.0,3540.0,3580.0
1,4050.0,5130.0,5420.0
2,5006.66666667,5620.0,6180.0
3,5720.0,5805.0,6875.0
4,6476.0,6156.0,7448.0
5,6570.0,6436.66666667,7916.66666667
6,7057.14285714,6582.85714286,8145.71428571
7,7205.0,6732.5,8542.5
8,7493.33333333,6866.66666667,8424.44444444
9,7608.0,7004.0,8644.0
10,7734.54545455,7087.27272727,8801.81818182
11,7760.0,7161.66666667,8906.66666667
12,7833.84615385,7249.23076923,9024.61538462
13,7894.28571429,7374.28571429,9188.57142857
14,7993.33333333,7512.0,9218.66666667
15,8065.0,7612.5,9261.25
16,8109.41176471,7604.70588235,9204.70588235
17,8147.77777778,7662.22222222,9245.55555556
18,8195.78947368,7746.31578947,9310.52631579
19,8237.0,7782.0,9343.0
20,8292.38095238,7806.66666667,9360.95238095
21,8313.63636364,7857.27272727,9510.0
22,8274.7826087,7934.7826087,9529.56521739
23,8290.83333333,7989.16666667,9567.5
24,8316.0,8027.2,9578.4
25,8343.07692308,8026.15384615,9571.53846154
26,8382.96296296,7975.55555556,9531.11111111
27,8370.0,8005.0,9477.14285714
28,8406.20689655,8009.65517241,9528.27586207
29,8393.33333333,8016.66666667,9494.0
30,8421.93548387,8019.35483871,9466.4516129
31,8349.375,8058.75,9517.5
32,8362.42424242,8068.48484848,9564.24242424
33,8380.0,8078.82352941,9525.88235294
34,8394.28571429,8094.28571429,9492.0
35,8403.33333333,8097.77777778,9504.44444444
36,8427.02702703,8109.18918919,9483.78378378
37,8442.63157895,8104.73684211,9464.73684211
38,8450.25641026,8112.30769231,9446.66666667
39,8441.5,8130.0,9498.0
40,8452.19512195,8116.58536585,9470.24390244
41,8471.9047619,8120.47619048,9435.23809524
42,8480.93023256,8125.11627907,9359.06976744
43,8469.09090909,8132.72727273,9330.90909091
44,8490.66666667,8140.44444444,9331.55555556
45,8495.2173913,8130.43478261,9295.2173913
46,8505.53191489,8132.34042553,9280.0
47,8509.58333333,8139.58333333,9294.16666667
48,8499.59183673,8114.28571429,9281.2244898
49,8509.6,8115.2,9296.4
50,8520.39215686,8144.70588235,9287.05882353
51,8527.69230769,8141.92307692,9295.76923077
52,8511.69811321,8142.26415094,9267.9245283
53,8501.48148148,8128.14814815,9210.0
54,8512.72727273,8125.09090909,9122.90909091
55,8516.42857143,8120.71428571,9124.28571429
56,8522.10526316,8113.33333333,9105.61403509
57,8531.03448276,8105.51724138,9096.89655172
58,8455.59322034,7979.66101695,9085.42372881
59,8325.33333333,7857.33333333,9077.33333333
60,8199.3442623,7739.01639344,9065.90163934
61,8077.41935484,7624.51612903,9057.74193548
62,7959.36507937,7513.65079365,9032.6984127
63,7845.0,7500.0,9015.9375
64,7785.53846154,7518.76923077,9000.30769231
65,7798.48484848,7543.93939394,8984.84848485
66,7804.7761194,7548.65671642,8974.62686567
67,7822.64705882,7557.94117647,8982.05882353
68,7831.88405797,7564.92753623,8988.4057971
69,7845.42857143,7572.28571429,8987.42857143
70,7865.35211268,7573.52112676,8951.83098592
71,7891.94444444,7575.83333333,8902.77777778
72,7898.35616438,7580.2739726,8884.65753425
73,7914.32432432,7585.94594595,8874.05405405
74,7920.53333333,7600.0,8874.93333333
75,7909.73684211,7613.94736842,8879.47368421
76,7914.80519481,7631.68831169,8878.96103896
77,7910.0,7638.71794872,8872.82051282
78,7923.79746835,7637.97468354,8880.0
79,7907.75,7642.75,8878.25
80,7879.01234568,7647.90123457,8876.54320988
81,6333.41463415,7647.07317073,8876.82926829
82,5306.02409639,7651.56626506,8865.78313253
83,4064.28571429,7605.95238095,8862.85714286
84,1906.35294118,7581.64705882,8858.11764706
85,1423.02325581,7583.02325581,8859.76744186
86,1411.72413793,7594.94252874,8860.0
87,1400.22727273,7613.86363636,8857.95454545
88,1389.21348315,7622.24719101,8857.07865169
89,1382.22222222,7632.88888889,8853.33333333
