#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,2660.0,2160.0,1980.0
1,4240.0,4100.0,3800.0
2,5146.66666667,4113.33333333,4013.33333333
3,5415.0,4400.0,4540.0
4,5444.0,4668.0,4700.0
5,5570.0,4860.0,4930.0
6,5625.71428571,4982.85714286,5071.42857143
7,5677.5,5122.5,5172.5
8,5691.11111111,5206.66666667,5244.44444444
9,5712.0,5236.0,5310.0
10,5707.27272727,5289.09090909,5349.09090909
11,5738.33333333,5340.0,5406.66666667
12,5760.0,5369.23076923,5455.38461538
13,5758.57142857,5417.14285714,5468.57142857
14,5758.66666667,5440.0,5514.66666667
15,5760.0,5475.0,5531.25
16,5795.29411765,5409.41176471,5545.88235294
17,5788.88888889,5467.77777778,5578.88888889
18,5777.89473684,5481.05263158,5595.78947368
19,5778.0,5488.0,5604.0
20,5780.0,5512.38095238,5607.61904762
21,5779.09090909,5542.72727273,5631.81818182
22,5781.73913043,5550.43478261,5633.91304348
23,5790.83333333,5554.16666667,5648.33333333
24,5800.0,5559.2,5654.4
25,5813.07692308,5573.07692308,5653.07692308
26,5808.14814815,5561.48148148,5653.33333333
27,5836.42857143,5582.14285714,5650.71428571
28,5855.17241379,5592.4137931,5653.79310345
29,5851.33333333,5598.0,5654.66666667
30,5857.41935484,5605.16129032,5666.4516129
31,5855.625,5611.25,5661.875
32,5858.78787879,5618.18181818,5664.84848485
33,5857.05882353,5626.47058824,5667.05882353
34,5854.85714286,5636.57142857,5667.42857143
35,5864.44444444,5643.88888889,5673.88888889
36,5856.21621622,5648.64864865,5682.16216216
37,5853.15789474,5647.89473684,5687.89473684
38,5847.69230769,5647.17948718,5692.82051282
39,5845.5,5649.0,5697.0
40,5853.17073171,5655.6097561,5641.46341463
41,5839.52380952,5662.85714286,5620.0
42,5835.34883721,5672.55813953,5625.58139535
43,5833.18181818,5679.54545455,5626.36363636
44,5832.0,5680.44444444,5634.66666667
45,5839.13043478,5687.82608696,5645.65217391
46,5842.12765957,5694.04255319,5651.06382979
47,5839.16666667,5691.66666667,5659.58333333
48,5840.0,5691.42857143,5667.75510204
49,5846.4,5692.4,5662.0
50,5849.41176471,5696.8627451,5665.09803922
51,5846.53846154,5683.46153846,5669.23076923
52,5848.30188679,5687.54716981,5675.8490566
53,5844.44444444,5692.96296296,5678.14814815
54,5844.0,5693.45454545,5684.0
55,5842.5,5698.92857143,5686.07142857
56,5844.21052632,5703.50877193,5687.01754386
57,5841.72413793,5706.89655172,5682.75862069
58,5841.69491525,5708.13559322,5682.37288136
59,5842.0,5707.66666667,5683.66666667
60,5838.68852459,5711.47540984,5690.16393443
61,5835.48387097,5715.48387097,5691.61290323
62,5836.82539683,5714.92063492,5696.50793651
63,5835.9375,5716.875,5698.4375
64,5834.76923077,5723.69230769,5698.46153846
65,5837.87878788,5726.36363636,5694.84848485
66,5827.76119403,5728.35820896,5699.70149254
67,5822.05882353,5728.52941176,5701.47058824
68,5819.13043478,5728.4057971,5702.02898551
69,5818.0,5666.85714286,5705.42857143
70,5822.25352113,5605.07042254,5707.04225352
71,5819.44444444,5545.0,5707.22222222
72,5821.91780822,5486.57534247,5646.57534247
73,5820.27027027,5429.72972973,5587.56756757
74,5829.86666667,5374.4,5530.13333333
75,5842.36842105,5320.52631579,5474.21052632
76,5842.33766234,5271.94805195,5419.74025974
77,5846.66666667,5274.1025641,5366.66666667
78,5844.05063291,5280.25316456,5314.93670886
79,5841.0,5285.0,5264.5
80,5835.55555556,5293.33333333,5224.44444444
81,5834.87804878,5299.26829268,5264.3902439
82,5832.77108434,5308.43373494,5279.75903614
83,5807.14285714,5313.0952381,5284.28571429
84,89.8823529412,5318.58823529,5289.64705882
