#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,3140.0,3640.0,2960.0
1,5980.0,6730.0,5310.0
2,6193.33333333,8006.66666667,6620.0
3,7200.0,8915.0,7520.0
4,8040.0,9268.0,8048.0
5,8586.66666667,9550.0,8440.0
6,8837.14285714,9791.42857143,8740.0
7,9050.0,9957.5,8872.5
8,9266.66666667,10100.0,8948.88888889
9,9310.0,10174.0,8814.0
10,9227.27272727,10305.4545455,8863.63636364
11,9271.66666667,10413.3333333,8913.33333333
12,9312.30769231,10484.6153846,8983.07692308
13,9234.28571429,10527.1428571,8432.85714286
14,9234.66666667,10562.6666667,8500.0
15,9217.5,10620.0,8581.25
16,9235.29411765,10645.8823529,8510.58823529
17,9246.66666667,10641.1111111,8608.88888889
18,9212.63157895,10566.3157895,8678.94736842
19,9194.0,10592.0,8718.0
20,9180.0,10621.9047619,8778.0952381
21,9196.36363636,10636.3636364,8850.90909091
22,9233.91304348,10675.6521739,8792.17391304
23,9247.5,10670.8333333,8803.33333333
24,9235.2,10624.8,8831.2
25,9240.76923077,10655.3846154,8869.23076923
26,9255.55555556,10665.1851852,8785.92592593
27,9277.85714286,10650.7142857,8756.42857143
28,9291.72413793,10620.6896552,8770.34482759
29,9292.66666667,10621.3333333,8768.0
30,9299.35483871,10646.4516129,8809.67741935
31,9311.875,10603.125,8820.625
32,9244.84848485,10624.2424242,8857.57575758
33,9245.29411765,10637.0588235,8842.94117647
34,9243.42857143,10645.1428571,8883.42857143
35,9192.22222222,10667.7777778,8885.55555556
36,9064.32432432,10691.3513514,8905.94594595
37,9085.78947368,10705.7894737,8922.10526316
38,9100.51282051,10717.4358974,8917.94871795
39,9078.0,10565.5,8946.5
40,9089.75609756,10339.0243902,8982.92682927
41,9073.33333333,10123.3333333,8972.85714286
42,9104.18604651,9917.6744186,8966.97674419
43,9122.27272727,9721.36363636,8965.45454545
44,9129.77777778,9533.77777778,8985.77777778
45,9143.91304348,9393.47826087,9020.43478261
46,9026.80851064,9412.34042553,8931.91489362
47,8865.41666667,9476.25,8772.5
48,8710.6122449,9519.59183673,8619.59183673
49,8622.4,9580.8,8472.8
50,8676.07843137,9613.7254902,8331.76470588
51,8706.15384615,9669.23076923,8274.61538462
52,8733.20754717,9646.79245283,8251.69811321
53,8675.18518519,9665.92592593,8281.11111111
54,8686.54545455,9624.72727273,8346.54545455
55,8713.92857143,9638.92857143,8405.71428571
56,8727.71929825,9670.87719298,8392.28070175
57,8749.31034483,9692.4137931,8424.48275862
58,8756.61016949,9705.42372881,8463.38983051
59,8789.33333333,9725.0,8481.33333333
60,8814.09836066,9738.68852459,8505.90163934
61,8843.87096774,9738.38709677,8536.77419355
62,8869.20634921,9757.77777778,8566.98412698
63,8902.1875,9771.5625,8595.9375
64,8921.53846154,9705.53846154,8626.15384615
65,8950.60606061,9728.18181818,8610.3030303
66,8942.08955224,9741.79104478,8636.11940299
67,8950.29411765,9724.70588235,8622.64705882
68,8964.05797101,9731.01449275,8643.1884058
69,8986.85714286,9732.85714286,8639.71428571
70,9009.29577465,9745.91549296,8634.64788732
71,9030.55555556,9760.83333333,8651.38888889
72,9032.60273973,9777.53424658,8647.94520548
73,9045.13513514,9786.21621622,8665.67567568
74,9070.66666667,9802.66666667,8691.46666667
75,9068.94736842,9801.31578947,8692.63157895
76,9072.98701299,9819.48051948,8687.79220779
77,9095.12820513,9808.20512821,8701.28205128
78,9094.43037975,9826.58227848,8711.39240506
79,9110.75,9812.0,8724.75
80,9115.30864198,9825.92592593,8745.43209877
81,9129.51219512,9845.12195122,8768.7804878
82,9154.93975904,9857.34939759,8773.25301205
83,9161.66666667,9853.57142857,8780.47619048
84,9182.58823529,9867.52941176,8791.52941176
85,9198.13953488,9867.90697674,8802.79069767
86,9205.28735632,9769.42528736,8796.7816092
87,9216.59090909,9768.18181818,8808.86363636
88,9235.73033708,9763.37078652,8819.7752809
89,9233.11111111,9770.22222222,8833.77777778
90,9151.86813187,9681.97802198,7655.6043956
