"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms6",,,,"User:","nikolijo"
"Cmdline:","dstat -c -d -i -l -m -n -p -t -y --tcp --output dstat_memcached1_cpt28_rep1_r.csv",,,,"Date:","20 Nov 2017 15:01:11 UTC"

"total cpu usage",,,,,,"dsk/total",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"system","system",,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","4","7","12","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","time","int","csw","lis","act","syn","tim","clo"
8.078,11.930,58.381,1.233,20.379,0.0,28124.138,6570563.065,0.153,1304.018,0.025,0.050,0.130,0.200,117133312.0,15519744.0,229892096.0,1397321728.0,0.0,0.0,0.0,0.0,2.857,20-11 15:01:11,1556.221,1533.332,5.0,114.0,0.0,3.0,0.0
2.970,5.941,84.158,0.0,6.931,0.0,0.0,0.0,0.0,1193.0,0.0,0.050,0.130,0.200,117280768.0,15519744.0,229892096.0,1397174272.0,996054.0,13197092.0,0.0,0.0,0.0,20-11 15:01:12,1460.0,1340.0,5.0,170.0,0.0,3.0,0.0
2.0,5.0,89.0,0.0,4.0,0.0,0.0,8192.0,0.0,1220.0,0.0,0.040,0.120,0.200,117248000.0,15519744.0,229892096.0,1397207040.0,933669.0,12500753.0,0.0,0.0,0.0,20-11 15:01:13,1488.0,1288.0,5.0,170.0,0.0,3.0,0.0
2.0,5.0,89.0,0.0,4.0,0.0,0.0,0.0,0.0,1253.0,0.0,0.040,0.120,0.200,117280768.0,15519744.0,229892096.0,1397174272.0,932898.0,12499982.0,0.0,0.0,0.0,20-11 15:01:14,1522.0,1323.0,5.0,170.0,0.0,3.0,0.0
1.0,5.0,89.0,0.0,5.0,0.0,0.0,0.0,0.0,1136.0,0.0,0.040,0.120,0.200,117280768.0,15519744.0,229892096.0,1397174272.0,933117.0,12500201.0,0.0,0.0,0.0,20-11 15:01:15,1405.0,1243.0,5.0,170.0,0.0,2.0,0.0
2.020,4.040,86.869,3.030,4.040,0.0,0.0,40960.0,0.0,1210.0,0.0,0.040,0.120,0.200,117248000.0,15527936.0,229883904.0,1397207040.0,932815.0,12499899.0,0.0,0.0,0.0,20-11 15:01:16,1478.0,1297.0,5.0,170.0,0.0,2.0,0.0
2.0,5.0,89.0,0.0,4.0,0.0,0.0,0.0,0.0,1278.0,0.0,0.040,0.120,0.200,117239808.0,15527936.0,229892096.0,1397207040.0,933058.0,12500142.0,0.0,0.0,0.0,20-11 15:01:17,1546.0,1303.0,5.0,170.0,0.0,2.0,0.0
1.980,5.941,88.119,0.0,3.960,0.0,0.0,36864.0,0.0,1244.0,0.0,0.040,0.120,0.200,117272576.0,15527936.0,229892096.0,1397174272.0,933373.0,12499417.0,0.0,0.0,0.0,20-11 15:01:18,1512.0,1279.0,5.0,170.0,0.0,2.0,0.0
3.0,5.0,88.0,0.0,4.0,0.0,0.0,0.0,0.0,1493.0,0.0,0.040,0.120,0.200,117272576.0,15527936.0,229892096.0,1397174272.0,933570.0,12500654.0,0.0,0.0,0.0,20-11 15:01:19,1762.0,1408.0,5.0,170.0,0.0,2.0,0.0
3.0,6.0,86.0,0.0,5.0,0.0,0.0,0.0,0.0,1364.0,0.0,0.040,0.120,0.200,117239808.0,15527936.0,229892096.0,1397207040.0,932932.0,12500016.0,0.0,0.0,0.0,20-11 15:01:20,1633.0,1346.0,5.0,170.0,0.0,2.0,0.0
2.020,6.061,87.879,0.0,4.040,0.0,0.0,0.0,0.0,1223.0,0.0,0.040,0.120,0.200,117272576.0,15527936.0,229892096.0,1397174272.0,933280.0,12499324.0,0.0,0.0,0.0,20-11 15:01:21,1490.0,1299.0,5.0,170.0,0.0,2.0,0.0
1.980,4.950,85.149,1.980,5.941,0.0,0.0,12288.0,0.0,1112.0,0.0,0.040,0.120,0.200,117231616.0,15536128.0,229892096.0,1397207040.0,933163.0,12500247.0,0.0,0.0,0.0,20-11 15:01:22,1379.0,1234.0,5.0,170.0,0.0,2.0,0.0
