"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms6",,,,"User:","nikolijo"
"Cmdline:","dstat -c -d -i -l -m -n -p -t -y --tcp --output dstat_memcached1_cpt52_rep1_w.csv",,,,"Date:","20 Nov 2017 14:11:36 UTC"

"total cpu usage",,,,,,"dsk/total",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"system","system",,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","4","7","12","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","time","int","csw","lis","act","syn","tim","clo"
10.144,14.345,47.967,1.927,25.616,0.0,50696.789,11841445.021,0.275,1461.677,0.045,0.410,0.640,0.590,115441664.0,12038144.0,229785600.0,1402601472.0,0.0,0.0,0.0,0.0,2.975,20-11 14:11:36,1707.195,1695.837,5.0,314.0,0.0,3.0,0.0
15.152,20.202,10.101,0.0,54.545,0.0,0.0,0.0,0.0,940.0,0.0,0.410,0.640,0.590,115400704.0,12038144.0,229789696.0,1402638336.0,37186430.0,2452440.0,0.0,0.0,0.0,20-11 14:11:37,1156.0,516.0,5.0,314.0,0.0,3.0,0.0
14.141,24.242,4.040,0.0,57.576,0.0,0.0,8192.0,0.0,884.0,0.0,0.460,0.640,0.590,115859456.0,12038144.0,229789696.0,1402179584.0,36755956.0,2400460.0,2.0,0.0,0.0,20-11 14:11:38,1067.0,491.0,5.0,314.0,0.0,3.0,0.0
12.871,21.782,2.970,0.0,62.376,0.0,0.0,0.0,0.0,959.0,0.0,0.460,0.640,0.590,115662848.0,12038144.0,229789696.0,1402376192.0,38418969.0,2533216.0,1.0,0.0,0.0,20-11 14:11:39,1160.0,355.0,5.0,314.0,0.0,3.0,0.0
15.152,18.182,2.020,0.0,64.646,0.0,0.0,0.0,0.0,960.0,0.0,0.460,0.640,0.590,115662848.0,12038144.0,229789696.0,1402376192.0,37845819.0,2495456.0,2.0,0.0,0.0,20-11 14:11:40,1167.0,336.0,5.0,314.0,0.0,3.0,0.0
15.0,20.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,1031.0,0.0,0.460,0.640,0.590,115531776.0,12038144.0,229789696.0,1402507264.0,38322828.0,2526926.0,1.0,0.0,0.0,20-11 14:11:41,1227.0,283.0,5.0,314.0,0.0,3.0,0.0
15.152,19.192,2.020,0.0,63.636,0.0,0.0,40960.0,0.0,1082.0,0.0,0.460,0.640,0.590,115892224.0,12046336.0,229781504.0,1402146816.0,37650326.0,2482526.0,2.0,0.0,0.0,20-11 14:11:42,1273.0,273.0,5.0,314.0,0.0,3.0,0.0
13.861,22.772,0.990,0.0,62.376,0.0,0.0,0.0,0.0,1073.0,0.0,0.460,0.640,0.590,115859456.0,12046336.0,229781504.0,1402179584.0,38822199.0,2559856.0,1.0,0.0,0.0,20-11 14:11:43,1282.0,281.0,5.0,314.0,0.0,2.0,0.0
15.0,22.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,1017.0,0.0,0.460,0.640,0.590,115720192.0,12046336.0,229789696.0,1402310656.0,37926284.0,2500878.0,2.0,0.0,0.0,20-11 14:11:44,1208.0,293.0,5.0,314.0,0.0,2.0,0.0
15.0,23.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,1028.0,0.0,0.500,0.650,0.590,115490816.0,12046336.0,229789696.0,1402540032.0,38456247.0,2539136.0,1.0,0.0,0.0,20-11 14:11:45,1229.0,293.0,5.0,314.0,0.0,2.0,0.0
14.0,22.0,1.0,0.0,63.0,0.0,0.0,0.0,0.0,1026.0,0.0,0.500,0.650,0.590,115851264.0,12046336.0,229789696.0,1402179584.0,38367554.0,2526556.0,2.0,0.0,0.0,20-11 14:11:46,1225.0,284.0,5.0,314.0,0.0,2.0,0.0
14.0,22.0,1.0,0.0,63.0,0.0,0.0,0.0,0.0,1007.0,0.0,0.500,0.650,0.590,115589120.0,12046336.0,229789696.0,1402441728.0,39162838.0,2582500.0,1.0,0.0,0.0,20-11 14:11:47,1208.0,268.0,5.0,314.0,0.0,2.0,0.0
13.861,20.792,0.990,0.0,64.356,0.0,0.0,0.0,0.0,968.0,0.0,0.500,0.650,0.590,115851264.0,12046336.0,229789696.0,1402179584.0,38061726.0,2509832.0,2.0,0.0,0.0,20-11 14:11:48,1167.0,289.0,5.0,314.0,0.0,2.0,0.0
