"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms3",,,,"User:","nikolijo"
"Cmdline:","dstat -c -d -i -l -m -n -p -t -y --tcp --output dstat_memtier3_cpt28_rep2_r.csv",,,,"Date:","20 Nov 2017 15:03:18 UTC"

"total cpu usage",,,,,,"dsk/total",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"system","system",,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","4","7","12","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","time","int","csw","lis","act","syn","tim","clo"
5.100,6.747,84.301,0.832,3.020,0.0,28512.531,9929654.341,0.105,1069.330,0.025,0.110,0.130,0.200,112996352.0,16814080.0,230989824.0,3248787456.0,0.0,0.0,0.0,0.0,4.284,20-11 15:03:18,2089.210,2608.510,3.0,58.0,0.0,58.0,0.0
2.513,3.015,92.462,0.0,2.010,0.0,0.0,0.0,0.0,485.0,0.0,0.110,0.130,0.200,113168384.0,16814080.0,230993920.0,3248611328.0,5027214.0,376080.0,0.0,0.0,0.0,20-11 15:03:19,1307.0,1710.0,3.0,58.0,0.0,58.0,0.0
1.515,2.020,95.455,0.0,1.010,0.0,0.0,0.0,0.0,414.0,0.0,0.100,0.130,0.190,113102848.0,16814080.0,230993920.0,3248676864.0,4443569.0,333426.0,0.0,0.0,0.0,20-11 15:03:20,1273.0,1677.0,3.0,58.0,0.0,59.0,0.0
1.990,2.488,94.030,0.0,1.493,0.0,0.0,0.0,0.0,398.0,0.0,0.100,0.130,0.190,113135616.0,16814080.0,230993920.0,3248644096.0,4457430.0,333189.0,0.0,0.0,0.0,20-11 15:03:21,1197.0,1587.0,3.0,58.0,0.0,59.0,0.0
1.500,2.500,93.0,2.0,1.0,0.0,0.0,49152.0,0.0,382.0,0.0,0.100,0.130,0.190,113094656.0,16822272.0,230993920.0,3248676864.0,4443843.0,332136.0,0.0,0.0,0.0,20-11 15:03:22,1144.0,1497.0,3.0,58.0,0.0,59.0,0.0
2.0,2.0,95.0,0.0,1.0,0.0,0.0,0.0,0.0,404.0,0.0,0.100,0.130,0.190,113192960.0,16822272.0,230993920.0,3248578560.0,4469993.0,334674.0,0.0,0.0,0.0,20-11 15:03:23,1189.0,1549.0,3.0,58.0,0.0,59.0,0.0
1.500,2.500,95.0,0.0,1.0,0.0,0.0,0.0,0.0,382.0,0.0,0.100,0.130,0.190,113061888.0,16822272.0,230993920.0,3248709632.0,4444018.0,332190.0,0.0,0.0,0.0,20-11 15:03:24,1149.0,1493.0,3.0,58.0,0.0,59.0,0.0
1.990,2.488,94.527,0.0,0.995,0.0,0.0,0.0,0.0,368.0,0.0,0.100,0.130,0.190,113029120.0,16822272.0,230993920.0,3248742400.0,4444235.0,332531.0,0.0,0.0,0.0,20-11 15:03:25,1137.0,1518.0,3.0,58.0,0.0,59.0,0.0
1.515,2.020,95.455,0.0,1.010,0.0,0.0,0.0,0.0,392.0,0.0,0.100,0.130,0.190,113061888.0,16822272.0,230993920.0,3248709632.0,4443062.0,332118.0,0.0,0.0,0.0,20-11 15:03:26,1203.0,1537.0,3.0,58.0,0.0,59.0,0.0
