"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms3",,,,"User:","nikolijo"
"Cmdline:","dstat -c -d -i -l -m -n -p -t -y --tcp --output dstat_memtier3_cpt5_rep3_w.csv",,,,"Date:","20 Nov 2017 13:27:29 UTC"

"total cpu usage",,,,,,"dsk/total",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"system","system",,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","4","7","12","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","time","int","csw","lis","act","syn","tim","clo"
5.240,8.105,78.561,4.620,3.474,0.0,216876.589,75601794.497,0.801,1460.201,0.192,0.410,0.380,0.320,110387200.0,9592832.0,229511168.0,3260096512.0,0.0,0.0,0.0,0.0,5.157,20-11 13:27:29,2831.574,4300.991,3.0,12.0,0.0,12.0,0.0
5.473,7.960,81.095,0.0,5.473,0.0,0.0,0.0,0.0,2282.0,0.0,0.410,0.380,0.320,110157824.0,9592832.0,229515264.0,3260321792.0,789342.0,11965407.0,1.0,0.0,0.0,20-11 13:27:30,3922.0,6073.0,3.0,12.0,0.0,12.0,0.0
5.500,6.500,84.500,0.0,3.500,0.0,0.0,0.0,0.0,2039.0,0.0,0.410,0.380,0.320,110432256.0,9592832.0,229515264.0,3260047360.0,780314.0,11833613.0,1.0,0.0,0.0,20-11 13:27:31,3685.0,5560.0,3.0,12.0,0.0,12.0,0.0
5.970,7.960,82.090,0.0,3.980,0.0,0.0,0.0,0.0,2113.0,0.0,0.410,0.380,0.320,110497792.0,9592832.0,229515264.0,3259981824.0,860160.0,13039406.0,1.0,0.0,0.0,20-11 13:27:32,3836.0,5887.0,3.0,12.0,0.0,12.0,0.0
6.061,8.081,80.808,1.010,4.040,0.0,0.0,40960.0,0.0,1941.0,0.0,0.410,0.380,0.320,110141440.0,9601024.0,229515264.0,3260329984.0,885705.0,13432175.0,1.0,0.0,0.0,20-11 13:27:33,3646.0,5827.0,3.0,12.0,0.0,13.0,0.0
6.468,8.458,79.104,0.0,5.970,0.0,0.0,0.0,0.0,1976.0,0.0,0.370,0.380,0.320,110235648.0,9601024.0,229515264.0,3260235776.0,891536.0,13526432.0,0.0,0.0,0.0,20-11 13:27:34,3740.0,5924.0,3.0,12.0,0.0,13.0,0.0
6.500,9.0,80.0,0.0,4.500,0.0,0.0,16384.0,0.0,2086.0,0.0,0.370,0.380,0.320,110264320.0,9601024.0,229515264.0,3260207104.0,877772.0,13306554.0,1.0,0.0,0.0,20-11 13:27:35,3835.0,5839.0,3.0,12.0,0.0,13.0,0.0
5.528,8.040,82.915,0.0,3.518,0.0,0.0,0.0,0.0,1984.0,0.0,0.370,0.380,0.320,110493696.0,9601024.0,229515264.0,3259977728.0,829450.0,12579385.0,1.0,0.0,0.0,20-11 13:27:36,3615.0,5440.0,3.0,12.0,0.0,13.0,0.0
7.0,8.0,79.0,0.0,6.0,0.0,0.0,0.0,0.0,2040.0,0.0,0.370,0.380,0.320,110161920.0,9601024.0,229515264.0,3260309504.0,832188.0,12620933.0,1.0,0.0,0.0,20-11 13:27:37,3705.0,5530.0,3.0,12.0,0.0,13.0,0.0
4.500,5.500,42.500,0.0,47.500,0.0,0.0,0.0,0.0,1178.0,0.0,0.370,0.380,0.320,110129152.0,9601024.0,229515264.0,3260342272.0,466332.0,7071605.0,2.0,0.0,0.0,20-11 13:27:38,2251.0,3146.0,3.0,12.0,0.0,13.0,0.0
6.468,7.960,78.607,1.990,4.975,0.0,0.0,28672.0,0.0,2067.0,0.0,0.340,0.370,0.320,110329856.0,9609216.0,229507072.0,3260141568.0,844028.0,12794672.0,2.0,0.0,0.0,20-11 13:27:39,3693.0,5580.0,3.0,12.0,0.0,13.0,0.0
6.030,8.543,77.889,0.0,7.538,0.0,0.0,0.0,0.0,2027.0,0.0,0.340,0.370,0.320,110227456.0,9609216.0,229515264.0,3260235776.0,774246.0,11747298.0,1.0,0.0,0.0,20-11 13:27:40,3458.0,5165.0,3.0,12.0,0.0,12.0,0.0
6.500,9.0,77.500,0.0,7.0,0.0,0.0,0.0,0.0,2033.0,0.0,0.340,0.370,0.320,110223360.0,9609216.0,229515264.0,3260239872.0,795336.0,12061727.0,1.0,0.0,0.0,20-11 13:27:41,3620.0,5458.0,3.0,12.0,0.0,12.0,0.0
5.970,7.463,80.597,0.0,5.970,0.0,0.0,0.0,0.0,1783.0,0.0,0.340,0.370,0.320,110186496.0,9609216.0,229515264.0,3260276736.0,703724.0,10666205.0,2.0,0.0,0.0,20-11 13:27:42,2689.0,4264.0,3.0,12.0,0.0,12.0,0.0
6.533,9.045,78.392,0.0,6.030,0.0,0.0,0.0,0.0,2018.0,0.0,0.340,0.370,0.320,110161920.0,9609216.0,229515264.0,3260301312.0,874442.0,13261399.0,1.0,0.0,0.0,20-11 13:27:43,3608.0,5678.0,3.0,12.0,0.0,12.0,0.0
6.965,9.950,76.119,0.0,6.965,0.0,0.0,0.0,0.0,1954.0,0.0,0.400,0.380,0.320,110256128.0,9609216.0,229515264.0,3260207104.0,806140.0,12231506.0,3.0,0.0,0.0,20-11 13:27:44,3396.0,5177.0,3.0,12.0,0.0,12.0,0.0
8.543,9.548,71.357,1.005,9.548,0.0,0.0,12288.0,0.0,2020.0,0.0,0.400,0.380,0.320,110379008.0,9617408.0,229515264.0,3260076032.0,760852.0,11538722.0,1.0,0.0,0.0,20-11 13:27:45,3530.0,5226.0,3.0,12.0,0.0,12.0,0.0
8.0,9.0,74.0,0.0,9.0,0.0,0.0,0.0,0.0,1814.0,0.0,0.400,0.380,0.320,110403584.0,9617408.0,229519360.0,3260047360.0,730298.0,11076336.0,1.0,0.0,0.0,20-11 13:27:46,3220.0,4942.0,3.0,12.0,0.0,12.0,0.0
8.0,10.0,73.0,0.0,9.0,0.0,0.0,0.0,0.0,1870.0,0.0,0.400,0.380,0.320,110309376.0,9617408.0,229519360.0,3260141568.0,763952.0,11581389.0,1.0,0.0,0.0,20-11 13:27:47,3428.0,5219.0,3.0,12.0,0.0,12.0,0.0
8.458,10.945,70.647,0.0,9.950,0.0,0.0,0.0,0.0,1946.0,0.0,0.400,0.380,0.320,110211072.0,9617408.0,229519360.0,3260239872.0,763590.0,11583238.0,2.0,0.0,0.0,20-11 13:27:48,3461.0,5097.0,3.0,12.0,0.0,12.0,0.0
7.035,9.548,75.377,0.0,8.040,0.0,0.0,0.0,0.0,1899.0,0.0,0.370,0.370,0.320,110276608.0,9617408.0,229519360.0,3260174336.0,752638.0,11419575.0,1.0,0.0,0.0,20-11 13:27:49,3376.0,5036.0,3.0,12.0,0.0,12.0,0.0
7.0,8.500,79.0,0.500,5.0,0.0,0.0,61440.0,0.0,2363.0,0.0,0.370,0.370,0.320,110243840.0,9625600.0,229511168.0,3260207104.0,943410.0,14296567.0,2.0,0.0,0.0,20-11 13:27:50,4104.0,6168.0,3.0,12.0,0.0,12.0,0.0
6.533,8.040,79.397,0.0,6.030,0.0,0.0,0.0,0.0,2152.0,0.0,0.370,0.370,0.320,110301184.0,9625600.0,229519360.0,3260141568.0,825758.0,12534119.0,1.0,0.0,0.0,20-11 13:27:51,3658.0,5421.0,3.0,12.0,0.0,12.0,0.0
