"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms7",,,,"User:","nikolijo"
"Cmdline:","dstat -c -d -i -l -m -n -p -t -y --tcp --output dstat_memcached2_cpt13_rep3_w.csv",,,,"Date:","20 Nov 2017 18:31:49 UTC"

"total cpu usage",,,,,,"dsk/total",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"system","system",,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","4","7","12","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","time","int","csw","lis","act","syn","tim","clo"
3.206,6.184,86.004,2.735,1.870,0.0,119819.409,82385.607,0.689,680.830,0.107,0.170,0.120,0.140,109920256.0,10702848.0,229715968.0,1409527808.0,0.0,0.0,0.0,0.0,3.586,20-11 18:31:49,954.922,792.069,5.0,2.0,0.0,2.0,0.0
0.990,1.980,96.040,0.0,0.990,0.0,0.0,0.0,0.0,343.0,0.0,0.150,0.110,0.130,110022656.0,10702848.0,229720064.0,1409421312.0,2278888.0,151528.0,1.0,0.0,0.0,20-11 18:31:50,613.0,396.0,5.0,15.0,0.0,2.0,0.0
2.0,4.0,90.0,0.0,4.0,0.0,0.0,0.0,0.0,985.0,0.0,0.150,0.110,0.130,110055424.0,10702848.0,229720064.0,1409388544.0,6222085.0,412533.0,0.0,0.0,0.0,20-11 18:31:51,1255.0,1071.0,5.0,15.0,0.0,3.0,0.0
2.020,3.030,88.889,2.020,4.040,0.0,0.0,65536.0,0.0,1001.0,0.0,0.150,0.110,0.130,110014464.0,10711040.0,229720064.0,1409421312.0,6334649.0,416964.0,1.0,0.0,0.0,20-11 18:31:52,1268.0,1080.0,5.0,15.0,0.0,3.0,0.0
2.0,4.0,91.0,0.0,3.0,0.0,0.0,0.0,0.0,960.0,0.0,0.150,0.110,0.130,110047232.0,10711040.0,229720064.0,1409388544.0,6332437.0,418740.0,0.0,0.0,0.0,20-11 18:31:53,1228.0,1007.0,5.0,15.0,0.0,3.0,0.0
2.020,3.030,91.919,0.0,3.030,0.0,0.0,0.0,0.0,942.0,0.0,0.150,0.110,0.130,110047232.0,10711040.0,229720064.0,1409388544.0,6254906.0,412672.0,0.0,0.0,0.0,20-11 18:31:54,1211.0,1007.0,5.0,15.0,0.0,3.0,0.0
2.941,3.922,89.216,0.0,3.922,0.0,0.0,0.0,0.0,954.0,0.0,0.140,0.110,0.130,110047232.0,10711040.0,229720064.0,1409388544.0,6222778.0,410570.0,1.0,0.0,0.0,20-11 18:31:55,1225.0,1009.0,5.0,15.0,0.0,3.0,0.0
2.0,4.0,91.0,0.0,3.0,0.0,0.0,0.0,0.0,950.0,0.0,0.140,0.110,0.130,110047232.0,10711040.0,229720064.0,1409388544.0,6222583.0,410674.0,0.0,0.0,0.0,20-11 18:31:56,1218.0,989.0,5.0,15.0,0.0,3.0,0.0
1.980,3.960,85.149,4.950,3.960,0.0,0.0,12288.0,0.0,990.0,0.0,0.140,0.110,0.130,110006272.0,10719232.0,229720064.0,1409421312.0,6215784.0,410082.0,1.0,0.0,0.0,20-11 18:31:57,1256.0,1046.0,5.0,15.0,0.0,3.0,0.0
2.020,3.030,91.919,0.0,3.030,0.0,0.0,0.0,0.0,898.0,0.0,0.140,0.110,0.130,110039040.0,10719232.0,229720064.0,1409388544.0,6109370.0,402090.0,1.0,0.0,0.0,20-11 18:31:58,1166.0,950.0,5.0,15.0,0.0,3.0,0.0
