"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms7",,,,"User:","nikolijo"
"Cmdline:","dstat -c -d -i -l -m -n -p -t -y --tcp --output dstat_memcached2_cpt96_rep2_r.csv",,,,"Date:","20 Nov 2017 20:20:15 UTC"

"total cpu usage",,,,,,"dsk/total",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"system","system",,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","4","7","12","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","time","int","csw","lis","act","syn","tim","clo"
3.416,6.208,86.394,1.051,2.931,0.0,23094.885,19204.724,0.133,923.788,0.021,0.150,0.140,0.140,113045504.0,19836928.0,229953536.0,1397030912.0,0.0,0.0,0.0,0.0,3.116,20-11 20:20:15,1197.244,1068.240,5.0,2.0,0.0,2.0,0.0
0.0,1.010,97.980,0.0,1.010,0.0,0.0,0.0,0.0,232.0,0.0,0.150,0.140,0.140,113061888.0,19836928.0,229953536.0,1397014528.0,196386.0,2378742.0,0.0,0.0,0.0,20-11 20:20:16,500.0,475.0,5.0,98.0,0.0,2.0,0.0
2.0,6.0,88.0,0.0,4.0,0.0,0.0,0.0,0.0,1522.0,0.0,0.150,0.140,0.140,113094656.0,19836928.0,229953536.0,1396981760.0,972990.0,12996026.0,1.0,0.0,0.0,20-11 20:20:17,1789.0,1945.0,5.0,98.0,0.0,2.0,0.0
2.0,6.0,87.0,0.0,5.0,0.0,0.0,0.0,0.0,1538.0,0.0,0.150,0.140,0.140,113061888.0,19836928.0,229953536.0,1397014528.0,913913.0,12278805.0,0.0,0.0,0.0,20-11 20:20:18,1805.0,1954.0,5.0,98.0,0.0,2.0,0.0
2.0,5.0,88.0,0.0,5.0,0.0,0.0,0.0,0.0,1681.0,0.0,0.130,0.140,0.140,113061888.0,19836928.0,229953536.0,1397014528.0,888544.0,11794011.0,2.0,0.0,0.0,20-11 20:20:19,1949.0,2059.0,5.0,98.0,0.0,2.0,0.0
2.0,6.0,77.0,10.0,5.0,0.0,0.0,36864.0,0.0,2099.0,0.0,0.130,0.140,0.140,113061888.0,19845120.0,229945344.0,1397014528.0,953193.0,12839564.0,1.0,0.0,0.0,20-11 20:20:20,2366.0,2372.0,5.0,98.0,0.0,2.0,0.0
2.0,5.0,89.0,0.0,4.0,0.0,0.0,0.0,0.0,1506.0,0.0,0.130,0.140,0.140,113053696.0,19845120.0,229953536.0,1397014528.0,840751.0,11265139.0,0.0,0.0,0.0,20-11 20:20:21,1775.0,1711.0,5.0,98.0,0.0,2.0,0.0
1.961,3.922,91.176,0.0,2.941,0.0,0.0,0.0,0.0,961.0,0.0,0.130,0.140,0.140,113053696.0,19845120.0,229953536.0,1397014528.0,604098.0,7944119.0,1.0,0.0,0.0,20-11 20:20:22,1229.0,1060.0,5.0,98.0,0.0,2.0,0.0
2.020,5.051,88.889,0.0,4.040,0.0,0.0,0.0,0.0,1418.0,0.0,0.130,0.140,0.140,113053696.0,19845120.0,229953536.0,1397014528.0,919277.0,12420568.0,0.0,0.0,0.0,20-11 20:20:23,1686.0,1749.0,5.0,98.0,0.0,2.0,0.0
1.0,6.0,88.0,0.0,5.0,0.0,0.0,0.0,0.0,1393.0,0.0,0.120,0.140,0.140,113053696.0,19845120.0,229953536.0,1397014528.0,884194.0,11842878.0,0.0,0.0,0.0,20-11 20:20:24,1662.0,1667.0,5.0,98.0,0.0,2.0,0.0
2.020,4.040,90.909,0.0,3.030,0.0,0.0,0.0,0.0,1146.0,0.0,0.120,0.140,0.140,113053696.0,19845120.0,229953536.0,1397014528.0,811128.0,10867092.0,0.0,0.0,0.0,20-11 20:20:25,1414.0,1244.0,5.0,98.0,0.0,2.0,0.0
2.0,5.0,87.0,2.0,4.0,0.0,0.0,12288.0,0.0,1104.0,0.0,0.120,0.140,0.140,113045504.0,19853312.0,229953536.0,1397014528.0,783189.0,10486593.0,0.0,0.0,0.0,20-11 20:20:26,1373.0,1241.0,5.0,98.0,0.0,2.0,0.0
2.020,5.051,88.889,0.0,4.040,0.0,0.0,0.0,0.0,1447.0,0.0,0.120,0.140,0.140,113078272.0,19853312.0,229953536.0,1396981760.0,906970.0,12149574.0,0.0,0.0,0.0,20-11 20:20:27,1714.0,1664.0,5.0,98.0,0.0,2.0,0.0
2.941,4.902,87.255,0.0,4.902,0.0,0.0,0.0,0.0,1265.0,0.0,0.120,0.140,0.140,113078272.0,19853312.0,229953536.0,1396981760.0,826370.0,11072654.0,1.0,0.0,0.0,20-11 20:20:28,1532.0,1478.0,5.0,98.0,0.0,2.0,0.0
2.0,6.0,88.0,0.0,4.0,0.0,0.0,0.0,0.0,1303.0,0.0,0.110,0.130,0.140,113045504.0,19853312.0,229953536.0,1397014528.0,828151.0,11093155.0,0.0,0.0,0.0,20-11 20:20:29,1575.0,1541.0,5.0,98.0,0.0,2.0,0.0
2.020,5.051,88.889,0.0,4.040,0.0,0.0,12288.0,0.0,1453.0,0.0,0.110,0.130,0.140,113045504.0,19853312.0,229953536.0,1397014528.0,926632.0,12407396.0,0.0,0.0,0.0,20-11 20:20:30,1718.0,1679.0,5.0,98.0,0.0,2.0,0.0
1.0,5.0,87.0,3.0,4.0,0.0,0.0,28672.0,0.0,1301.0,0.0,0.110,0.130,0.140,113045504.0,19861504.0,229945344.0,1397014528.0,858026.0,11459888.0,2.0,0.0,0.0,20-11 20:20:31,1574.0,1536.0,5.0,98.0,0.0,2.0,0.0
1.980,4.950,89.109,0.0,3.960,0.0,0.0,0.0,0.0,1222.0,0.0,0.110,0.130,0.140,113037312.0,19861504.0,229953536.0,1397014528.0,756984.0,10140204.0,0.0,0.0,0.0,20-11 20:20:32,1486.0,1434.0,5.0,98.0,0.0,2.0,0.0
1.980,4.950,89.109,0.0,3.960,0.0,0.0,0.0,0.0,1180.0,0.0,0.110,0.130,0.140,113033216.0,19861504.0,229957632.0,1397014528.0,821289.0,11004133.0,0.0,0.0,0.0,20-11 20:20:33,1448.0,1295.0,5.0,98.0,0.0,2.0,0.0
