"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms1",,,,"User:","nikolijo"
"Cmdline:","dstat -c -d -i -l -m -n -p -t -y --tcp --output dstat_memtier1_cpt20_rep3_r.csv",,,,"Date:","20 Nov 2017 19:43:27 UTC"

"total cpu usage",,,,,,"dsk/total",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"system","system",,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","4","7","12","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","time","int","csw","lis","act","syn","tim","clo"
7.624,10.671,72.374,0.854,8.477,0.0,32590.769,11354669.496,0.072,1143.985,0.029,0.530,0.490,0.510,130207744.0,16306176.0,229806080.0,3225657344.0,0.0,0.0,0.000,0.0,5.765,20-11 19:43:27,2040.438,2103.848,3.0,3.0,0.0,43.0,0.0
10.891,12.376,71.782,0.0,4.950,0.0,0.0,0.0,0.0,1614.0,0.0,0.530,0.490,0.510,125292544.0,16306176.0,229814272.0,3230564352.0,13851394.0,1046790.0,0.0,0.0,36.0,20-11 19:43:28,2734.0,2948.0,3.0,43.0,0.0,43.0,0.0
6.533,8.543,79.397,0.0,5.528,0.0,0.0,0.0,0.0,1680.0,0.0,0.530,0.490,0.510,125300736.0,16306176.0,229822464.0,3230547968.0,15640402.0,1166662.0,1.0,0.0,0.0,20-11 19:43:29,2769.0,2917.0,3.0,43.0,0.0,43.0,0.0
7.500,9.0,77.0,0.500,6.0,0.0,0.0,36864.0,0.0,1750.0,0.0,0.530,0.490,0.510,125378560.0,16314368.0,229822464.0,3230461952.0,15863056.0,1185074.0,2.0,0.0,0.0,20-11 19:43:30,2805.0,2875.0,3.0,43.0,0.0,43.0,0.0
7.0,10.0,76.0,0.0,7.0,0.0,0.0,0.0,0.0,1928.0,0.0,0.560,0.500,0.520,125362176.0,16314368.0,229822464.0,3230478336.0,16855352.0,1259042.0,2.0,0.0,0.0,20-11 19:43:31,3104.0,3127.0,3.0,43.0,0.0,42.0,0.0
7.035,9.548,74.874,0.0,8.543,0.0,0.0,0.0,0.0,2245.0,0.0,0.560,0.500,0.520,125501440.0,16314368.0,229822464.0,3230339072.0,16662362.0,1245098.0,2.0,0.0,0.0,20-11 19:43:32,3330.0,3080.0,3.0,43.0,0.0,42.0,0.0
7.500,10.0,76.500,0.0,6.0,0.0,0.0,0.0,0.0,1879.0,0.0,0.560,0.500,0.520,125419520.0,16314368.0,229822464.0,3230420992.0,17306734.0,1292186.0,2.0,0.0,0.0,20-11 19:43:33,3031.0,3019.0,3.0,43.0,0.0,42.0,0.0
8.458,10.945,75.124,0.0,5.473,0.0,0.0,0.0,0.0,1728.0,0.0,0.560,0.500,0.520,125362176.0,16314368.0,229822464.0,3230478336.0,16455746.0,1227806.0,2.0,0.0,0.0,20-11 19:43:34,2927.0,2841.0,3.0,43.0,0.0,42.0,0.0
7.0,9.500,77.0,0.500,6.0,0.0,0.0,12288.0,0.0,1922.0,0.0,0.560,0.500,0.520,125304832.0,16322560.0,229814272.0,3230535680.0,17265444.0,1290576.0,2.0,0.0,0.0,20-11 19:43:35,3231.0,3217.0,3.0,43.0,0.0,42.0,0.0
7.538,10.553,72.864,0.0,9.045,0.0,0.0,0.0,0.0,2174.0,0.0,0.520,0.490,0.510,125526016.0,16322560.0,229822464.0,3230306304.0,16725999.0,1250967.0,1.0,0.0,0.0,20-11 19:43:36,3349.0,3063.0,3.0,43.0,0.0,42.0,0.0
7.500,9.0,77.0,0.0,6.500,0.0,0.0,0.0,0.0,1662.0,0.0,0.520,0.490,0.510,125427712.0,16322560.0,229822464.0,3230404608.0,16360812.0,1220444.0,2.0,0.0,0.0,20-11 19:43:37,2705.0,2762.0,3.0,43.0,0.0,42.0,0.0
7.538,9.548,76.884,0.0,6.030,0.0,0.0,0.0,0.0,1676.0,0.0,0.520,0.490,0.510,125468672.0,16322560.0,229822464.0,3230363648.0,16361833.0,1223765.0,1.0,0.0,0.0,20-11 19:43:38,2654.0,2767.0,3.0,43.0,0.0,42.0,0.0
7.463,10.448,75.622,0.0,6.468,0.0,0.0,0.0,0.0,1587.0,0.0,0.520,0.490,0.510,125370368.0,16322560.0,229822464.0,3230461952.0,16047916.0,1198328.0,1.0,0.0,0.0,20-11 19:43:39,2660.0,2792.0,3.0,43.0,0.0,42.0,0.0
8.500,11.0,70.500,0.0,10.0,0.0,0.0,0.0,0.0,1377.0,0.0,0.520,0.490,0.510,125394944.0,16322560.0,229822464.0,3230437376.0,13747897.0,1027189.0,1.0,0.0,0.0,20-11 19:43:40,2332.0,2529.0,3.0,43.0,0.0,42.0,0.0
