"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms1",,,,"User:","nikolijo"
"Cmdline:","dstat -c -d -i -l -m -n -p -t -y --tcp --output dstat_memtier1_cpt78_rep3_w.csv",,,,"Date:","20 Nov 2017 19:10:22 UTC"

"total cpu usage",,,,,,"dsk/total",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"system","system",,"tcp sockets",,,,
"usr","sys","idl","wai","hiq","siq","read","writ","4","7","12","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","time","int","csw","lis","act","syn","tim","clo"
7.954,11.227,70.257,1.166,9.396,0.0,49606.358,17280759.117,0.110,1119.096,0.044,1.140,1.080,0.950,128536576.0,13701120.0,229683200.0,3230056448.0,0.0,0.0,0.001,0.0,5.849,20-11 19:10:22,2000.500,2053.524,3.0,81.0,1.0,159.0,0.0
15.657,23.737,37.879,0.0,22.727,0.0,0.0,0.0,0.0,1355.0,0.0,1.140,1.080,0.950,125800448.0,13701120.0,229683200.0,3232792576.0,1503698.0,22722720.0,2.0,0.0,18.0,20-11 19:10:23,2187.0,1887.0,3.0,159.0,1.0,159.0,0.0
14.428,20.398,40.796,0.0,24.378,0.0,0.0,0.0,0.0,1277.0,0.0,1.140,1.080,0.950,125898752.0,13701120.0,229695488.0,3232681984.0,1485666.0,22530954.0,1.0,0.0,0.0,20-11 19:10:24,2130.0,1869.0,3.0,159.0,1.0,159.0,0.0
15.920,19.900,38.308,1.493,24.378,0.0,0.0,36864.0,0.0,1338.0,0.0,1.140,1.080,0.950,126263296.0,13709312.0,229695488.0,3232309248.0,1594980.0,24191282.0,3.0,0.0,0.0,20-11 19:10:25,2304.0,1994.0,3.0,159.0,1.0,159.0,0.0
14.500,19.500,39.500,0.0,26.500,0.0,0.0,0.0,0.0,1314.0,0.0,1.140,1.080,0.950,126382080.0,13709312.0,229695488.0,3232190464.0,1644996.0,24860820.0,2.0,0.0,0.0,20-11 19:10:26,2187.0,1887.0,3.0,159.0,1.0,159.0,0.0
14.573,24.121,36.683,0.0,24.623,0.0,0.0,0.0,0.0,1466.0,0.0,1.130,1.080,0.950,126369792.0,13709312.0,229695488.0,3232202752.0,1614138.0,24479982.0,5.0,0.0,0.0,20-11 19:10:27,2271.0,1746.0,3.0,159.0,1.0,159.0,0.0
15.0,24.500,37.500,0.0,23.0,0.0,0.0,0.0,0.0,1474.0,0.0,1.130,1.080,0.950,126353408.0,13709312.0,229695488.0,3232219136.0,1499882.0,22747417.0,4.0,0.0,0.0,20-11 19:10:28,2373.0,1824.0,3.0,159.0,1.0,159.0,0.0
15.0,18.500,41.0,0.0,25.500,0.0,0.0,0.0,0.0,1420.0,0.0,1.130,1.080,0.950,126570496.0,13709312.0,229695488.0,3232002048.0,1558046.0,23716551.0,2.0,0.0,0.0,20-11 19:10:29,2246.0,1895.0,3.0,159.0,1.0,159.0,0.0
13.500,19.500,42.0,0.0,25.0,0.0,0.0,0.0,0.0,1197.0,0.0,1.130,1.080,0.950,126685184.0,13709312.0,229695488.0,3231887360.0,1513646.0,22865551.0,2.0,0.0,0.0,20-11 19:10:30,2002.0,1786.0,3.0,159.0,1.0,159.0,0.0
15.920,22.388,35.323,0.498,25.871,0.0,0.0,12288.0,0.0,1416.0,0.0,1.130,1.080,0.950,126603264.0,13717504.0,229687296.0,3231969280.0,1526966.0,23331821.0,0.0,0.0,0.0,20-11 19:10:31,2204.0,1751.0,3.0,159.0,1.0,159.0,0.0
13.930,17.910,41.791,0.0,26.368,0.0,0.0,0.0,0.0,1302.0,0.0,1.120,1.080,0.950,126533632.0,13717504.0,229695488.0,3232030720.0,1555826.0,23420772.0,2.0,0.0,0.0,20-11 19:10:32,2098.0,1809.0,3.0,159.0,1.0,159.0,0.0
15.152,21.212,35.859,0.0,27.778,0.0,0.0,0.0,0.0,1377.0,0.0,1.120,1.080,0.950,126795776.0,13717504.0,229695488.0,3231768576.0,1478200.0,22418263.0,3.0,0.0,0.0,20-11 19:10:33,2147.0,1675.0,3.0,159.0,1.0,158.0,0.0
15.578,19.095,38.693,0.0,26.633,0.0,0.0,0.0,0.0,1322.0,0.0,1.120,1.080,0.950,126763008.0,13717504.0,229695488.0,3231801344.0,1514386.0,22965972.0,2.0,0.0,0.0,20-11 19:10:34,2088.0,1712.0,3.0,159.0,1.0,158.0,0.0
13.793,19.212,41.872,0.0,25.123,0.0,0.0,0.0,0.0,1282.0,0.0,1.120,1.080,0.950,126394368.0,13717504.0,229695488.0,3232169984.0,1516606.0,23006263.0,2.0,0.0,0.0,20-11 19:10:35,2113.0,1846.0,3.0,159.0,1.0,158.0,0.0
16.162,20.202,36.364,0.0,27.273,0.0,0.0,12288.0,0.0,1211.0,0.0,1.120,1.080,0.950,126590976.0,13717504.0,229695488.0,3231973376.0,1478126.0,22410472.0,1.0,0.0,0.0,20-11 19:10:36,1992.0,1729.0,3.0,159.0,1.0,158.0,0.0
13.0,17.0,42.0,1.500,26.500,0.0,0.0,28672.0,0.0,1236.0,0.0,1.110,1.080,0.950,126812160.0,13725696.0,229687296.0,3231752192.0,1559896.0,23656448.0,2.0,0.0,0.0,20-11 19:10:37,2032.0,1790.0,3.0,159.0,1.0,158.0,0.0
15.500,23.500,37.0,0.0,24.0,0.0,0.0,0.0,0.0,1510.0,0.0,1.110,1.080,0.950,126722048.0,13725696.0,229695488.0,3231834112.0,1541092.0,23371337.0,2.0,0.0,0.0,20-11 19:10:38,2284.0,1784.0,3.0,159.0,1.0,158.0,0.0
15.578,21.106,37.186,0.0,26.131,0.0,0.0,0.0,0.0,1432.0,0.0,1.110,1.080,0.950,126570496.0,13725696.0,229699584.0,3231981568.0,1483874.0,22625852.0,2.0,0.0,0.0,20-11 19:10:39,2191.0,1674.0,3.0,159.0,1.0,158.0,0.0
15.920,16.915,41.791,0.0,25.373,0.0,0.0,0.0,0.0,1312.0,0.0,1.110,1.080,0.950,126758912.0,13725696.0,229699584.0,3231793152.0,1551152.0,23461798.0,3.0,0.0,0.0,20-11 19:10:40,2207.0,1942.0,3.0,159.0,1.0,158.0,0.0
14.573,22.613,34.673,0.0,28.141,0.0,0.0,40960.0,0.0,1376.0,0.0,1.110,1.080,0.950,126939136.0,13725696.0,229699584.0,3231612928.0,1494776.0,22767261.0,1.0,0.0,0.0,20-11 19:10:41,2145.0,1685.0,3.0,159.0,1.0,158.0,0.0
14.500,21.500,38.500,0.0,25.500,0.0,0.0,0.0,0.0,1318.0,0.0,1.110,1.080,0.950,126849024.0,13725696.0,229699584.0,3231703040.0,1497884.0,22576201.0,3.0,0.0,0.0,20-11 19:10:42,2076.0,1700.0,3.0,159.0,1.0,158.0,0.0
15.500,23.500,36.0,1.0,24.0,0.0,0.0,8192.0,0.0,1410.0,0.0,1.100,1.080,0.950,126955520.0,13733888.0,229691392.0,3231596544.0,1542876.0,23514539.0,2.0,1.0,0.0,20-11 19:10:43,2207.0,1770.0,3.0,159.0,1.0,158.0,0.0
15.075,20.603,39.196,0.0,25.126,0.0,0.0,4096.0,0.0,1370.0,0.0,1.100,1.080,0.950,126816256.0,13733888.0,229691392.0,3231735808.0,1619318.0,24481749.0,2.0,0.0,0.0,20-11 19:10:44,2155.0,1780.0,3.0,159.0,1.0,158.0,0.0
17.500,28.500,30.500,0.0,23.500,0.0,0.0,0.0,0.0,1450.0,0.0,1.100,1.080,0.950,126980096.0,13733888.0,229699584.0,3231563776.0,1556138.0,23544058.0,2.0,0.0,0.0,20-11 19:10:45,2204.0,1616.0,3.0,159.0,1.0,159.0,0.0
18.500,26.0,30.0,0.0,25.500,0.0,0.0,0.0,0.0,1468.0,0.0,1.100,1.080,0.950,126750720.0,13733888.0,229699584.0,3231793152.0,1569886.0,23941322.0,1.0,0.0,0.0,20-11 19:10:46,2228.0,1726.0,3.0,159.0,1.0,159.0,0.0
15.423,23.881,33.831,0.0,26.866,0.0,0.0,0.0,0.0,1548.0,0.0,1.100,1.080,0.950,127012864.0,13733888.0,229699584.0,3231531008.0,1572920.0,23844250.0,2.0,0.0,0.0,20-11 19:10:47,2343.0,1790.0,3.0,159.0,1.0,159.0,0.0
14.0,21.500,40.0,0.0,24.500,0.0,0.0,0.0,0.0,1248.0,0.0,1.090,1.080,0.950,127066112.0,13733888.0,229699584.0,3231477760.0,1534588.0,23240577.0,3.0,0.0,0.0,20-11 19:10:48,2028.0,1713.0,3.0,159.0,1.0,159.0,0.0
16.0,20.0,39.0,0.0,25.0,0.0,0.0,0.0,0.0,1374.0,0.0,1.090,1.080,0.950,126976000.0,13733888.0,229699584.0,3231567872.0,1608958.0,24456631.0,2.0,0.0,0.0,20-11 19:10:49,2182.0,1818.0,3.0,159.0,1.0,159.0,0.0
14.646,20.707,37.879,1.010,25.758,0.0,0.0,12288.0,0.0,1403.0,0.0,1.090,1.080,0.950,127123456.0,13742080.0,229699584.0,3231412224.0,1600374.0,24200288.0,2.0,0.0,0.0,20-11 19:10:50,2198.0,1794.0,3.0,159.0,1.0,159.0,0.0
14.0,19.0,35.0,0.0,32.0,0.0,0.0,0.0,0.0,1215.0,0.0,1.090,1.080,0.950,126959616.0,13742080.0,229699584.0,3231576064.0,1485600.0,22635944.0,0.0,0.0,0.0,20-11 19:10:51,1980.0,1688.0,3.0,159.0,1.0,159.0,0.0
17.500,25.0,32.500,0.0,25.0,0.0,0.0,0.0,0.0,1377.0,0.0,1.090,1.080,0.950,126935040.0,13742080.0,229699584.0,3231600640.0,1679628.0,25327875.0,3.0,0.0,0.0,20-11 19:10:52,2159.0,1765.0,3.0,159.0,1.0,159.0,0.0
13.930,18.905,40.796,0.0,26.368,0.0,0.0,0.0,0.0,1414.0,0.0,1.090,1.070,0.950,127074304.0,13742080.0,229699584.0,3231461376.0,1627976.0,24660818.0,4.0,0.0,0.0,20-11 19:10:53,2246.0,1861.0,3.0,159.0,1.0,159.0,0.0
16.915,23.881,33.333,0.0,25.871,0.0,0.0,0.0,0.0,1576.0,0.0,1.090,1.070,0.950,126771200.0,13742080.0,229699584.0,3231764480.0,1691690.0,25667773.0,3.0,0.0,0.0,20-11 19:10:54,2373.0,1830.0,3.0,159.0,1.0,159.0,0.0
19.095,26.633,28.643,0.503,25.126,0.0,0.0,12288.0,0.0,1596.0,0.0,1.090,1.070,0.950,127115264.0,13750272.0,229691392.0,3231420416.0,1505432.0,22819815.0,3.0,0.0,0.0,20-11 19:10:55,2360.0,1682.0,3.0,159.0,1.0,159.0,0.0
15.500,19.0,40.0,0.0,25.500,0.0,0.0,0.0,0.0,1474.0,0.0,1.090,1.070,0.950,127049728.0,13750272.0,229699584.0,3231477760.0,1652914.0,25232223.0,1.0,0.0,0.0,20-11 19:10:56,2306.0,1919.0,3.0,159.0,1.0,159.0,0.0
15.578,18.090,38.693,0.0,27.638,0.0,0.0,16384.0,0.0,1484.0,0.0,1.090,1.070,0.950,127115264.0,13750272.0,229699584.0,3231412224.0,1617616.0,24455811.0,2.0,0.0,0.0,20-11 19:10:57,2309.0,1879.0,3.0,159.0,1.0,158.0,0.0
16.749,24.138,34.975,0.0,24.138,0.0,0.0,0.0,0.0,1599.0,0.0,1.090,1.070,0.950,127164416.0,13750272.0,229699584.0,3231363072.0,1674744.0,25357576.0,3.0,0.0,0.0,20-11 19:10:58,2400.0,1856.0,3.0,159.0,1.0,158.0,0.0
17.677,24.242,34.343,0.0,23.737,0.0,0.0,0.0,0.0,1562.0,0.0,1.160,1.090,0.960,127275008.0,13750272.0,229703680.0,3231248384.0,1674448.0,25378140.0,3.0,0.0,0.0,20-11 19:10:59,2353.0,1784.0,3.0,159.0,1.0,158.0,0.0
18.090,25.628,31.658,0.0,24.623,0.0,0.0,0.0,0.0,1545.0,0.0,1.160,1.090,0.960,127184896.0,13750272.0,229703680.0,3231338496.0,1574474.0,23947339.0,1.0,0.0,0.0,20-11 19:11:00,2324.0,1755.0,3.0,159.0,1.0,158.0,0.0
20.101,24.121,30.653,0.0,25.126,0.0,0.0,0.0,0.0,1839.0,0.0,1.160,1.090,0.960,127201280.0,13750272.0,229703680.0,3231322112.0,1601974.0,24302759.0,1.0,0.0,0.0,20-11 19:11:01,2603.0,1760.0,3.0,159.0,1.0,158.0,0.0
15.920,21.891,35.323,1.493,25.373,0.0,0.0,20480.0,0.0,1389.0,0.0,1.160,1.090,0.960,127381504.0,13758464.0,229703680.0,3231133696.0,1539546.0,23380595.0,2.0,0.0,0.0,20-11 19:11:02,2167.0,1761.0,3.0,159.0,1.0,158.0,0.0
15.423,24.378,32.338,0.0,27.861,0.0,0.0,0.0,0.0,1453.0,0.0,1.160,1.090,0.960,127332352.0,13758464.0,229703680.0,3231182848.0,1607182.0,24234958.0,3.0,0.0,0.0,20-11 19:11:03,2215.0,1728.0,3.0,159.0,1.0,158.0,0.0
16.500,21.0,36.0,0.0,26.500,0.0,0.0,0.0,0.0,1441.0,0.0,1.150,1.090,0.960,127135744.0,13758464.0,229703680.0,3231379456.0,1595490.0,24359633.0,1.0,0.0,0.0,20-11 19:11:04,2256.0,1832.0,3.0,159.0,1.0,158.0,0.0
17.500,21.500,35.500,0.0,25.500,0.0,0.0,0.0,0.0,1551.0,0.0,1.150,1.090,0.960,127184896.0,13758464.0,229703680.0,3231330304.0,1658834.0,25127154.0,0.0,0.0,0.0,20-11 19:11:05,2379.0,1837.0,3.0,159.0,1.0,2.0,0.0
12.626,19.192,41.414,0.0,26.768,0.0,0.0,0.0,0.0,1390.0,0.0,1.150,1.090,0.960,127193088.0,13758464.0,229703680.0,3231322112.0,1609254.0,24393817.0,3.0,0.0,0.0,20-11 19:11:06,2232.0,1918.0,3.0,159.0,1.0,2.0,0.0
14.500,20.0,38.0,0.500,27.0,0.0,0.0,12288.0,0.0,1335.0,0.0,1.150,1.090,0.960,127307776.0,13766656.0,229695488.0,3231207424.0,1648096.0,25050196.0,1.0,0.0,0.0,20-11 19:11:07,2162.0,1916.0,3.0,159.0,1.0,2.0,0.0
14.428,18.905,41.791,0.0,24.876,0.0,0.0,0.0,0.0,1252.0,0.0,1.150,1.090,0.960,127168512.0,13766656.0,229703680.0,3231338496.0,1541380.0,23301929.0,3.0,0.0,0.0,20-11 19:11:08,2027.0,1694.0,3.0,159.0,1.0,2.0,0.0
16.583,19.095,39.196,0.0,25.126,0.0,0.0,0.0,0.0,1454.0,0.0,1.140,1.090,0.960,127193088.0,13766656.0,229703680.0,3231313920.0,1644330.0,24898111.0,3.0,0.0,0.0,20-11 19:11:09,2275.0,1854.0,3.0,159.0,0.0,2.0,0.0
13.500,18.0,43.500,0.0,25.0,0.0,0.0,0.0,0.0,1336.0,0.0,1.140,1.090,0.960,127426560.0,13766656.0,229703680.0,3231080448.0,1654854.0,25122152.0,2.0,0.0,0.0,20-11 19:11:10,2171.0,1886.0,3.0,159.0,0.0,3.0,0.0
14.925,18.905,41.294,0.0,24.876,0.0,0.0,0.0,0.0,1351.0,0.0,1.140,1.090,0.960,127524864.0,13766656.0,229703680.0,3230982144.0,1672746.0,25438839.0,2.0,0.0,0.0,20-11 19:11:11,2214.0,1952.0,3.0,159.0,0.0,3.0,0.0
13.500,20.0,43.0,0.0,23.500,0.0,0.0,0.0,0.0,1255.0,0.0,1.140,1.090,0.960,127369216.0,13766656.0,229703680.0,3231137792.0,1622426.0,24586853.0,2.0,0.0,0.0,20-11 19:11:12,2043.0,1794.0,3.0,159.0,0.0,3.0,0.0
16.0,20.0,34.500,0.500,29.0,0.0,0.0,12288.0,0.0,1357.0,0.0,1.140,1.090,0.960,127410176.0,13774848.0,229695488.0,3231096832.0,1580838.0,23991963.0,1.0,0.0,0.0,20-11 19:11:13,2144.0,1727.0,3.0,159.0,0.0,3.0,0.0
13.500,18.500,41.0,0.0,27.0,0.0,0.0,0.0,0.0,1228.0,0.0,1.140,1.090,0.960,127336448.0,13774848.0,229703680.0,3231162368.0,1618282.0,24498221.0,2.0,0.0,0.0,20-11 19:11:14,2028.0,1806.0,3.0,159.0,0.0,3.0,0.0
15.0,21.0,38.500,0.0,25.500,0.0,0.0,0.0,0.0,1339.0,0.0,1.200,1.100,0.960,127369216.0,13774848.0,229703680.0,3231129600.0,1686066.0,25554270.0,2.0,0.0,0.0,20-11 19:11:15,2135.0,1829.0,3.0,159.0,0.0,3.0,0.0
