#Buckets,Keys 1 - rep 1,Keys 1 - rep 2,Keys 1 - rep 3,Keys 3 - rep 1,Keys 3 - rep 2,Keys 3 - rep 3,Keys 6 - rep 1,Keys 6 - rep 2,Keys 6 - rep 3,Keys 9 - rep 1,Keys 9 - rep 2,Keys 9 - rep 3
0.1,0,0,0,0,0,0,0,0,0,0,0,0
0.2,5096,5435,5032,402,483,294,35,24,31,0,0,0
0.3,58756,64729,60433,31588,32074,27678,13928,15020,14324,5265,4715,5025
0.4,73724,78261,71428,63714,64995,60809,49443,50052,49982,35248,33036,37369
0.5,57060,57830,54020,57666,58114,55913,56103,54733,53799,49084,47363,53142
0.6,36965,36535,34448,41400,41739,39709,45986,43383,42322,44130,44425,47876
0.7,21864,20801,19941,25210,25286,24057,31105,29378,28280,31390,32248,33824
0.8,13299,12171,11721,14744,14785,14100,18652,17622,16497,19332,20482,21133
0.9,8629,7811,7764,8985,8985,8878,11448,10949,9922,11782,12358,13417
1.0,5921,5361,5437,6106,6226,6140,7697,7153,6553,7501,7929,8572
1.1,4013,3535,3598,4237,4403,4084,5146,4905,4568,5248,5503,5854
1.2,2895,2444,2498,3184,2988,2818,3603,3390,3128,3830,3808,4071
1.3,2149,1880,1851,2321,2256,2123,2680,2447,2351,2681,2632,3029
1.4,1638,1404,1492,1695,1624,1527,1941,1849,1647,2100,1918,2248
1.5,1241,1107,1208,1250,1224,1196,1481,1355,1237,1553,1417,1638
1.6,1012,905,917,982,941,900,1091,1060,949,1245,1077,1253
1.7,821,760,791,836,842,708,864,791,767,976,887,1077
1.8,686,654,735,704,736,632,772,659,613,800,708,874
1.9,569,612,618,591,622,487,649,558,552,654,539,739
2.0,527,504,487,558,557,458,525,488,434,571,519,628
2.1,460,477,438,485,544,451,472,427,414,478,443,521
2.2,427,441,436,469,506,419,430,424,381,447,416,437
2.3,416,480,408,453,439,368,451,380,373,433,430,412
2.4,357,416,340,465,393,325,344,349,314,395,401,383
2.5,307,393,374,445,367,305,393,360,327,374,358,302
2.6,307,351,346,437,319,304,408,336,363,337,325,288
