#Buckets,Keys 1 - rep 1,Keys 1 - rep 2,Keys 1 - rep 3,Keys 3 - rep 1,Keys 3 - rep 2,Keys 3 - rep 3,Keys 6 - rep 1,Keys 6 - rep 2,Keys 6 - rep 3,Keys 9 - rep 1,Keys 9 - rep 2,Keys 9 - rep 3
0.1,0,0,0,0,0,0,0,0,0,0,0,0
0.2,21953,26415,23657,6765,6611,5344,1958,1964,1759,452,331,366
0.3,84106,93451,84605,63205,64057,57818,42606,43425,42243,25700,23453,27135
0.4,70793,71867,66752,67282,68287,65057,61397,59930,59576,51638,49483,56242
0.5,47221,46137,43975,50548,51014,48901,53858,51361,50366,50991,50446,54816
0.6,27508,25845,25357,30779,31055,29661,36318,34501,33133,36290,37198,38981
0.7,16159,14577,14285,17673,17715,16930,21708,20656,19626,22259,23423,23982
0.8,10022,8886,9032,10509,10359,10202,12703,12290,11345,13287,13716,14781
0.9,6758,5907,6021,6668,6953,6784,8176,7762,7300,8146,8496,9300
1.0,4492,3860,4037,4574,4723,4495,5526,5325,4845,5281,5640,5911
1.1,3037,2556,2642,3288,3246,3012,3707,3600,3319,3880,4016,3969
1.2,2198,1837,1816,2388,2228,2129,2638,2420,2349,2610,2611,2806
1.3,1640,1345,1430,1683,1610,1615,1808,1827,1688,1944,1833,2043
1.4,1142,1005,1077,1204,1162,1143,1381,1311,1176,1447,1373,1448
1.5,940,842,903,933,861,806,941,919,853,1107,975,1087
1.6,693,614,634,739,706,661,738,737,628,842,737,849
1.7,617,519,606,560,627,491,649,515,527,613,647,772
1.8,474,472,518,496,545,415,530,466,483,550,474,574
1.9,407,409,389,424,476,363,414,400,395,413,398,457
2.0,363,358,357,381,410,358,350,343,331,392,373,402
2.1,311,339,337,382,410,296,364,332,286,344,345,342
2.2,307,360,277,364,390,304,319,309,283,320,348,283
2.3,288,332,297,369,300,288,312,270,268,310,322,297
2.4,242,318,266,345,284,242,294,289,248,251,272,256
2.5,242,264,256,347,243,209,303,238,271,246,261,223
2.6,241,256,272,386,257,212,293,264,242,237,237,168
2.7,226,248,267,324,227,221,257,278,228,207,232,149
2.8,235,218,254,301,195,181,271,246,241,200,247,161
2.9,216,220,243,287,202,158,241,240,233,168,263,165
3.0,198,215,230,271,191,169,207,222,244,204,217,172
3.1,188,236,209,234,140,164,213,188,220,195,232,169
3.2,173,214,185,229,137,148,202,201,233,192,232,136
3.3,167,194,180,190,164,141,207,162,225,156,241,134
3.4,134,140,177,167,143,147,211,179,203,160,201,136
3.5,153,169,163,165,122,140,201,174,221,157,192,118
3.6,117,166,128,172,120,149,188,166,191,160,180,140
3.7,123,146,150,151,122,127,165,179,171,120,187,126
3.8,113,143,147,133,139,141,159,159,167,151,148,134
3.9,108,128,141,133,117,146,124,120,177,151,132,129
4.0,105,131,142,132,152,133,133,122,159,138,133,87
4.1,94,133,123,113,106,145,124,139,172,144,159,101
4.2,89,116,115,125,108,132,104,142,187,149,162,91
4.3,124,130,126,110,141,165,127,175,182,117,166,110
4.4,169,128,134,138,150,163,138,162,192,134,161,131
4.5,123,125,103,131,114,170,147,156,174,154,121,122
4.6,110,114,110,129,105,160,108,158,166,116,136,132
4.7,99,76,86,93,111,113,126,112,131,118,138,71
4.8,95,92,93,98,80,89,114,112,122,114,117,74
4.9,70,91,87,95,91,82,72,109,96,99,115,65
5.0,74,82,62,67,100,75,79,131,100,92,110,58
5.1,72,65,96,73,75,97,94,92,106,87,103,70
5.2,68,62,67,93,69,67,87,83,90,83,105,68
5.3,63,49,55,68,79,51,67,89,80,96,97,71
5.4,48,72,56,78,69,61,57,85,63,68,69,63
5.5,37,69,59,81,68,50,62,76,79,100,76,62
5.6,51,42,64,78,54,76,76,62,87,84,66,54
5.7,62,58,42,70,49,65,59,59,57,74,69,64
5.8,63,64,75,75,47,59,62,81,72,74,76,67
5.9,68,48,69,68,53,65,51,86,84,69,76,68
6.0,68,68,92,71,55,91,71,80,92,85,67,64
6.1,84,74,81,81,54,83,83,73,101,91,72,66
6.2,74,78,88,75,60,79,87,82,131,89,104,80
6.3,71,90,79,100,74,112,105,93,131,99,99,72
6.4,58,104,115,105,75,128,114,111,128,109,112,85
6.5,68,95,139,106,76,130,115,112,139,147,149,90
6.6,107,116,169,118,107,178,133,160,184,179,144,137
6.7,123,145,185,183,133,225,158,188,203,200,215,142
6.8,231,229,293,265,190,320,214,250,247,261,301,219
6.9,379,348,516,377,305,486,310,418,446,409,401,372
7.0,587,655,861,671,549,710,500,738,745,637,595,617
7.1,1297,1244,1330,1210,1195,1379,972,1228,1122,1119,1075,1037
7.2,1717,1480,1531,1632,1684,1693,1397,1551,1543,1516,1533,1443
7.3,1275,1269,1268,1464,1476,1609,1417,1530,1455,1652,1591,1443
7.4,796,824,867,1101,1063,1178,1146,1195,1171,1385,1353,1258
7.5,531,483,518,707,697,740,876,837,837,1075,1078,979
7.6,306,295,331,389,459,426,554,556,529,707,692,657
7.7,169,170,210,247,218,276,342,369,345,434,469,451
7.8,94,117,111,164,136,180,225,203,178,284,266,309
7.9,77,69,91,116,100,146,134,143,143,174,179,173
8.0,44,71,64,59,58,91,94,96,106,88,135,100
8.1,39,57,45,64,64,72,60,66,51,90,63,81
8.2,39,34,26,34,45,48,43,36,55,53,77,49
8.3,23,22,21,34,30,34,44,42,28,46,30,38
8.4,24,15,13,23,20,19,24,29,29,31,31,29
8.5,22,15,23,27,26,20,21,20,24,28,21,27
8.6,12,10,14,30,16,12,16,18,20,28,23,29
8.7,23,6,16,19,25,22,10,13,20,16,23,20
8.8,19,7,21,13,8,20,14,22,14,19,15,24
8.9,14,18,11,15,13,13,15,16,18,22,16,18
9.0,6,12,9,15,20,9,4,6,10,12,12,16
9.1,10,14,14,11,13,15,13,10,9,22,10,23
9.2,7,22,24,13,8,8,17,15,8,15,17,10
9.3,9,9,10,9,11,8,11,14,11,15,8,19
9.4,14,17,20,12,10,8,10,12,8,18,12,15
9.5,8,5,8,18,13,14,11,15,11,19,8,17
9.6,15,9,16,10,8,7,18,17,10,9,9,10
9.7,8,9,10,13,10,11,17,12,11,18,17,13
9.8,15,7,5,11,9,9,11,16,8,17,18,9
9.9,3,7,15,11,11,9,19,16,13,14,15,16
10.0,13,15,16,8,19,8,17,13,9,18,16,25
10.1,6,13,8,4,6,12,16,8,7,11,9,16
10.2,4,11,9,5,14,12,14,6,11,6,11,17
10.3,8,9,4,7,9,11,11,6,12,3,13,9
10.4,8,9,3,12,9,7,4,4,5,8,4,8
10.5,4,7,3,3,7,10,5,4,6,3,11,12
10.6,2,6,1,4,6,9,5,1,1,4,3,8
10.7,3,4,3,1,2,9,4,4,5,3,4,9
10.8,5,3,6,2,1,5,7,1,1,8,6,5
10.9,1,11,3,2,2,3,7,4,6,2,4,3
11.0,0,3,7,0,5,4,1,2,6,0,3,3
11.1,3,5,5,4,1,5,2,2,9,1,1,3
