#Buckets,Keys 1 - rep 1,Keys 1 - rep 2,Keys 1 - rep 3,Keys 3 - rep 1,Keys 3 - rep 2,Keys 3 - rep 3,Keys 6 - rep 1,Keys 6 - rep 2,Keys 6 - rep 3,Keys 9 - rep 1,Keys 9 - rep 2,Keys 9 - rep 3
0.1,314032,320850,302929,285892,286830,271879,272156,265643,258066,243290,241999,259279
0.2,159,168,116,234,214,192,431,381,385,626,605,682
0.3,93,86,77,94,120,99,132,110,123,168,152,170
0.4,42,52,46,61,48,46,84,67,52,139,91,159
0.5,24,21,23,30,30,15,67,20,27,237,81,479
0.6,10,14,9,14,11,7,24,8,20,43,20,63
0.7,10,9,9,15,10,5,6,18,11,24,12,38
0.8,9,3,4,4,10,7,7,8,9,27,13,24
0.9,6,4,1,5,6,8,9,6,8,36,8,19
1.0,5,4,4,8,6,6,11,5,0,25,8,20
1.1,11,6,6,4,6,6,7,5,7,13,7,12
1.2,3,5,4,9,8,1,7,4,5,24,5,14
1.3,2,11,5,4,9,6,4,2,3,11,3,12
1.4,1,2,6,5,6,3,7,2,6,4,3,6
1.5,4,3,3,6,3,5,11,6,3,8,5,3
1.6,1,2,4,1,9,1,9,4,3,3,1,20
1.7,3,4,5,7,9,3,4,5,5,9,3,9
1.8,3,4,5,6,3,5,3,7,2,2,1,4
1.9,5,3,2,9,7,6,3,9,7,8,3,7
2.0,3,4,6,12,6,4,4,11,4,6,5,7
2.1,3,8,4,4,5,1,4,3,10,5,1,3
2.2,1,1,3,9,6,2,6,9,8,4,8,3
2.3,1,3,4,3,7,2,11,12,7,10,4,3
2.4,6,6,7,12,4,7,6,4,11,2,7,7
2.5,5,4,7,7,4,5,3,4,3,5,4,8
2.6,3,0,2,8,5,2,5,7,9,5,8,2
2.7,5,2,5,5,1,4,9,5,13,12,9,3
2.8,2,5,8,11,1,5,4,4,8,5,4,10
2.9,2,8,3,6,7,2,6,5,4,7,7,4
3.0,3,2,1,9,1,2,14,5,8,8,13,5
3.1,4,3,5,4,6,2,5,6,3,6,8,2
3.2,2,0,3,2,2,6,2,9,8,7,11,0
3.3,2,0,4,5,1,3,5,9,1,6,5,9
3.4,1,2,2,4,1,3,11,9,10,7,9,7
3.5,0,4,1,7,2,3,4,7,7,7,5,2
3.6,2,4,1,3,4,1,4,2,5,3,1,4
3.7,1,1,1,4,3,1,1,4,6,5,4,1
3.8,0,1,1,2,4,5,3,8,7,6,5,2
3.9,1,2,2,5,1,2,2,0,3,1,7,2
4.0,2,0,0,2,3,3,2,2,5,4,5,3
4.1,1,1,0,2,0,4,3,3,8,6,4,2
4.2,1,3,1,2,2,0,2,4,7,1,3,2
4.3,0,1,1,1,4,3,2,6,8,7,4,6
4.4,2,1,1,2,3,4,5,6,7,11,7,2
4.5,1,3,1,2,5,2,3,5,2,3,6,2
4.6,0,0,2,1,2,1,2,6,2,1,7,1
4.7,3,0,0,1,3,5,3,1,3,4,4,3
4.8,1,0,2,3,3,2,5,5,4,4,7,4
4.9,2,2,0,2,1,3,3,5,1,1,4,0
5.0,0,0,1,3,1,0,4,1,1,4,5,1
5.1,1,0,0,4,1,1,2,1,2,1,4,4
5.2,1,0,1,2,6,1,2,0,2,2,5,3
5.3,0,0,1,6,1,1,6,1,2,1,7,4
5.4,0,2,0,1,1,3,0,0,2,1,2,3
5.5,0,2,2,0,1,0,1,2,4,6,2,1
5.6,1,2,1,0,0,2,2,2,2,3,4,6
5.7,0,3,4,1,1,3,0,3,4,1,6,1
5.8,0,0,0,4,0,1,1,3,0,2,1,2
5.9,3,1,1,4,1,4,3,2,4,2,2,1
6.0,2,1,3,2,3,4,5,2,5,2,3,4
6.1,4,3,4,3,4,4,5,5,7,9,4,4
6.2,1,3,1,1,5,1,6,7,6,6,9,3
6.3,1,8,7,0,3,2,8,13,5,10,4,4
6.4,1,0,3,8,3,8,4,7,7,8,8,6
6.5,4,5,8,6,6,15,12,5,5,7,11,8
6.6,6,3,8,5,4,12,8,9,14,11,13,13
6.7,13,7,8,6,9,23,18,14,22,22,14,15
6.8,9,9,10,21,19,20,18,34,22,27,26,17
6.9,19,27,18,46,30,32,37,43,50,62,52,41
7.0,57,52,59,85,55,54,57,81,73,81,85,85
7.1,89,92,74,110,156,159,138,148,147,185,168,183
7.2,25,44,44,67,69,77,151,106,103,145,146,153
7.3,3,7,8,14,18,14,43,18,20,57,43,47
7.4,1,0,2,2,1,1,9,1,2,4,5,17
7.5,0,1,0,1,0,0,4,0,0,1,0,0
7.6,0,1,0,0,1,1,1,0,0,2,1,2
7.7,0,0,0,1,0,0,0,0,1,0,0,0
7.8,0,1,0,0,0,0,0,0,0,0,0,0
7.9,0,0,0,1,1,1,1,0,0,2,0,0
8.0,0,0,0,1,0,0,0,1,0,0,1,0
8.1,0,0,0,1,0,0,0,0,0,0,0,2
8.2,0,0,0,0,0,0,0,0,1,0,0,0
8.3,0,0,0,0,0,0,0,0,0,0,1,0
8.4,0,0,0,0,0,0,0,0,0,0,1,0
8.5,0,0,0,0,1,0,0,1,0,1,0,0
8.6,0,0,0,0,0,2,0,0,0,1,1,0
8.7,0,0,0,0,0,0,0,0,0,0,1,1
8.8,0,0,0,0,0,0,0,0,0,2,0,0
8.9,1,0,0,0,0,0,0,1,0,0,2,1
9.0,0,0,0,0,0,0,0,1,1,0,0,0
9.1,0,0,0,0,0,0,0,1,0,0,0,1
9.2,0,0,0,0,1,0,0,1,0,1,1,0
9.3,1,0,0,0,1,0,0,0,0,0,1,0
9.4,0,0,0,1,0,1,0,1,0,2,2,0
9.5,0,0,0,0,0,2,0,0,0,1,1,2
9.6,0,0,1,1,1,0,0,1,1,1,2,0
9.7,0,0,0,0,2,0,0,1,1,2,0,1
9.8,0,2,0,2,0,3,0,1,0,2,1,2
9.9,0,0,0,0,1,0,1,0,2,2,1,3
10.0,1,0,0,1,0,2,0,1,0,2,0,0
10.1,0,0,0,0,0,0,1,0,0,0,1,2
10.2,0,0,0,0,0,0,0,1,0,0,0,0
10.3,0,0,0,1,0,0,0,0,0,0,2,0
10.4,0,0,0,1,0,1,0,2,0,0,0,0
10.5,0,0,0,1,1,0,0,0,1,0,0,0
10.6,0,0,0,0,1,0,0,0,2,1,2,0
10.7,0,0,0,0,3,0,0,0,2,1,1,0
10.8,1,0,0,0,0,0,0,0,0,1,1,0
10.9,0,0,1,0,0,0,0,0,2,0,0,0
11.0,0,0,1,0,1,0,0,3,0,0,0,1
11.1,0,0,0,0,0,0,0,0,0,1,0,0
11.2,0,0,0,1,2,0,1,1,0,0,0,0
11.3,0,0,0,0,1,0,0,1,0,1,0,0
11.4,0,0,0,0,0,1,0,0,0,0,1,0
11.5,2,0,0,0,0,1,0,0,0,0,0,0
11.6,0,0,0,0,0,0,0,0,0,0,0,0
11.7,0,0,0,0,0,0,0,0,0,1,0,0
11.8,0,0,0,0,0,0,0,0,0,0,1,0
11.9,0,0,0,0,0,0,0,0,0,0,0,1
12.0,0,0,0,0,0,0,1,0,1,0,0,0
12.1,0,1,0,0,0,0,0,0,0,0,0,1
12.2,0,0,0,0,0,0,0,0,1,0,0,0
12.3,0,0,0,0,0,0,0,1,0,0,0,0
12.4,0,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,1,0
12.6,1,0,1,1,0,0,0,1,0,0,2,1
12.7,0,0,0,0,1,0,0,0,0,0,1,1
12.8,0,0,0,0,1,0,0,0,1,0,0,1
12.9,0,0,0,0,0,0,0,0,0,0,0,0
13.0,0,0,0,0,0,0,0,0,0,0,0,0
13.1,0,0,0,0,0,0,0,0,0,0,0,1
13.2,0,0,0,0,0,0,0,1,0,0,0,0
13.3,0,0,0,0,0,0,0,0,0,0,0,0
13.4,0,0,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,1,0,0,0,0,0,0,0,0
13.6,0,0,0,0,0,0,0,0,0,0,0,0
13.7,0,0,0,0,0,0,0,0,0,0,0,0
13.8,0,0,0,0,0,0,0,0,0,0,0,0
13.9,0,0,0,0,0,0,0,0,0,0,0,0
14.0,0,0,0,0,0,0,0,0,0,1,0,0
14.1,0,0,0,0,0,0,0,0,0,0,0,0
14.2,0,0,1,0,0,0,0,0,0,0,0,0
14.3,0,0,0,0,0,0,0,0,1,0,0,0
14.4,0,0,0,0,0,0,0,0,0,0,0,0
14.5,0,0,0,0,1,0,0,0,0,0,0,0
14.6,0,0,0,0,0,0,0,0,0,0,0,0
14.7,0,0,0,1,0,0,0,0,0,0,0,0
14.8,0,0,0,0,0,1,0,0,0,0,0,0
14.9,0,0,0,0,0,0,0,0,0,0,1,0
