#Buckets,Keys 1 - rep 1,Keys 1 - rep 2,Keys 1 - rep 3,Keys 3 - rep 1,Keys 3 - rep 2,Keys 3 - rep 3,Keys 6 - rep 1,Keys 6 - rep 2,Keys 6 - rep 3,Keys 9 - rep 1,Keys 9 - rep 2,Keys 9 - rep 3
0.1,0,0,0,0,0,0,0,0,0,0,0,0
0.2,6116,5667,6639,3,10,11,0,0,0,0,0,0
0.3,69530,62580,72252,4901,4519,4174,1741,1771,2063,639,522,516
0.4,76761,69812,81162,28808,26142,24556,16566,18812,19554,11713,10294,10482
0.5,54056,51300,59598,45297,42301,40295,34737,39496,37898,31456,28477,28772
0.6,32915,32148,38600,44602,42731,41132,39929,44279,40832,40570,37582,37308
0.7,18459,18521,22134,33096,33222,31609,34604,37190,33885,36576,34768,35262
0.8,11572,10603,13607,21481,22458,21726,25236,27089,23599,27491,26211,26615
0.9,7010,6769,8567,14540,15074,14593,16846,18380,15663,18609,17642,17908
1.0,4837,4536,5994,10101,10820,10850,11521,12610,10180,12295,11744,11880
1.1,3412,3163,4228,7709,8111,8237,8538,9092,7346,8452,8151,8278
1.2,2599,2239,2920,5689,5959,6103,6276,6699,5272,6171,5866,5922
1.3,1859,1769,2169,4280,4508,4608,4739,5057,4105,4441,4071,4392
1.4,1442,1324,1615,3123,3519,3597,3699,3932,3051,3344,3164,3457
1.5,1147,978,1239,2481,2755,2693,2934,2997,2436,2489,2400,2556
1.6,849,735,924,1983,2172,2158,2258,2398,1912,1941,1943,1968
1.7,712,588,910,1556,1633,1695,1747,1926,1528,1576,1628,1517
1.8,650,514,686,1164,1344,1419,1438,1493,1211,1241,1280,1285
1.9,564,468,588,1013,1137,1035,1143,1237,1020,1049,1109,1058
2.0,511,441,557,875,1024,996,941,1098,836,921,922,881
2.1,475,418,521,771,925,943,866,971,722,844,765,753
2.2,424,379,486,627,753,774,740,869,695,736,625,662
2.3,361,361,429,579,716,706,639,763,674,635,561,581
2.4,330,342,373,463,656,673,649,692,555,622,523,532
2.5,335,384,383,483,571,563,584,648,526,537,517,498
2.6,322,385,305,514,523,588,508,573,497,502,456,412
2.7,282,304,287,434,501,532,492,542,448,430,414,406
2.8,325,336,264,417,523,456,455,495,396,437,386,355
2.9,278,327,295,412,488,470,451,402,379,436,404,322
3.0,248,272,260,388,422,387,374,406,360,422,388,370
3.1,238,241,230,359,383,377,376,404,398,415,390,360
3.2,241,224,203,320,332,379,372,389,391,392,371,320
3.3,219,186,236,304,308,346,351,321,340,390,416,352
3.4,176,165,208,280,318,323,348,334,345,341,365,312
3.5,176,174,174,273,279,317,355,326,319,342,331,363
3.6,170,169,168,311,299,298,309,321,339,347,350,384
3.7,159,182,184,277,238,258,323,283,311,336,323,383
3.8,171,153,175,220,206,268,334,287,367,293,334,351
3.9,150,156,148,234,247,216,253,257,351,303,355,347
4.0,131,126,125,205,231,235,282,251,268,258,300,310
4.1,108,151,140,190,214,246,212,226,256,265,312,282
4.2,136,152,162,175,231,246,197,211,265,258,263,292
4.3,144,151,142,192,238,221,193,185,218,265,242,264
4.4,158,149,159,216,239,251,214,204,211,259,284,278
4.5,177,134,164,189,223,246,165,216,219,240,279,281
4.6,157,145,144,201,226,217,163,214,238,286,259,289
4.7,117,98,111,171,203,206,202,198,209,192,267,217
4.8,94,104,127,165,172,162,151,163,214,211,231,223
4.9,110,130,80,150,135,170,170,137,172,186,199,181
5.0,103,110,83,178,175,181,153,142,187,169,189,186
5.1,114,105,82,154,151,136,157,148,139,152,191,174
5.2,100,87,81,129,116,130,170,120,147,128,178,182
5.3,106,99,81,124,119,124,149,128,124,135,159,153
5.4,113,105,76,140,129,116,137,103,116,136,146,148
5.5,101,79,57,122,131,118,109,119,133,130,128,155
5.6,103,85,46,120,93,109,137,100,128,132,148,141
5.7,82,78,62,119,130,118,116,122,138,135,111,120
