#Buckets,Keys 1 - rep 1,Keys 1 - rep 2,Keys 1 - rep 3,Keys 3 - rep 1,Keys 3 - rep 2,Keys 3 - rep 3,Keys 6 - rep 1,Keys 6 - rep 2,Keys 6 - rep 3,Keys 9 - rep 1,Keys 9 - rep 2,Keys 9 - rep 3
0.1,0,0,0,0,0,0,0,0,0,0,0,0
0.2,28935,25594,30107,310,321,303,88,84,93,17,5,9
0.3,95134,84804,97372,17304,15943,14668,9613,10286,11107,5630,4931,5254
0.4,68214,63965,74584,45025,42356,39096,33220,37643,37129,29037,25978,26444
0.5,42516,41324,49045,50614,48189,46379,44140,49140,45627,44021,40774,40597
0.6,23599,23614,28104,38983,38034,36716,38671,42005,38104,40922,38720,38730
0.7,13730,13307,16175,25149,25706,24944,27927,30152,26462,30278,28896,29504
0.8,8410,7963,10103,16687,17096,16643,18395,20058,17208,20119,19111,19570
0.9,5260,5050,6587,11337,11933,11927,12363,13562,11184,13220,12673,12430
1.0,3549,3437,4531,8416,8775,9044,9045,9555,7791,8844,8509,8720
1.1,2453,2369,3138,6068,6414,6704,6569,6841,5671,6283,6090,6091
1.2,1745,1686,2118,4525,4790,4883,4851,5267,4079,4492,4124,4388
1.3,1317,1333,1556,3333,3646,3755,3776,3983,3237,3272,3249,3512
1.4,1058,893,1206,2402,2827,2749,2888,2988,2370,2397,2405,2492
1.5,755,654,846,1863,2111,2156,2238,2301,1875,1947,1887,1933
1.6,578,479,721,1478,1619,1657,1765,1825,1471,1495,1442,1407
1.7,478,432,621,1104,1235,1369,1273,1403,1172,1106,1226,1145
1.8,416,366,514,953,1078,1008,1048,1127,933,1002,987,948
1.9,397,346,402,795,941,892,889,1000,737,854,829,823
2.0,346,285,415,680,816,864,752,906,662,675,684,626
2.1,317,318,377,582,734,724,648,762,597,692,543,568
2.2,292,272,346,494,653,643,606,661,601,565,488,504
2.3,220,273,300,411,578,598,538,588,494,540,452,457
2.4,238,290,267,400,539,544,496,574,429,471,421,440
2.5,239,297,224,412,450,474,440,505,411,420,412,343
2.6,206,270,190,397,437,447,443,473,377,387,363,330
2.7,207,226,201,367,438,440,390,413,353,346,342,316
2.8,244,252,194,376,433,401,374,320,317,379,332,274
2.9,187,242,229,323,381,349,334,374,302,334,328,308
3.0,174,177,180,261,318,328,323,345,345,350,339,307
3.1,190,190,152,284,288,346,330,304,311,316,342,264
3.2,173,157,164,242,285,291,289,271,302,329,326,275
3.3,160,130,171,242,274,268,305,281,305,314,315,312
3.4,135,137,136,218,268,257,287,291,256,296,319,302
3.5,147,128,127,260,226,253,281,261,284,297,271,317
3.6,141,139,126,240,194,238,263,262,285,305,288,348
3.7,117,133,139,219,170,214,292,233,292,257,296,307
3.8,120,135,109,179,213,208,206,210,317,231,283,275
3.9,110,101,104,179,203,204,255,225,220,259,277,261
4.0,103,106,107,153,186,194,184,190,219,221,254,270
4.1,107,100,118,149,192,214,179,171,222,226,227,241
4.2,104,131,117,158,203,207,162,168,185,214,213,214
4.3,137,138,135,197,219,214,171,171,159,228,222,240
4.4,155,123,157,174,206,212,147,196,185,194,248,264
4.5,142,110,128,164,191,208,152,198,214,253,219,238
4.6,95,92,115,167,184,174,164,167,191,196,228,191
4.7,86,80,98,153,144,157,135,137,185,167,216,194
4.8,61,102,73,138,133,142,130,108,161,176,181,174
4.9,84,100,57,151,123,161,146,121,150,139,137,173
5.0,97,84,73,129,131,116,134,132,142,131,163,149
5.1,100,87,75,130,98,116,124,109,119,114,127,154
5.2,95,77,72,97,113,92,132,105,109,117,158,131
5.3,83,77,64,106,105,98,112,87,103,111,108,150
5.4,78,58,54,99,113,110,106,88,115,116,106,110
5.5,92,60,44,103,110,87,98,88,114,128,133,104
5.6,79,77,39,95,93,81,99,95,118,107,109,103
5.7,62,62,60,93,95,97,68,105,113,119,80,119
5.8,62,76,32,96,97,86,82,86,102,101,102,103
5.9,72,81,57,105,96,68,92,91,112,107,121,83
6.0,77,63,40,98,113,73,87,61,113,114,94,121
6.1,104,104,56,119,110,81,80,68,127,126,121,128
6.2,94,92,63,104,128,97,100,73,131,130,125,123
6.3,112,102,72,142,98,137,107,83,148,163,131,139
6.4,141,93,88,174,146,151,141,102,160,156,174,160
6.5,123,122,88,169,120,161,141,127,173,185,192,194
6.6,127,157,139,222,198,213,171,134,212,203,198,205
6.7,205,180,159,276,248,238,200,169,269,264,270,245
6.8,282,302,230,409,312,365,292,209,353,293,392,304
6.9,462,545,397,468,448,562,439,344,458,466,477,435
