#Buckets,Keys 1 - rep 1,Keys 1 - rep 2,Keys 1 - rep 3,Keys 3 - rep 1,Keys 3 - rep 2,Keys 3 - rep 3,Keys 6 - rep 1,Keys 6 - rep 2,Keys 6 - rep 3,Keys 9 - rep 1,Keys 9 - rep 2,Keys 9 - rep 3
0.1,312915,293004,340615,257869,255896,248268,242276,260879,239632,238332,225607,227627
0.2,142,116,132,223,203,199,372,399,306,608,516,527
0.3,75,72,102,104,98,98,110,150,115,122,125,130
0.4,149,54,59,114,64,61,63,77,67,97,82,85
0.5,107,28,41,98,47,30,57,44,37,52,57,49
0.6,16,3,14,21,13,15,13,16,9,22,19,18
0.7,6,4,4,13,13,5,6,17,7,13,11,14
0.8,5,7,9,12,7,3,3,6,11,5,7,9
0.9,4,4,2,14,4,7,5,7,4,1,12,8
1.0,1,5,3,6,5,7,7,5,4,3,3,5
1.1,6,10,6,10,5,4,5,6,4,6,6,2
1.2,4,4,6,9,5,2,3,2,3,5,1,3
1.3,4,3,4,3,3,5,3,7,4,5,5,8
1.4,6,3,4,8,2,3,3,4,4,5,4,3
1.5,2,1,3,2,1,0,6,3,1,1,0,3
1.6,4,4,5,8,6,3,3,5,0,5,2,3
1.7,9,3,6,7,1,3,3,5,4,4,3,4
1.8,6,3,8,5,3,3,6,5,1,5,5,3
1.9,5,3,4,3,4,4,4,6,1,2,3,3
2.0,6,3,5,4,6,7,6,4,0,5,4,4
2.1,1,2,5,2,7,8,6,5,2,2,4,6
2.2,2,10,2,1,4,5,2,1,2,5,2,3
2.3,4,7,3,7,6,5,6,7,3,7,5,5
2.4,2,8,0,7,4,5,5,12,2,10,3,3
2.5,3,4,3,5,5,10,6,3,4,7,6,2
2.6,5,7,5,7,7,8,7,4,4,7,5,2
2.7,6,1,2,7,7,5,12,4,4,6,4,8
2.8,1,5,2,7,4,5,6,4,5,6,9,10
2.9,1,2,4,7,5,4,2,7,6,8,13,7
3.0,2,2,3,4,4,8,6,3,5,8,11,9
3.1,4,5,4,3,5,3,5,6,5,3,7,13
3.2,3,5,4,9,5,2,8,7,5,5,4,9
3.3,3,3,3,7,2,3,9,4,4,5,5,15
3.4,3,6,2,6,5,5,9,3,3,6,10,4
3.5,0,1,0,3,0,4,5,3,5,3,6,9
3.6,2,2,2,4,5,4,5,1,9,3,10,6
3.7,1,1,1,4,2,1,2,2,6,9,8,8
3.8,1,1,1,3,7,4,0,1,5,4,6,4
3.9,2,1,0,3,2,7,3,1,6,7,9,8
4.0,0,4,0,1,4,4,3,2,3,6,5,6
4.1,1,0,0,3,4,5,3,2,4,5,7,4
4.2,3,2,0,4,2,2,2,4,5,3,8,5
4.3,4,1,0,1,1,3,1,0,4,5,6,3
4.4,2,2,1,3,5,3,5,3,3,6,6,0
4.5,1,1,1,2,2,6,3,3,5,1,3,7
4.6,2,2,0,3,2,4,0,0,0,1,6,3
4.7,0,0,1,1,2,0,3,1,3,2,3,2
4.8,1,2,1,3,0,0,3,2,4,1,6,3
4.9,0,1,0,2,2,2,5,4,2,5,1,3
5.0,2,2,1,0,4,3,2,0,4,1,3,4
5.1,0,2,1,1,4,3,4,1,4,2,4,6
5.2,3,2,0,3,1,3,1,4,3,3,5,6
