#Buckets,Keys 1 - rep 1,Keys 1 - rep 2,Keys 1 - rep 3,Keys 3 - rep 1,Keys 3 - rep 2,Keys 3 - rep 3,Keys 6 - rep 1,Keys 6 - rep 2,Keys 6 - rep 3,Keys 9 - rep 1,Keys 9 - rep 2,Keys 9 - rep 3
0.1,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0
0.3,5.03226,10.584719999999999,5.219730000000001,0,0,0,0,0,0,0,0,0
0.4,2101.28823,2471.1578999999997,2074.7469599999995,153.37206,171.72908999999999,125.27739,4.35618,9.19386,8.862659999999998,0,0,0
0.5,15646.056480000001,17991.313560000002,16099.29621,4921.400250000001,4625.29269,4138.38621,1204.62723,1359.8757899999998,1208.00898,270.28998,216.73224,234.54873
0.6,32547.096990000002,36188.871750000006,33375.81168,17938.00206,17251.39611,16306.00866,8258.96934,8675.387010000002,8373.91689,3534.45012,3066.97005,3499.40547
0.7,39071.04264,42117.06968999999,38886.217740000015,29105.08533,27997.595550000002,26973.62496,18676.8468,19293.57873,18860.259690000003,11510.394839999999,10303.782210000001,12021.647759999998
0.8,39866.572799999994,41903.186400000006,38633.61231,34841.554919999995,34730.25624000001,33451.30638,27755.727120000003,27481.707449999994,27004.044149999998,20691.085049999998,18489.44556,21784.72905
0.9,36763.779420000006,37255.14639,34493.78367,35668.96884,35650.29087,34025.29191,32693.53194,32027.225309999998,31309.13151,27618.80481,25676.36136,29774.924460000006
1.0,40561.72695,39836.78613000001,37431.72675,43810.91775000001,44622.204209999996,42051.28328999999,46612.79973,44469.28709999999,43055.65305000001,41870.39229000001,41691.77091000001,46650.506129999994
1.1,18721.64115000001,18099.09611999999,16939.540979999987,21697.73856,22073.350499999993,20403.692099999993,25679.293469999997,24568.494120000007,23205.109139999997,24398.115929999993,24778.438019999994,26752.607280000007
1.2,13460.717969999998,12783.911670000001,12336.586199999998,15816.620879999988,16365.147210000006,15244.076429999994,19551.259710000002,18542.737619999993,17479.938420000002,18876.77226000002,20098.936709999998,21384.86759999999
1.3,10352.666609999978,9422.496809999982,9000.796410000017,11413.925730000006,11858.687550000006,11091.837870000003,14351.087520000001,14006.753460000014,12919.534830000004,14281.293869999987,15582.911220000002,15903.089100000005
1.4,7705.776870000023,6856.749630000035,6628.715100000001,8469.830519999992,8929.691099999996,8132.952510000006,10655.411219999973,10088.569619999998,9367.83297000001,10547.819549999993,11650.594320000007,12059.756010000008
1.5,5889.822029999996,5284.118339999994,5231.384819999992,6242.294430000009,6665.484510000009,6031.793880000001,8126.62254000004,7598.885129999995,7067.406419999988,7929.813870000002,8628.881040000007,9038.696669999998
1.6,4360.991040000001,3810.0892499999827,4010.307479999996,4663.381769999993,5243.774129999998,4440.637349999994,5861.605499999976,5377.559309999997,5167.183499999988,5842.368719999999,6404.958629999994,6924.188519999985
1.7,3455.220059999978,2995.216470000014,3065.600610000016,3725.212590000003,3934.062539999999,3474.9193500000038,4688.549640000012,4064.4366300000183,4051.9105200000085,4569.054300000003,4817.630070000003,5206.625639999995
1.8,2660.6659500000096,2483.5103999999847,2329.648020000008,2845.2263399999865,3071.329020000012,2613.15135,3416.1289199999883,3141.3256200000105,2976.9928200000104,3539.9370600000075,3650.747849999985,3991.817700000014
1.9,2164.0222799999974,2091.0188699999926,1931.8023899999826,2262.665340000014,2473.306019999989,2174.2975800000204,2916.88569000001,2480.0624999999636,2411.5697999999757,2791.2553199999857,2846.7441,3137.30793000001
2.0,1981.1223000000027,1725.3707400000276,1695.0048300000053,1827.0288000000219,2252.9673900000125,1694.7444599999799,2387.7063900000066,1928.6692200000034,1972.9258200000113,2343.426299999999,2326.0813200000084,2673.9006299999855
2.1,1422.5657400000273,1376.8333199999688,1351.8908100000044,1486.8080099999715,1670.671709999966,1378.4993100000065,1734.4742400000032,1465.6431599999923,1554.0474599999943,1829.4094800000094,1751.4638099999938,2073.302100000008
2.2,1202.0446799999554,1188.6024599999946,1160.9171100000094,1248.9130800000057,1359.6741000000256,1118.475449999998,1475.2964699999866,1177.9592399999965,1205.8605000000098,1471.1904899999863,1395.0816300000006,1695.6287999999913
2.3,1074.3573600000163,1022.2534800000358,986.7024899999888,1076.094720000001,1155.271409999994,951.3017999999938,1177.5359699999972,1054.4135400000305,1002.6463500000245,1247.4037800000006,1117.430100000005,1334.6238599999997
