#Buckets,Keys 1 - rep 1,Keys 1 - rep 2,Keys 1 - rep 3,Keys 3 - rep 1,Keys 3 - rep 2,Keys 3 - rep 3,Keys 6 - rep 1,Keys 6 - rep 2,Keys 6 - rep 3,Keys 9 - rep 1,Keys 9 - rep 2,Keys 9 - rep 3
0.1,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0
0.3,10.45476,5.00949,5.68026,0,0,0,0,0,0,0,0,0
0.4,2804.6837699999996,2283.9156000000003,2844.1908000000003,0.0,8.481779999999999,4.1004000000000005,0.0,0,0,0,0,0
0.5,19822.2507,16780.543380000003,20510.7894,593.44731,580.7169900000001,531.94878,136.57635,143.47071,137.4903,31.66857,30.71133,30.66786
0.6,38576.549069999994,33698.68803,40657.058730000004,4130.27352,3982.5402299999996,3465.3031199999996,1693.11798,1801.7521199999999,1929.7996199999998,848.37825,653.19192,716.3896500000001
0.7,42877.2006,38035.09809000001,45940.93236,10854.522449999999,10069.017749999999,9129.62421,5809.14927,6547.97916,6782.4507600000015,4025.359800000001,3574.27863,3536.71164
0.8,40168.14921,37078.51508999999,43525.46070000001,18917.141129999996,17798.8149,16184.898719999997,12191.714010000002,13901.631479999998,13944.633300000001,10084.910039999999,9065.406060000001,9144.487799999999
0.9,34142.038199999995,32427.907559999992,38358.49266,25629.23214,24297.431489999995,23025.281310000006,19250.24733,21689.162550000005,20969.860139999997,17778.90726,15562.26333,15836.88186
1.0,35808.176070000016,35198.01558,42083.012160000006,41793.47684999999,40194.66735,38030.56245,35241.45012,38974.605209999994,36495.12627,34841.31966,31759.361999999997,31684.181400000005
1.1,15827.419079999989,15596.236800000006,19132.82181,24796.681289999997,24475.703759999993,23192.881650000007,24014.0547,26435.68146,24034.279949999996,24271.149960000002,23056.38855,22691.74013999999
1.2,11547.411299999985,11214.242640000004,13782.341520000009,19801.463490000002,20118.807900000003,19175.96394,20980.089900000003,23543.428499999998,20335.755870000005,22198.292279999998,20788.76925,21358.900980000006
1.3,8617.657770000005,8174.689289999995,10162.122479999976,15316.465230000005,15668.867699999999,15149.00834999999,17585.742059999993,19114.341570000022,16351.204770000011,18424.842840000005,17307.963539999997,18166.71366
1.4,6528.1756500000265,6039.171179999998,7683.776729999998,11872.908900000002,12353.466150000007,12024.490950000007,13960.499670000001,15102.29447999999,12543.880859999987,14833.297710000003,13823.391059999994,14020.507799999996
1.5,5196.6633599999695,4646.842830000016,5873.849820000018,9350.580779999975,9632.476079999997,9747.228149999988,11033.489430000012,11802.41271,9799.289100000005,11407.319279999989,10762.958160000002,10889.523899999997
1.6,3907.118250000014,3538.875239999972,4351.050449999973,7330.127940000006,7577.864009999994,7599.062250000006,8387.81081999998,9388.813859999987,7252.980030000002,8729.300430000007,8051.949450000004,8413.952580000005
1.7,3027.2852699999785,2774.760210000022,3619.0263600000253,5989.842990000012,6155.406989999992,6227.188829999992,6854.716800000009,7395.1083000000035,5800.059000000001,6726.84795000001,6301.890900000002,6492.7665900000065
1.8,2492.144100000027,2197.1247299999886,2598.105690000004,4794.179579999993,4928.757030000019,5050.941300000017,5404.341150000004,5888.906549999996,4553.906669999997,5190.278039999994,4910.21396999999,5131.58238
1.9,2029.9965299999967,1763.1418499999927,2188.07441999999,4017.287250000012,4193.746919999998,4228.863479999985,4305.3021899999985,4849.175790000019,3643.58673000001,4164.932430000001,3939.4495800000077,4085.5349700000006
2.0,1750.3080299999929,1552.6863899999953,1954.0855799999918,3257.0648999999903,3374.5724999999875,3665.0291400000133,3615.710400000007,4064.6182499999813,3176.8964099999866,3351.100680000007,3342.3168599999917,3431.276909999993
2.1,1464.5924100000047,1148.681880000011,1498.8242700000046,2647.9025099999853,2789.685900000004,2941.161210000002,2749.156469999998,3214.5994800000008,2588.872410000011,2733.314669999989,2564.0545500000153,2559.928500000009
2.2,1171.163429999986,950.0557500000068,1350.2485799999995,2033.6695200000322,2226.3879600000073,2099.0724299999856,2285.302770000002,2528.054189999999,2044.9651499999854,2140.0632899999982,2148.5289599999924,2139.967709999997
2.3,1022.8080600000176,832.6767600000094,1169.0605799999976,1720.6676099999968,1839.282570000003,1807.493309999998,1867.3362000000016,2214.2553299999963,1644.3981000000058,1805.0978700000014,1727.6109300000098,1834.1153099999829
