#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,2080.0,2360.0,2680.0
1,2530.0,2940.0,3090.0
2,2580.0,2826.66666667,2926.66666667
3,2770.0,2965.0,3115.0
4,2924.0,3072.0,3240.0
5,3073.33333333,3186.66666667,3320.0
6,3174.28571429,3280.0,3382.85714286
7,3255.0,3310.0,3425.0
8,3300.0,3337.77777778,3444.44444444
9,3344.0,3372.0,3482.0
10,3374.54545455,3403.63636364,3480.0
11,3331.66666667,3440.0,3496.66666667
12,3366.15384615,3460.0,3515.38461538
13,3385.71428571,3480.0,3530.0
14,3413.33333333,3470.66666667,3544.0
15,3441.25,3485.0,3555.0
16,3463.52941176,3502.35294118,3569.41176471
17,3477.77777778,3516.66666667,3568.88888889
18,3486.31578947,3514.73684211,3574.73684211
19,3477.0,3523.0,3564.0
20,3477.14285714,3527.61904762,3561.9047619
21,3493.63636364,3540.0,3570.90909091
22,3510.43478261,3553.04347826,3571.30434783
23,3522.5,3564.16666667,3579.16666667
24,3528.0,3571.2,3581.6
25,3540.76923077,3577.69230769,3587.69230769
26,3545.92592593,3582.96296296,3592.59259259
27,3555.0,3587.85714286,3600.0
28,3566.20689655,3585.51724138,3602.06896552
29,3572.0,3589.33333333,3606.0
30,3578.06451613,3592.90322581,3615.48387097
31,3582.5,3595.0,3617.5
32,3587.87878788,3600.0,3618.18181818
33,3590.58823529,3602.35294118,3620.0
34,3588.57142857,3608.57142857,3623.42857143
35,3592.22222222,3614.44444444,3625.0
36,3596.21621622,3620.0,3625.40540541
37,3601.05263158,3620.0,3627.36842105
38,3601.53846154,3626.66666667,3629.74358974
39,3604.5,3630.5,3633.0
40,3611.2195122,3635.6097561,3633.65853659
41,3611.42857143,3639.04761905,3639.04761905
42,3610.69767442,3641.39534884,3644.18604651
43,3616.81818182,3631.81818182,3632.27272727
44,3583.55555556,3613.77777778,3618.66666667
45,3586.95652174,3616.52173913,3621.30434783
46,3587.65957447,3617.87234043,3625.53191489
47,3592.5,3616.66666667,3625.41666667
48,3595.91836735,3616.73469388,3627.34693878
49,3596.8,3619.6,3630.8
50,3596.8627451,3616.8627451,3632.54901961
51,3601.15384615,3618.84615385,3636.53846154
52,3605.28301887,3617.73584906,3638.86792453
53,3607.03703704,3621.85185185,3635.92592593
54,3605.81818182,3623.63636364,3638.18181818
55,3609.28571429,3626.07142857,3639.28571429
56,3610.1754386,3627.71929825,3639.64912281
57,3610.34482759,3628.27586207,3642.75862069
58,3612.54237288,3631.86440678,3643.38983051
59,3614.33333333,3635.66666667,3641.66666667
60,3615.40983607,3639.01639344,3643.60655738
61,3618.70967742,3641.61290323,3645.16129032
62,3620.0,3643.49206349,3645.07936508
63,3621.5625,3641.875,3645.625
64,3623.69230769,3643.07692308,3645.53846154
65,3627.27272727,3644.54545455,3647.27272727
66,3627.46268657,3646.86567164,3648.65671642
67,3627.94117647,3647.35294118,3649.41176471
68,3630.43478261,3648.98550725,3652.17391304
69,3632.57142857,3647.42857143,3654.57142857
70,3633.8028169,3647.32394366,3654.64788732
71,3633.05555556,3648.88888889,3655.0
72,3634.52054795,3649.8630137,3655.89041096
73,3637.2972973,3650.81081081,3658.10810811
74,3638.93333333,3653.06666667,3658.66666667
75,3639.47368421,3653.15789474,3659.21052632
76,3642.33766234,3653.50649351,3661.2987013
77,3644.35897436,3655.38461538,3659.74358974
78,3646.07594937,3655.94936709,3661.7721519
79,3645.25,3657.5,3661.0
80,3643.7037037,3659.50617284,3659.25925926
81,3646.09756098,3660.48780488,3660.24390244
82,3647.46987952,3661.20481928,3661.92771084
83,3649.28571429,3662.61904762,3663.57142857
84,3650.58823529,3663.05882353,3664.70588235
85,3652.3255814,3663.95348837,3665.11627907
86,3652.18390805,3665.28735632,3665.51724138
87,3640.0,3645.90909091,3634.54545455
88,3642.24719101,3648.08988764,898.876404494
