Time [s],Beginning of Time Timestamp - rep1,Beginning of Time Timestamp - rep2,Beginning of Time Timestamp - rep3,Mean Response Time [s] - rep1,Mean Response Time [s] - rep2,Mean Response Time [s] - rep3,Mean NetThread Processing Time [s] - rep1,Mean NetThread Processing Time [s] - rep2,Mean NetThread Processing Time [s] - rep3,Mean Waiting in Queue Time [s] - rep1,Mean Waiting in Queue Time [s] - rep2,Mean Waiting in Queue Time [s] - rep3,Mean Worker Pre-Processing Time [s] - rep1,Mean Worker Pre-Processing Time [s] - rep2,Mean Worker Pre-Processing Time [s] - rep3,Mean Server Service Time [s] - rep1,Mean Server Service Time [s] - rep2,Mean Server Service Time [s] - rep3,Mean Worker Post-Processing Time [s] - rep1,Mean Worker Post-Processing Time [s] - rep2,Mean Worker Post-Processing Time [s] - rep3,Mean Queue Size - rep1,Mean Queue Size - rep2,Mean Queue Size - rep3
0,22201782237122,22444246580922,22684919466722,23.3674030549,31.5425789633,34.0366034057,0.0711244779582,0.0841497919031,0.125989442316,20.3831320572,28.6401940976,30.6738750958,0.0718468290797,0.0902110480515,0.188465815241,2.70937312452,2.64318766553,2.94618169434,0.131926566125,0.0848363601967,0.102091358025,61.319025522,95.5327279607,83.4142188165
1,22201782237122,22444246580922,22684919466722,36.9491594093,41.9212517655,35.9526507909,0.0282007612667,0.108505014124,0.0232649091974,34.4623204629,39.0009774011,33.6223504394,0.0227497563946,0.105461793785,0.0402579086116,2.42375940926,2.68925681497,2.25424200351,0.0121290194884,0.0170507415254,0.0125355301699,111.913520097,109.111581921,113.500878735
2,22201782237122,22444246580922,22684919466722,34.4096635344,37.0552003307,33.7602231804,0.0205761009818,0.0211455502105,0.0187650920077,32.1622603086,34.6590834937,31.5570826971,0.0184444319776,0.0142035478052,0.012081488602,2.19807562412,2.34774810583,2.15697393573,0.0103070687237,0.013019633193,0.015319967042,113.347826087,113.730306675,113.577588575
3,22201782237122,22444246580922,22684919466722,34.288577378,33.8323615406,32.5962495901,0.0206993026499,0.0118842365887,0.018896403068,32.0471176569,31.6358088858,30.464730045,0.0152288981869,0.0255451169188,0.0138540862206,2.19585043236,2.14848049519,2.08807870934,0.00968108786611,0.0106428060523,0.0106903464692,113.136680614,113.560935351,113.525786829
4,22201782237122,22444246580922,22684919466722,33.7376264932,33.7631192949,33.8004931356,0.0147254246575,0.0129922109866,0.011432317408,31.5331857808,31.5632720415,31.6059489566,0.0272006027397,0.043386799672,0.0162627951675,2.15113720548,2.12624416507,2.15657715541,0.0113774794521,0.0172240776168,0.0102719110379,113.449315068,113.535118885,113.442888523
5,22201782237122,22444246580922,22684919466722,33.6812871655,32.7639200958,34.4848499163,0.0172907973785,0.0125700825126,0.0187325334821,31.4908797925,30.6344426936,32.2245020368,0.0164748225014,0.0151552036199,0.0124339006696,2.14487187329,2.09088336439,2.21798551897,0.0117698798471,0.0108687516636,0.0111959263393,113.521845986,113.508118179,113.349888393
6,22201782237122,22444246580922,22684919466722,34.0709289707,33.157086967,33.6636515971,0.0194863309353,0.014143684634,0.0113868686869,31.841610902,30.998544516,31.4846599509,0.0161813503044,0.0183247519442,0.0125343161343,2.18204762037,2.115001904,2.14434752935,0.0116027670172,0.0110721104854,0.0107229320229,113.202268954,113.543845535,113.395577396
7,22201782237122,22444246580922,22684919466722,33.6634672861,33.8131188907,33.2318776607,0.0128964197868,0.0174724601867,0.0208376823339,31.4679317846,31.6111007963,31.0585813344,0.0198154960372,0.0163519220209,0.01246636953,2.15249702104,2.15735164745,2.13001915181,0.0103265646351,0.0108420647996,0.00997312263641,113.367040175,113.507962658,113.468125338
8,22201782237122,22444246580922,22684919466722,33.1427171113,34.1308772387,31.8323094671,0.0153459714363,0.0135687829221,0.011522115882,30.9849200485,31.9077613529,29.7625780911,0.0178661007815,0.0165590518436,0.0134435075013,2.11194686068,2.18159658996,2.03397723745,0.0126381298841,0.011391461048,0.0107885152613,113.420910806,113.268089825,113.498448008
9,22201782237122,22444246580922,22684919466722,34.4719964326,33.344842091,33.4302487402,0.0131277313266,0.0213773022752,0.0123489569222,32.2290802397,31.1670940953,31.2549363858,0.0236979375697,0.0160365655471,0.0184692495259,2.19543037904,2.1293725623,2.13407076673,0.0106601449275,0.0109615655471,0.0104233811975,113.529264214,113.346695558,113.633161745
10,22201782237122,22444246580922,22684919466722,34.1723672433,33.6386516278,32.749124051,0.0155923270089,0.012683478025,0.0116149190337,31.9431592913,31.44557637,30.6189234935,0.0147023995536,0.0160871134021,0.0118817095832,2.18785145089,2.1535150841,2.09677061322,0.0110617745536,0.0107895822029,0.00993331563578,113.215680804,113.504340749,113.591717547
11,22201782237122,22444246580922,22684919466722,33.5845419196,33.2643924912,32.9028987984,0.0133730380093,0.0131017348875,0.0114567957276,31.3926482909,31.1039718352,30.7611652603,0.0310528575335,0.016112821903,0.0192561014686,2.13724309543,2.12027815126,2.10105102804,0.0102246376812,0.0109279479534,0.00996961281709,113.184304074,113.567633505,113.576769025
12,22201782237122,22444246580922,22684919466722,33.8095363761,32.3989136435,31.9888361868,0.0188598410088,0.0136839642482,0.0114290272374,31.5938505757,30.2906541272,29.9141158495,0.017693941886,0.0163681125131,0.0121412451362,2.16651060855,2.0679163775,2.04107164721,0.0126214089912,0.01029106204,0.0100784176394,113.432839912,113.511041009,113.611932555
13,22201782237122,22444246580922,22684919466722,34.5588503373,32.4184560315,33.9425573315,0.0159813940416,0.0137633114323,0.0111765612105,32.3049681563,30.31068,31.7362954333,0.0189254637437,0.0167763994744,0.0116228885832,2.20562492974,2.06652586071,2.17421350757,0.0133503934795,0.0107104599212,0.00924894085282,113.26222597,113.632325887,113.451444292
14,22201782237122,22444246580922,22684919466722,33.1930927955,33.8078778936,32.3796109301,0.0146314624933,0.0144070762479,0.012466868103,31.0373511873,31.6021855458,30.2717157646,0.0220253912574,0.017002934723,0.0147649763531,2.10818070696,2.15438477784,2.06976897005,0.0109040474906,0.0198975589687,0.0108943510247,113.797085807,113.447613823,113.4792433
