#Clients	Mean User CPU - READ-ONLY	Std User CPU - READ-ONLY	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - READ-ONLY	Std System CPU - READ-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - READ-ONLY	Std Net-Received - READ-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - READ-ONLY	Std Net-Sent - READ-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - READ-ONLY	Std Context Switches - READ-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
2	0.907246376812	0.0107049973575	1.2192173913	0.0397877679398	1.72280676329	0.0231275926097	1.71417149758	0.0702360759288	75.7631977468	0.973312548841	1037.91422054	5.48394081861	1012.59433735	13.1341037883	68.7690193803	0.35912562455	1025.72554348	12.1221450044	1076.51768841	6.06131364208
10	1.40799178049	0.0295655287881	1.92065337365	0.0614309560429	2.79185962534	0.0552566390554	2.49446476862	0.10011542738	279.144961154	2.84346897926	3367.83922609	99.6818916059	3736.19284713	37.8171665248	222.386385261	6.59121219749	1600.69787683	19.5532802149	1668.92576603	19.6610082458
16	1.49716183575	0.0379209807602	2.27862014736	0.0869421519204	3.06950483092	0.0448006476548	2.91656742432	0.0808804281976	355.062731167	16.4647181841	4454.50946415	269.079687335	4752.58038949	220.669987973	294.025796177	17.7358988534	1951.54111594	62.6026110472	2267.30579943	85.6348953118
30	1.84989613527	0.12184248924	2.76994202899	0.1498915891	3.80229227053	0.253951286353	3.5521884058	0.201695012858	502.164258284	25.1131660412	5916.06190321	483.228397517	6722.64663062	336.538531204	390.385994584	31.8622147436	2209.96712802	96.0824848081	2598.84197585	167.494510698
44	1.92330917874	0.0587100758604	2.74483333333	0.213870861168	3.99227294686	0.119966221023	3.52973429952	0.263317779973	557.149189972	3.38706117401	6387.6896607	717.696307172	7460.29799309	45.6175602396	421.482577559	47.3155886729	2139.38742512	9.25929944623	2408.20288164	207.632381463
56	1.9275366837	0.0361347867151	2.83034476766	0.140475387862	3.97525558683	0.056600319929	3.62301112154	0.184176208476	566.208545222	4.01226667972	6696.32869898	337.417293546	7582.10064652	53.7255806359	441.831446901	22.2473007035	2050.07629123	19.3822649579	2245.16071112	109.109800347
64	1.9131763285	0.0511724724812	2.72645652174	0.0549877555381	4.01931642512	0.0707293784379	3.55001690821	0.0944775254344	568.52701587	3.29566004668	6206.31734743	342.13540195	7612.8312316	44.2498844413	409.548295026	22.5672880414	2114.54308937	69.6356061374	2349.0603913	134.830020553
84	1.87243719807	0.0466118374204	2.87135024155	0.0512154488986	3.88409178744	0.0878318564321	3.81577294686	0.052564472614	558.595127566	11.6961456429	6965.19596118	32.897999773	7479.99579654	156.721164706	459.565516965	2.17544417827	1993.8311401	40.5403166898	2237.32778744	68.4542069901
104	1.80064094811	0.0701950611841	2.76370083064	0.0946361464602	3.82043479999	0.126226609174	3.68876959302	0.17323753041	551.394302323	15.5603252179	6966.10536666	86.7918572078	7383.08206972	208.73210807	459.623535462	5.71777745353	1981.81739457	34.6410264918	2209.49259761	165.738281847
128	1.78728972251	0.0601787018733	2.72601449275	0.0818803156342	3.81160799931	0.0691568789085	3.70911352657	0.103461006886	545.964601366	15.7162678335	6792.51300668	162.021768845	7310.42642657	210.513452675	448.180409307	10.6794977866	1999.79955257	19.6480901701	2260.42869807	217.795634274
