#Number of Clients,Mean Throughput [req/s] READ-ONLY - 8 WORKERS,Std Dev Throughput [req/s] READ-ONLY - 8 WORKERS,Mean Response Time [s] READ-ONLY - 8 WORKERS,Std Dev Response Time [s] READ-ONLY - 8 WORKERS,Mean Throughput [req/s] READ-ONLY - 16 WORKERS,Std Dev Throughput [req/s] READ-ONLY - 16 WORKERS,Mean Response Time [s] READ-ONLY - 16 WORKERS,Std Dev Response Time [s] READ-ONLY - 16 WORKERS,Mean Throughput [req/s] READ-ONLY - 32 WORKERS,Std Dev Throughput [req/s] READ-ONLY - 32 WORKERS,Mean Response Time [s] READ-ONLY - 32 WORKERS,Std Dev Response Time [s] READ-ONLY - 32 WORKERS,Mean Throughput [req/s] READ-ONLY - 64 WORKERS,Std Dev Throughput [req/s] READ-ONLY - 64 WORKERS,Mean Response Time [s] READ-ONLY - 64 WORKERS,Std Dev Response Time [s] READ-ONLY - 64 WORKERS
2,1407.65,8.83996983404,1.41,0.00816496580928,1414.12,18.3310283399,1.40333333333,0.016996731712,1436.38,17.171295816,1.38,0.0163299316186,1433.54666667,10.5179919926,1.38333333333,0.00942809041582
10,5092.62333333,83.6935084433,1.95666666667,0.0309120616517,5231.59333333,40.7572981876,1.90666666667,0.0124721912892,5773.09666667,142.321142101,1.72666666667,0.040276819912,6394.30666667,190.442125825,1.56,0.0454606056566
16,6977.54333333,238.236239244,2.3,0.0637704215657,6638.89666667,308.168655591,2.41,0.110453610172,7321.46,306.606550593,2.17666666667,0.0974109279747,7806.74,403.07353994,2.04,0.096263527188
30,7940.89,780.565559578,3.80666666667,0.358267435801,9428.39333333,522.669855156,3.2,0.15748015748,10257.8166667,251.657798122,2.93,0.0637704215657,10400.0033333,331.392889316,2.88333333333,0.0928559218479
44,8128.42333333,146.167719723,5.43,0.115758369028,10383.11,76.8352419141,4.21666666667,0.0249443825785,9999.12333333,882.634753162,4.41333333333,0.389643711899,10647.4166667,329.362194788,4.13,0.134412301024
56,8301.20333333,243.583146972,6.77,0.160831174424,10655.98,69.2928716873,5.27,0.0294392028878,10427.0066667,234.032618287,5.35,0.128322510366,10507.5533333,262.834873426,5.32666666667,0.132748718345
64,8575.42666667,208.681606973,7.46,0.176635217327,10674.6766667,118.017055924,6.01333333333,0.0385861230093,10363.6333333,369.664242733,6.18,0.22045407685,10782.2266667,197.537944766,5.93333333333,0.110855260989
84,8249.98666667,197.858165754,10.1833333333,0.244994331,10440.7633333,229.340943042,8.04333333333,0.177451088723,10394.97,416.620403805,8.09,0.328734948958,10799.5133333,164.408302575,7.77,0.118602979164
104,8642.25,185.141765682,12.03,0.255081686263,10338.0866667,293.044776594,10.0633333333,0.288251433455,10335.3133333,571.075651867,10.0866666667,0.578811041897,10685.2366667,308.310949674,9.73333333333,0.287672653472
128,8437.80666667,57.5907135647,15.1633333333,0.102740233383,10294.2333333,250.128249948,12.4166666667,0.322731398466,10629.34,309.133200201,11.96,0.327515902922,10600.67,299.635100414,12.08,0.332565782966
