#Virtual Clients per Thread,Number of Worker Threads,Timestamp - rep1,Timestamp - rep2,Timestamp - rep3
1,8,22157372213493.0,22334008573693.0,22510873375693.0
1,16,22687141383693.0,22864382725493.0,23041608004793.0
1,32,23218447400793.0,23396449419293.0,23574688701293.0
1,64,23752777155493.0,23933078361493.0,24113043197393.0
5,8,24384177541393.0,24562266024593.0,24740336512193.0
5,16,24919097505993.0,25097753431693.0,25276199233593.0
5,32,25455944726693.0,25635148883293.0,25814560690093.0
5,64,25996648114493.0,26177913212793.0,26359449846293.0
8,8,26632519121793.0,26811384925993.0,26990322751093.0
8,16,27168898927893.0,27348099043893.0,27527053687993.0
8,32,27706258730493.0,27887904136293.0,28068304711493.0
8,64,28251234288693.0,28433749504193.0,28616350569193.0
15,8,28889331067693.0,29069949361593.0,29249722290993.0
15,16,29429307918493.0,29609151621793.0,29790126429693.0
15,32,29969961842693.0,30151319380493.0,30332763268693.0
15,64,30514072450493.0,30696884929193.0,30879758570593.0
22,8,31154432746793.0,31334935891593.0,31515214244993.0
22,16,31695268382293.0,31875645456193.0,32056809198293.0
22,32,32237486326793.0,32418829999793.0,32600439070893.0
22,64,32781638062293.0,32965454897893.0,33148534714093.0
28,8,33423649374893.0,33603808463793.0,33783863756593.0
28,16,33963793921393.0,34146050535193.0,34329116172093.0
28,32,34510689556893.0,34692495651893.0,34874249656393.0
28,64,35055725912993.0,35239802927093.0,35424554536293.0
32,8,35699137524393.0,35879411367193.0,36059798595493.0
32,16,36240115985193.0,36421942657293.0,36603407403893.0
32,32,36785476848093.0,36967452595293.0,37152884196193.0
32,64,37335690385793.0,37519624047393.0,37703600602893.0
42,8,37978642102393.0,38159722887593.0,38341249438793.0
42,16,38523362748993.0,38705797933593.0,38887555729193.0
42,32,39070776160993.0,39253256700793.0,39435759817893.0
42,64,39618805099093.0,39803217798393.0,39988233395293.0
52,8,40264652971793.0,40447174413393.0,40629098008693.0
52,16,40810591891993.0,40993246610593.0,41175527560793.0
52,32,41359148118893.0,41542257496893.0,41727287550293.0
52,64,41910157915693.0,42095089504193.0,42280742398493.0
64,8,42557484914193.0,42739707814193.0,42923429433093.0
64,16,43105842316193.0,43290909074593.0,43475372861593.0
64,32,43660118366293.0,43845156076393.0,44030180104393.0
64,64,44215429960193.0,44401579492193.0,44588646710993.0
