#Virtual Clients per Thread,Number of Worker Threads,Timestamp - rep1,Timestamp - rep2,Timestamp - rep3
1,8,273569089193.0,451682119693.0,628218801793.0
1,16,805183196193.0,982181313793.0,1160188292993.0
1,32,1337034116593.0,1515870763793.0,1695097689293.0
1,64,1877826741893.0,2061800755693.0,2241214389393.0
5,8,2422318537893.0,2600592272193.0,2779628075793.0
5,16,2958835729493.0,3142397724993.0,3324629635693.0
5,32,3504655158693.0,3685498567893.0,3867237544393.0
5,64,4048066055193.0,4232597312493.0,4415884489993.0
8,8,4598082684993.0,4776147233193.0,4955653501293.0
8,16,5135459152393.0,5315154661793.0,5495439583393.0
8,32,5676653177593.0,5858770163493.0,6039804515293.0
8,64,6220326291193.0,6402890163493.0,6585484038193.0
15,8,6767001127693.0,6946308336893.0,7125647742293.0
15,16,7304824082293.0,7484308997693.0,7663785618993.0
15,32,7843401423593.0,8023539806893.0,8203670440393.0
15,64,8384415195893.0,8566299907093.0,8748532196693.0
22,8,8930913868293.0,9109788414893.0,9289230794893.0
22,16,9468236574093.0,9648724142993.0,9829340255893.0
22,32,10009918598893.0,10191666343693.0,10372156101993.0
22,64,10554047939593.0,10737808366493.0,10920361343893.0
28,8,11103816452893.0,11283363642893.0,11462821701993.0
28,16,11643618898093.0,11824429805493.0,12005383850193.0
28,32,12186113804493.0,12368079816393.0,12550881468193.0
28,64,12732438663493.0,12915831181393.0,13099387828193.0
32,8,13283468300593.0,13463326381793.0,13643812647393.0
32,16,13823826979293.0,14004828682193.0,14185089177193.0
32,32,14366109764693.0,14549216210693.0,14734189074293.0
32,64,14915927001993.0,15099797338893.0,15283140152193.0
42,8,15466800873893.0,15647660295393.0,15828683495593.0
42,16,16011144873893.0,16193689077793.0,16375115525693.0
42,32,16556430811193.0,16739426255793.0,16922043668993.0
42,64,17105199256193.0,17290070700393.0,17473530127993.0
52,8,17657908673593.0,17838875200493.0,18021233018993.0
52,16,18202152780893.0,18384144747393.0,18567769106993.0
52,32,18750034303693.0,18933703860593.0,19117320685893.0
52,64,19300476403093.0,19486149556793.0,19671514008393.0
64,8,19857152976093.0,20040026630493.0,20221474416493.0
64,16,20403510578693.0,20586613658293.0,20769653037993.0
64,32,20952886195693.0,21137009145093.0,21321267512293.0
64,64,21506062546593.0,21692273047793.0,21878466126093.0
