#Number of Clients,Mean Throughput [req/s] - 8 WORKERS,Std Dev Throughput - 8 WORKERS,Response Time [ms] - 8 WORKERS,Mean Throughput [req/s] - 16 WORKERS,Std Dev Throughput - 16 WORKERS,Response Time [ms] - 16 WORKERS,Mean Throughput [req/s] - 32 WORKERS,Std Dev Throughput - 32 WORKERS,Response Time [ms] - 32 WORKERS,Mean Throughput [req/s] - 64 WORKERS,Std Dev Throughput - 64 WORKERS,Response Time [ms] - 64 WORKERS
2,1459.57292333,54.5331245686,1.3702638409,1410.8076852,10.6113314436,1.41762766178,1408.74293564,15.7135669919,1.41970543341,1377.25196668,28.3233080048,1.45216710405
10,4299.9594842,40.4621919006,2.32560330783,4768.93302957,38.3940008288,2.09690510183,5129.81123849,151.306299303,1.94938946778,5555.41177487,494.379521263,1.80004658615
16,6085.86224114,139.821654229,2.6290440641,6201.89151756,340.484477504,2.57985808922,6590.05897494,290.231434646,2.42789936491,6600.20761009,506.365614479,2.42416616949
30,7291.8097935,189.897515711,4.11420495728,8344.78477195,652.138482908,3.59505976725,8429.04311296,581.837756964,3.55912285629,7945.72299515,502.326473919,3.77561614196
44,7074.62989506,65.1250832153,6.21940661952,8778.78784014,1083.13690119,5.01208148565,8946.91355108,1395.54428011,4.91789707688,9367.13587477,707.923480834,4.69727359443
56,7123.69566922,157.078156492,7.86108820482,9319.30683159,469.235008004,6.00903060839,9844.47446822,567.141825684,5.68847023585,10323.5868824,310.135525818,5.42447122668
64,6658.78114789,183.30625289,9.61136859412,8782.74743424,484.627846808,7.28701360015,10326.4320719,820.126028259,6.19768759957,10310.7356683,291.892810569,6.20712256222
84,7316.9403586,243.669126268,11.4802083772,9553.6347861,282.498954099,8.79246505447,11053.9488455,522.365307015,7.59909433034,10450.0284156,303.143867462,8.03825565434
104,7013.72934562,253.42510015,14.8280600627,9609.34153193,135.410966418,10.8228019219,11110.7795524,906.022273307,9.36027931338,11842.0157614,520.364109169,8.78228859811
128,6920.99471496,361.502383911,18.4944513429,9347.45919473,275.359688915,13.6935607135,10725.1832009,995.695285756,11.934528073,11648.674798,416.808165419,10.9883744048
