#Clients	Mean User CPU - READ-ONLY	Std User CPU - READ-ONLY	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - READ-ONLY	Std System CPU - READ-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - READ-ONLY	Std Net-Received - READ-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - READ-ONLY	Std Net-Sent - READ-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - READ-ONLY	Std Context Switches - READ-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
2	1.63836153846	0.0234153745072	1.86515569693	0.532605775739	2.08857179487	0.0326599359084	2.40883809524	0.447653191065	951.588521635	10.7410189609	69.3722806114	14.6517894066	71.8205629006	0.787747892738	870.684369973	32.2494680825	2376.0795	45.1960816167	2164.19518718	54.6009344487
10	2.99117179487	0.0111087192034	2.52151794872	0.13426120562	3.57176410256	0.00794838957138	3.16917179487	0.191798631905	4404.39095803	26.1774800548	247.84298127	14.7151383797	329.553407953	1.938157482	3754.04711538	223.760590053	2638.33458718	12.8880229745	2207.02100256	121.898043656
16	3.98418974359	0.0407587757922	3.45805384615	0.0609051459627	4.60414102564	0.0583023386803	4.22908205128	0.0364758288199	6373.71517428	130.836386693	382.461255509	7.63425282372	476.545520333	9.75062641191	5795.34080278	115.994356721	2992.04640256	82.2811303465	2692.95848462	16.3542509009
30	5.10196637748	0.387544908167	4.66434358974	0.213697073135	5.80463366108	0.292995636085	5.64451282051	0.139744169794	7745.9600979	185.291569343	517.60544371	13.7118910596	578.988814528	13.8392079308	7841.95159004	207.71432025	2654.11529925	111.395426202	2521.16220256	99.4117937755
44	5.18638974359	0.335094620235	5.74024358974	0.447317030144	5.87236666667	0.145608351021	6.88257948718	0.653947912876	8032.80432442	37.460890321	586.378170072	26.3689028996	600.447102865	2.78772664486	8882.97033504	399.926106319	2688.73283846	31.6365302646	2608.42163333	101.887365009
56	4.73657809748	0.219868122677	6.42030769231	0.377913544844	5.56077952633	0.204914240345	7.91854102564	0.331676585323	8204.56744488	125.446272776	668.689352965	24.5926588051	613.305433407	9.39418857408	10128.203721	374.150460113	2158.19518403	31.4856034042	2525.53673846	48.6883959287
64	4.81867079663	0.375184245436	6.77511538462	0.234997681553	5.60766465062	0.322685107496	8.46112307692	0.221171626398	8247.0578454	22.2826481681	707.629915365	15.6611216722	616.481677401	1.66232803524	10718.0692333	238.151970641	2060.78446964	57.2976694527	2472.80489231	79.5358937081
84	4.93528205128	0.450056037376	6.4789025641	0.11267824509	5.68309230769	0.349090566966	8.17029487179	0.509296338266	8353.65016526	24.417502111	703.403370393	17.5788731	624.477361278	1.8407544953	10648.1538186	265.993185086	1897.61263077	115.683191538	2453.04841026	20.0006287159
104	5.15123589744	0.345835970418	7.40443411033	0.756207776305	5.97607179487	0.276923021534	9.15387583528	0.688664578363	8319.11774339	15.9976995187	744.544712525	41.5501133379	621.981024639	1.1420116785	11264.614608	633.341479958	1793.42844872	82.7240239472	2266.27596437	111.142552128
128	4.90217071525	0.313683577914	8.11919637212	0.376842294719	5.91940252554	0.212165092206	10.2014068934	0.671308778443	8300.391384	111.981149761	788.644602107	48.730496027	620.610999065	8.37830059557	11928.105846	741.09137808	1667.45950677	100.143202076	2004.08792471	31.8664607246
