Number of Clients,Mean Throughput [req/s] READ-ONLY - 8 WORKERS,Std Dev Throughput [req/s] READ-ONLY - 8 WORKERS,Mean Response Time [s] READ-ONLY - 8 WORKERS,Std Dev Response Time [s] READ-ONLY - 8 WORKERS,Mean Throughput [req/s] READ-ONLY - 16 WORKERS,Std Dev Throughput [req/s] READ-ONLY - 16 WORKERS,Mean Response Time [s] READ-ONLY - 16 WORKERS,Std Dev Response Time [s] READ-ONLY - 16 WORKERS,Mean Throughput [req/s] READ-ONLY - 32 WORKERS,Std Dev Throughput [req/s] READ-ONLY - 32 WORKERS,Mean Response Time [s] READ-ONLY - 32 WORKERS,Std Dev Response Time [s] READ-ONLY - 32 WORKERS,Mean Throughput [req/s] READ-ONLY - 64 WORKERS,Std Dev Throughput [req/s] READ-ONLY - 64 WORKERS,Mean Response Time [s] READ-ONLY - 64 WORKERS,Std Dev Response Time [s] READ-ONLY - 64 WORKERS
2,1236.54333333,30.5839722004,1.62666666667,0.0392286743198,1251.87666667,14.1415612842,1.61,0.0177951304201,1220.68666667,20.4086588377,1.66166666667,0.0224845626054,1260.37333333,35.3653750942,1.61333333333,0.0447834294751
10,5780.49,58.2111484168,1.73833333333,0.016996731712,5795.87,34.3511319561,1.73333333333,0.0102740233383,6123.65666667,144.118345891,1.64166666667,0.0379326889225,6116.66666667,75.355345899,1.64,0.0216024689947
16,8170.60333333,159.70823029,1.94666666667,0.0235702260396,8355.49333333,90.7602094655,1.905,0.040207793606,8664.49666667,77.9187150533,1.835,0.0216024689947,8857.33666667,99.0887347561,1.80166666667,0.0224845626054
30,9930.48666667,201.249725024,2.99333333333,0.0659966329107,10249.2033333,246.757414523,2.93666666667,0.0661227814163,10323.4266667,298.892526095,2.91833333333,0.0714531703674,10660.4866667,295.177015177,2.82666666667,0.0648502548611
44,10464.5033333,211.788441349,4.19833333333,0.0862489935529,10569.8,49.1621202418,4.16,0.025495097568,10666.62,69.1727436688,4.12333333333,0.0249443825785,10603.39,212.047992681,4.145,0.0849509662492
56,10789.62,97.9563055653,5.22666666667,0.0590668171556,10836.03,134.908246103,5.18,0.0674536878162,10452.0233333,41.3806785294,5.35833333333,0.020138409956,10624.9233333,184.123715172,5.29666666667,0.0766304262172
64,10682.3933333,152.657447975,5.98833333333,0.0840965054103,10897.94,61.6782506237,5.90833333333,0.00942809041582,10709.56,177.91748668,5.99333333333,0.084885543855,10790.5633333,181.078462613,5.93833333333,0.112718922793
84,10835.98,39.0295281379,7.75166666667,0.023213980462,10991.85,32.2703620473,7.66166666667,0.0205480466766,10877.3533333,62.1775738421,7.73333333333,0.0447834294751,10690.72,293.887723799,7.865,0.22319647548
104,10882.9566667,36.5049917439,9.55666666667,0.0311804782231,10945.2966667,21.2822027891,9.52333333333,0.0400693842672,10821.95,252.455171466,9.63666666667,0.216268865587,10829.25,327.160860434,9.65833333333,0.272100879986
128,10922.2366667,74.1061748814,11.7266666667,0.0678642435717,10969.4333333,78.0804441301,11.6733333333,0.091043335225,10807.46,203.105275329,11.8533333333,0.228958996814,11035.83,49.1463860998,11.6183333333,0.0634209919681
