Number of Clients,Mean Throughput [req/s] WRITE-ONLY - 8 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 8 WORKERS,Mean Response Time [s] WRITE-ONLY - 8 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 8 WORKERS,Mean Throughput [req/s] WRITE-ONLY - 16 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 16 WORKERS,Mean Response Time [s] WRITE-ONLY - 16 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 16 WORKERS,Mean Throughput [req/s] WRITE-ONLY - 32 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 32 WORKERS,Mean Response Time [s] WRITE-ONLY - 32 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 32 WORKERS,Mean Throughput [req/s] WRITE-ONLY - 64 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 64 WORKERS,Mean Response Time [s] WRITE-ONLY - 64 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 64 WORKERS
2,1179.09,39.9471926423,1.71833333333,0.0597680702568,1154.57,32.4902764942,1.76166666667,0.0473168985553,1145.08333333,40.6001324574,1.77833333333,0.0612825877028,1196.57666667,89.6170617436,1.71166666667,0.130533094995
10,5132.03,85.5280741433,1.95666666667,0.0327448045073,4945.69333333,295.390949572,2.04166666667,0.129636243218,5570.63,17.4152481081,1.805,0.00408248290464,5460.89666667,135.053803188,1.84166666667,0.0449691252108
16,7273.14333333,344.449015514,2.185,0.0965228815705,7608.14333333,175.607981279,2.095,0.0426223728418,7971.22333333,152.0546157,1.99833333333,0.0368178700573,8102.65333333,236.549724911,1.97833333333,0.0632894584868
30,9923.75,191.723939733,3.02166666667,0.033993463424,10296.4766667,322.371218456,2.90166666667,0.0744237118726,9563.32,1307.63048504,3.185,0.463195423121,10823.88,802.4592491,2.78,0.184571575999
44,10812.37,584.830952384,4.09333333333,0.220617819367,11704.4166667,526.92810277,3.76666666667,0.168835883495,12460.88,145.094470145,3.53833333333,0.0449691252108,12828.0833333,142.382480508,3.42666666667,0.0392286743198
56,11311.7833333,358.782558228,4.95166666667,0.161314048434,13391.7966667,426.928071173,4.2,0.155617051336,13529.0566667,449.666526242,4.145,0.13638181697,13527.93,1274.58125571,4.245,0.512461380659
64,11376.1833333,260.285665802,5.63333333333,0.126578916974,14122.5866667,313.739515026,4.54333333333,0.11960583412,13665.0833333,748.087145562,4.75333333333,0.354737774827,13408.8433333,2194.73599531,4.92166666667,0.896421899678
84,11726.5066667,194.891409308,7.165,0.118953772534,14029.8766667,350.758740099,5.98833333333,0.149461998143,14551.79,327.035869898,5.77666666667,0.126841983936,16307.7333333,390.818353572,5.15666666667,0.121541031023
104,12577.2233333,15.1790520858,8.265,0.0108012344973,14986.5466667,784.047804041,6.97166666667,0.36697714128,16244.45,498.984966173,6.40333333333,0.199847163825,17037.7866667,592.36172695,6.12,0.202361063448
128,12924.26,72.8502587504,9.905,0.0552268050859,15874.0766667,933.014711364,8.10333333333,0.51082177801,16520.8566667,529.847037822,7.785,0.243550131732,16895.5833333,755.854230979,7.60166666667,0.342352969252
