#Clients	MNT	WIQ	PrP	SST	PsP
2	0.0169683602	0.0146076693	0.0119880377	0.8174007388	0.0095528979
10	0.0153073404	0.0621875335	0.0154502707	0.7018199859	0.0101374261
16	0.0157908124	0.0793498747	0.0147447297	0.7730911677	0.0092781367
30	0.0178665739	0.1222362111	0.0196626183	0.8431807936	0.0094356779
44	0.0211195153	0.1609318116	0.0210233047	0.9220896673	0.0093795719
56	0.0298200177	0.1820260519	0.0314294943	1.0057277537	0.0095559946
64	0.0206541623	0.1753328906	0.0205272881	1.0108616368	0.0089688414
84	0.0369449087	0.2412924324	0.0499421544	1.1102434823	0.0094170296
104	0.0321821999	0.3252250293	0.0430727162	1.2051332093	0.0094802376
128	0.035519792	0.4199245997	0.0474779881	1.2602850354	0.0096089605
