#Clients	MNT	WIQ	PrP	SST	PsP
2	0.0070793077	0.014518206	0.0041138685	0.7838036076	0.0271306189
10	0.0037591088	0.0728794786	0.0030404216	0.74260713	0.0225783235
16	0.0036489909	0.1055856146	0.0027725069	0.6888553911	0.035376752
30	0.0035596564	0.1527392648	0.0023761406	1.0517097513	0.0504042561
44	0.0037229156	0.1556451679	0.0022592157	1.6086018628	0.1298236333
56	0.0035390763	0.2030185141	0.002160835	2.6692587867	0.0294602971
64	0.0034982319	0.2235147344	0.0022263249	3.5026998414	0.0595236951
84	0.003852398	0.2412040554	0.0022063977	4.8688360524	0.0880222207
104	0.0039600501	0.2587692147	0.0021310271	6.3899741073	0.1137063431
128	0.0037824484	0.3388778256	0.0020652103	7.7834886106	0.032360335
