#Virtual Clients per Thread,Number of Worker Threads,MW1: Timestamp - rep1,MW1: Timestamp - rep2,MW1: Timestamp - rep3,MW2: Timestamp - rep1,MW2: Timestamp - rep2,MW2: Timestamp - rep3
1,8,25807436063112.0,26035201002112.0,26262458096212.0,25747412006005.0,25975182603205.0,26202415454905.0
1,16,26489644632112.0,26719088037712.0,26957060188012.0,26429599021905.0,26659048109205.0,26897017896605.0
1,32,27184745513512.0,27414775507812.0,27654288316812.0,27124722556605.0,27354751686605.0,27594250531405.0
1,64,27883927859612.0,28116684328712.0,28349975513412.0,27823887022005.0,28056661390705.0,28289936187105.0
5,8,23033458488012.0,23261308979912.0,23489854508012.0,22973416736205.0,23201262897005.0,23429839545005.0
5,16,23717899839512.0,23946823463312.0,24180327793612.0,23657864002205.0,23886793729805.0,24120285825805.0
5,32,24409335182212.0,24639895664512.0,24870490813512.0,24349289985905.0,24579875244405.0,24810462827705.0
5,64,25101448447112.0,25337962924212.0,25571716125712.0,25041405034805.0,25277911590405.0,25511714641405.0
8,8,20251983448412.0,20481053425312.0,20709403516512.0,20191944609705.0,20421019428605.0,20649346511305.0
8,16,20939631055712.0,21171718076012.0,21401260536012.0,20879551420905.0,21111664173105.0,21341213237705.0
8,32,21631564483212.0,21862797399412.0,22095007442812.0,21571510648405.0,21802751652805.0,22034976574305.0
8,64,22327037502112.0,22562822053012.0,22798500944912.0,22266991663005.0,22502769084805.0,22738492738505.0
15,8,17445826229812.0,17679187706612.0,17908703495612.0,17385776179805.0,17619119328105.0,17848624208505.0
15,16,18139664431012.0,18370679798512.0,18602089376812.0,18079576533605.0,18310700557805.0,18542023137505.0
15,32,18838140571512.0,19078889077412.0,19310160906112.0,18778102066205.0,19018834685705.0,19250099618505.0
15,64,19542745425512.0,19780041863312.0,20016108902512.0,19482685653505.0,19719990220505.0,19956050914505.0
22,8,14620438806512.0,14850758930112.0,15092395269312.0,14560383417205.0,14790686289505.0,15032316019105.0
22,16,15323027845112.0,15554626542212.0,15787204596212.0,15262995748805.0,15494557362605.0,15727149650605.0
22,32,16025060493812.0,16259151909312.0,16493395920812.0,15965019853005.0,16199077326705.0,16433329064305.0
22,64,16727586097212.0,16965563868412.0,17205695196912.0,16667527481705.0,16905503546705.0,17145627535305.0
28,8,11810854525312.0,12046321581412.0,12276830056412.0,11750744277905.0,11986240285905.0,12216778627205.0
28,16,12507751596412.0,12740010722212.0,12972951487612.0,12447678237805.0,12679937344305.0,12912902427105.0
28,32,13204548713612.0,13438890855512.0,13673090166312.0,13144486801705.0,13378822385005.0,13613059323105.0
28,64,13907338950112.0,14145553898612.0,14382523345812.0,13847268747105.0,14085502423505.0,14322475600805.0
32,8,8996622184612.0,9227598148612.0,9458829237612.0,8936550248605.0,9167540660605.0,9398767523105.0
32,16,9689845290912.0,9922594766612.0,10155681171712.0,9629758775505.0,9862553772905.0,10095620768005.0
32,32,10388975230612.0,10622882469812.0,10860279869412.0,10328886895105.0,10562807680705.0,10800209896005.0
32,64,11094095350412.0,11333951268712.0,11574429243112.0,11034011738305.0,11273899590505.0,11514379653805.0
42,8,6172023842512.0,6403790937212.0,6635430496312.0,6111947005005.0,6343732859105.0,6575379447605.0
42,16,6867933725312.0,7102574757212.0,7339877685812.0,6807870424905.0,7042513459605.0,7279786333105.0
42,32,7572884525912.0,7808017668312.0,8043843304512.0,7512824529105.0,7747953659405.0,7983703137005.0
42,64,8278618144012.0,8517452690812.0,8756385132412.0,8218507387205.0,8457372818905.0,8696294310305.0
52,8,3333158880712.0,3567865084912.0,3801046870512.0,3273055771405.0,3507762134005.0,3740960095405.0
52,16,4034558548812.0,4270438539012.0,4506636662112.0,3974472737705.0,4210356858205.0,4446565772605.0
52,32,4742598897112.0,4978877859712.0,5215385984212.0,4682528153205.0,4918810717105.0,5155302257605.0
52,64,5451764911912.0,5691168780612.0,5932364332612.0,5391666439405.0,5631085432105.0,5872275472805.0
64,8,477788121912.0,712313993012.0,945900956712.0,417707568605.0,652220319405.0,885843187305.0
64,16,1184653346712.0,1421472602812.0,1657939676612.0,1124548624305.0,1361380949505.0,1597846307805.0
64,32,1894700690712.0,2135064003612.0,2373108218512.0,1834623669705.0,2074952764105.0,2313051835005.0
64,64,2610781999212.0,2851135771212.0,3092720454712.0,2550719917605.0,2791048217605.0,3032582860205.0
