#Clients,Mean Throughput [req/s] - 8 workers,Std Throughput - 8 workers,Mean Throughput [req/s] - 16 workers,Std Throughput - 16 workers,Mean Throughput [req/s] - 32 workers,Std Throughput - 32 workers,Mean Throughput [req/s] - 64 workers,Std Throughput - 64 workers
2.0,2222.83039827,0.0,2259.99583335,0.0,2238.09800896,0.0,2395.79344193,0.0
10.0,11063.5337062,0.0,10986.7144627,0.0,11894.9923375,0.0,11817.5121037,0.0
16.0,16587.7249311,0.0,17262.1600755,0.0,18666.6383288,0.0,18892.758525,0.0
30.0,22761.124947,0.0,24157.2151807,0.0,24163.2938113,0.0,23287.5126812,0.0
44.0,20469.2959426,0.0,21635.3807552,0.0,21696.618282,0.0,22831.8788151,0.0
56.0,19825.5628093,0.0,18158.2063098,0.0,17483.8132564,0.0,19163.7422068,0.0
64.0,17944.9995451,0.0,18560.955825,0.0,17724.8206732,0.0,16547.9936628,0.0
84.0,16463.2563377,0.0,17295.8408735,0.0,17970.5266931,0.0,15891.3507362,0.0
104.0,15169.8124475,0.0,18099.0079523,0.0,16746.7777275,0.0,15178.3090964,0.0
128.0,13901.7035732,0.0,15579.5980793,0.0,14949.9703898,0.0,15574.4720815,0.0
