#Clients,Mean Throughput [req/s] - 8 workers,Std Throughput - 8 workers,Mean Throughput [req/s] - 16 workers,Std Throughput - 16 workers,Mean Throughput [req/s] - 32 workers,Std Throughput - 32 workers,Mean Throughput [req/s] - 64 workers,Std Throughput - 64 workers
2.0,2382.34599993,0.0,2393.89495742,0.0,2297.13024148,0.0,2417.36149272,0.0
10.0,10897.4151927,0.0,10756.1608157,0.0,12259.1291175,0.0,11891.2949805,0.0
16.0,15449.1413765,0.0,16491.5140958,0.0,17583.5426087,0.0,17095.5259226,0.0
30.0,21718.181666,0.0,25147.2405419,0.0,28719.8106634,0.0,31931.4206241,0.0
44.0,23002.9548472,0.0,35948.0594616,0.0,37869.3957704,0.0,42758.928826,0.0
56.0,21074.3759104,0.0,41782.7459746,0.0,43469.2629351,0.0,47446.182573,0.0
64.0,20902.4616507,0.0,43773.6593172,0.0,50093.0897404,0.0,49393.5275883,0.0
84.0,19584.1291476,0.0,40975.2253794,0.0,56736.9335104,0.0,59289.4517677,0.0
104.0,21072.5469952,0.0,46203.4789147,0.0,63068.6436345,0.0,70977.4860102,0.0
128.0,21138.0038066,0.0,50233.6097558,0.0,70828.0225883,0.0,77809.935644,0.0
