#Number of Clients,Mean Throughput [req/s] - 8 WORKERS,Std Dev Throughput - 8 WORKERS,Response Time [ms] - 8 WORKERS,Mean Throughput [req/s] - 16 WORKERS,Std Dev Throughput - 16 WORKERS,Response Time [ms] - 16 WORKERS,Mean Throughput [req/s] - 32 WORKERS,Std Dev Throughput - 32 WORKERS,Response Time [ms] - 32 WORKERS,Mean Throughput [req/s] - 64 WORKERS,Std Dev Throughput - 64 WORKERS,Response Time [ms] - 64 WORKERS
2,1233.19049176,48.9675083238,1.62180945552,1232.38478501,9.47091480439,1.62286975978,1173.42856757,21.635113827,1.70440711542,2101.45961533,0.0,0.95171945509
10,5574.75453229,43.0024676475,1.7938009543,5620.40364508,100.753643276,1.77923164091,5971.41651448,155.237616957,1.67464452961,5917.01685341,112.619816628,1.69004081748
16,8172.06107311,191.405041684,1.95789040939,8299.07820263,313.873504566,1.92792495857,8872.99831695,150.294312814,1.80322360362,8842.13148302,184.490854769,1.80951844368
30,9816.13327053,247.399571781,3.0561932253,10547.1765626,197.231738298,2.8443631167,10633.7587481,29.1840735833,2.82120374466,10726.7996354,109.51720418,2.79673351044
44,10257.836195,303.496886768,4.28940364845,10745.6340815,11.9742943797,4.09468623873,10850.3334396,43.423423241,4.05517491652,10783.8523016,50.7810402601,4.08017457672
56,10704.0811767,52.8415154585,5.23164941257,10892.2485679,17.9341794498,5.14127084515,10904.4131648,47.7865708646,5.13553541613,10834.2741935,79.2358693264,5.16878186759
64,10665.7514174,168.362480772,6.0005148719,10924.5787874,21.0000615549,5.85834943807,10871.3692582,56.8294203356,5.88702292047,10895.3024002,13.7611249329,5.87409120454
84,10784.5083427,66.3201262433,7.78895034716,10954.2228418,15.1461271731,7.66827562424,10746.7971266,25.080024358,7.81628228492,10912.5360061,6.32176388516,7.69756910338
104,10739.9062808,83.8988846128,9.6835109433,10894.7295489,26.5310414955,9.54590011006,10910.8227744,46.5989954173,9.53182011569,10906.9180251,40.3668191804,9.53523257081
128,10819.3380913,66.0926704342,11.830668283,10962.3956418,26.5700832177,11.6762799102,10918.18419,21.6677794034,11.7235611502,10938.0096628,56.5082315621,11.7023118416
