#Clients	Mean User CPU - READ-ONLY	Std User CPU - READ-ONLY	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - READ-ONLY	Std System CPU - READ-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - READ-ONLY	Std Net-Received - READ-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - READ-ONLY	Std Net-Sent - READ-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - READ-ONLY	Std Context Switches - READ-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
2	1.06267692308	0.0338114110729	1.06267692308	0.0338114110729	1.61486153846	0.0398208517825	1.61486153846	0.0398208517825	965.2611253	7.82067397269	965.2611253	7.82067397269	60.5192432893	0.482272532638	60.5192432893	0.482272532638	1425.34783333	16.7422502257	1425.34783333	16.7422502257
10	2.3622	0.0181532083765	2.3622	0.0181532083765	3.34198461538	0.0455213589679	3.34198461538	0.0455213589679	4343.28206631	13.7370274958	4343.28206631	13.7370274958	286.708288261	0.914112328047	286.708288261	0.914112328047	2194.65542564	41.0143022343	2194.65542564	41.0143022343
16	2.97898205128	0.0549511500234	2.97898205128	0.0549511500234	4.12559487179	0.0588071854662	4.12559487179	0.0588071854662	6267.71285557	143.587809647	6267.71285557	143.587809647	413.593494591	9.47070730686	413.593494591	9.47070730686	2561.96936154	56.2438993313	2561.96936154	56.2438993313
30	3.65554871795	0.116418060226	3.65554871795	0.116418060226	5.01022307692	0.176543654133	5.01022307692	0.176543654133	8831.41958383	194.728560231	8831.41958383	194.728560231	582.599884816	12.8327371151	582.599884816	12.8327371151	2703.20214103	54.5238618998	2703.20214103	54.5238618998
44	4.33126153846	0.351633333941	4.33126153846	0.351633333941	5.7916025641	0.421498465459	5.7916025641	0.421498465459	9336.04272586	437.392476991	9336.04272586	437.392476991	615.971729768	28.7945417747	615.971729768	28.7945417747	2598.94319744	96.6587046681	2598.94319744	96.6587046681
56	4.91895641026	0.317312357407	4.91895641026	0.317312357407	6.35402564103	0.303690513486	6.35402564103	0.303690513486	10239.4002604	358.748143671	10239.4002604	358.748143671	675.474226262	23.6614550257	675.474226262	23.6614550257	2384.99544359	83.3480641765	2384.99544359	83.3480641765
64	5.38450183989	0.200948483036	5.38450183989	0.200948483036	6.91586696027	0.206446526267	6.91586696027	0.206446526267	10638.4773049	95.8358138444	10638.4773049	95.8358138444	701.871263334	6.33404038981	701.871263334	6.33404038981	2046.24086072	85.4550818349	2046.24086072	85.4550818349
84	5.99637435897	0.452190662923	5.99637435897	0.452190662923	7.53772564103	0.508505733381	7.53772564103	0.508505733381	11444.507512	493.310440827	11444.507512	493.310440827	755.039405549	32.5250823255	755.039405549	32.5250823255	1824.98122051	138.945875882	1824.98122051	138.945875882
104	5.5920156195	0.304373484296	5.5920156195	0.304373484296	7.08058815815	0.340097282484	7.08058815815	0.340097282484	11076.9017177	209.782161953	11076.9017177	209.782161953	730.753696525	13.7791233582	730.753696525	13.7791233582	1902.31941973	112.904524736	1902.31941973	112.904524736
128	5.55908974359	0.453836486048	5.55908974359	0.453836486048	7.23294871795	0.514935706729	7.23294871795	0.514935706729	11409.2244917	236.854807442	11409.2244917	236.854807442	752.739095052	15.658742022	752.739095052	15.658742022	1855.01926667	102.497698788	1855.01926667	102.497698788
