#Clients	Mean User CPU - READ-ONLY	Std User CPU - READ-ONLY	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - READ-ONLY	Std System CPU - READ-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - READ-ONLY	Std Net-Received - READ-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - READ-ONLY	Std Net-Sent - READ-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - READ-ONLY	Std Context Switches - READ-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
2	0.934162820513	0.0282554371255	0.934162820513	0.0282554371255	1.41357179487	0.094869401581	1.41357179487	0.094869401581	29.7090832833	0.164456767886	29.7090832833	0.164456767886	446.417202524	2.37711408466	446.417202524	2.37711408466	1657.53928077	39.6964642901	1657.53928077	39.6964642901
10	1.66409672856	0.0390328466296	1.66409672856	0.0390328466296	2.20511767855	0.0736215009528	2.20511767855	0.0736215009528	143.320377158	0.811249489253	143.320377158	0.811249489253	2169.08496255	12.401090101	2169.08496255	12.401090101	1819.28656026	19.5536298099	1819.28656026	19.5536298099
16	1.99680128205	0.0928084307904	1.99680128205	0.0928084307904	2.59952564103	0.0920618663296	2.59952564103	0.0920618663296	201.468450771	10.255858072	201.468450771	10.255858072	3050.26411383	155.843965281	3050.26411383	155.843965281	2013.64435385	54.3173104909	2013.64435385	54.3173104909
30	2.51790769231	0.0384342904763	2.51790769231	0.0384342904763	3.21231538462	0.0374926806795	3.21231538462	0.0374926806795	259.643449519	3.2616307759	259.643449519	3.2616307759	3927.90977564	49.2926817301	3927.90977564	49.2926817301	2464.8873	48.203950215	2464.8873	48.203950215
44	3.04138333333	0.0567529961094	3.04138333333	0.0567529961094	3.78318461538	0.0762984808207	3.78318461538	0.0762984808207	332.645108423	6.0876188421	332.645108423	6.0876188421	5035.30395758	93.0828616798	5035.30395758	93.0828616798	2520.63230897	13.00638942	2520.63230897	13.00638942
56	3.04990136034	0.0985241517965	3.04990136034	0.0985241517965	3.76423235467	0.0895112634788	3.76423235467	0.0895112634788	328.633841035	11.1933778157	328.633841035	11.1933778157	4970.35911199	171.286109768	4970.35911199	171.286109768	2468.29175963	41.6627311854	2468.29175963	41.6627311854
64	3.12840897436	0.112034122432	3.12840897436	0.112034122432	3.83408076923	0.109873469769	3.83408076923	0.109873469769	338.248051883	8.45673443798	338.248051883	8.45673443798	5114.46014498	127.47462537	5114.46014498	127.47462537	2370.53185128	15.827673234	2370.53185128	15.827673234
84	3.08559358974	0.0242886336623	3.08559358974	0.0242886336623	3.76913589744	0.00643405122156	3.76913589744	0.00643405122156	320.109523988	2.64004609988	320.109523988	2.64004609988	4826.34607372	43.2609575045	4826.34607372	43.2609575045	2533.5944859	48.1177465583	2533.5944859	48.1177465583
104	3.06621695048	0.0950766885981	3.06621695048	0.0950766885981	3.86276593267	0.0889521043528	3.86276593267	0.0889521043528	330.365872906	10.1293510017	330.365872906	10.1293510017	4979.54193653	155.452081422	4979.54193653	155.452081422	2529.00953141	50.9942137544	2529.00953141	50.9942137544
128	3.08554615385	0.0415140634663	3.08554615385	0.0415140634663	3.84792435897	0.0524343869446	3.84792435897	0.0524343869446	333.405973307	2.4544947116	333.405973307	2.4544947116	5016.78612906	35.7145264762	5016.78612906	35.7145264762	2348.38928462	70.5504262078	2348.38928462	70.5504262078
