Number of Clients,Mean Throughput [req/s] WRITE-ONLY - 8 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 8 WORKERS,Mean Response Time [s] WRITE-ONLY - 8 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 8 WORKERS,Mean Throughput [req/s] WRITE-ONLY - 16 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 16 WORKERS,Mean Response Time [s] WRITE-ONLY - 16 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 16 WORKERS,Mean Throughput [req/s] WRITE-ONLY - 32 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 32 WORKERS,Mean Response Time [s] WRITE-ONLY - 32 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 32 WORKERS,Mean Throughput [req/s] WRITE-ONLY - 64 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 64 WORKERS,Mean Response Time [s] WRITE-ONLY - 64 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 64 WORKERS
4,1167.92,5.25816190951,3.64416666667,3.64416666667,1174.47666667,6.23051808083,3.62583333333,3.62583333333,1201.31,9.62864822634,3.53916666667,3.53916666667,1187.95,4.8309488371,3.5775,3.5775
20,5703.65666667,22.0180794399,3.70416666667,3.70416666667,5721.90333333,28.9716900132,3.71166666667,3.71166666667,5722.36666667,18.1954835666,3.70833333333,3.70833333333,5730.64333333,30.9237366579,3.70416666667,3.70416666667
32,7273.86333333,94.3414629006,4.48083333333,4.48083333333,8056.30333333,462.394805502,4.225,4.225,8270.93666667,209.401454362,4.10666666667,4.10666666667,8397.38333333,34.5045082401,4.02916666667,4.02916666667
60,7233.31666667,71.0631617335,8.33166666667,8.33166666667,10385.8066667,104.868193568,5.92666666667,5.92666666667,11593.2533333,232.844276479,5.43166666667,5.43166666667,11927.4833333,883.989923258,5.31916666667,5.31916666667
88,7222.53666667,35.0090315331,12.235,12.235,13268.3066667,245.295036005,6.71916666667,6.71916666667,12283.39,594.589311262,7.46583333333,7.46583333333,12646.3866667,114.763791134,7.31666666667,7.31666666667
112,7230.52333333,34.9447414578,15.5033333333,15.5033333333,13130.6166667,468.829840442,8.65333333333,8.65333333333,13491.3933333,472.482030299,8.50166666667,8.50166666667,14549.4,697.903948883,7.9775,7.9775
128,7298.75333333,146.054459554,17.5275,17.5275,13475.07,334.761976435,9.53416666667,9.53416666667,14028.3966667,136.941105184,9.23833333333,9.23833333333,14912.06,426.947498021,8.91,8.91
168,7292.74666667,34.1810594075,23.075,23.075,12715.59,115.225164786,13.265,13.265,15079.7966667,649.26467599,11.3408333333,11.3408333333,17015.7566667,284.829167553,10.2325,10.2325
208,7377.76666667,98.5050852607,28.2083333333,28.2083333333,13145.5066667,370.718773226,15.8866666667,15.8866666667,14629.9833333,238.324196608,14.3133333333,14.3133333333,17187.3666667,443.444379401,12.4158333333,12.4158333333
256,7159.22,46.9723578288,35.7708333333,35.7708333333,13216.9966667,94.5255130757,19.3858333333,19.3858333333,15027.7733333,316.404207445,17.1616666667,17.1616666667,18468.64,818.857708559,13.9933333333,13.9933333333
