#Client	MNT	WIQ	PrP	SST	PsP	RspT	RespT_std
4	0.017351445	0.0139915165	0.0120707619	1.9772318797	0.0119080556	2.0420390905	0.0045625053
20	0.0152857303	0.0846405725	0.0131062775	1.9197244626	0.0098809441	2.0560767296	0.0080473402
32	0.0126438814	0.8043140443	0.0137895956	1.9507268565	0.0105223662	2.7997365796	0.0170637588
60	0.0117378425	4.245339235	0.0156766132	2.0684905643	0.0102970033	6.3656182229	0.0498442463
88	0.0120650335	7.922492005	0.0164193724	2.0654913951	0.0104239507	10.0343701028	0.0589690213
112	0.0119130696	11.0747956025	0.0177903414	2.0821225328	0.0104290518	13.2023672666	0.1056993
128	0.0118469575	13.0092350051	0.0174187658	2.0495446947	0.010524685	15.1077317256	0.2477652498
168	0.0120247053	18.3921623639	0.0154970551	2.0665533576	0.0105668282	20.5059255775	0.0829688664
208	0.0119817201	23.3067929053	0.01565351	2.0450849143	0.0104914603	25.4035069628	0.3853791402
256	0.012081719	30.7255554186	0.0179019953	2.1218169055	0.0106120742	32.9034166251	0.1222026408
