#Virtual Clients per Thread,Number of Worker Threads,MW1: Timestamp - rep1,MW1: Timestamp - rep2,MW1: Timestamp - rep3,MW2: Timestamp - rep1,MW2: Timestamp - rep2,MW2: Timestamp - rep3
1,8,26892430567463.0,27126397769963.0,27360671168663.0,26894343952307.0,27128278959407.0,27362579134607.0
1,16,27594064696163.0,27829665231863.0,28064313569463.0,27595948527407.0,27831556875407.0,28066152070507.0
1,32,28299238959863.0,28535440718563.0,28772231823863.0,28301110013007.0,28537299448107.0,28774105508807.0
1,64,29009815339963.0,29249322286863.0,29489935899763.0,29011643578507.0,29251141398507.0,29491744736507.0
5,8,24028640555263.0,24264693291163.0,24500756582463.0,24030679796507.0,24266720456207.0,24502769432407.0
5,16,24738257765163.0,24974625247763.0,25211961036063.0,24740255312907.0,24976639160407.0,25213947609707.0
5,32,25448801507363.0,25687002605363.0,25925271718163.0,25450781314207.0,25688970545507.0,25927137340007.0
5,64,26163683423863.0,26407949287563.0,26650843496263.0,26165651682207.0,26409888249107.0,26652765998207.0
8,8,21150370409063.0,21386758604063.0,21622934892763.0,21152532459607.0,21388887146607.0,21625080330707.0
8,16,21859549831363.0,22097275989763.0,22334848739363.0,21861658481507.0,22099384255207.0,22336951677707.0
8,32,22573707754463.0,22812857802463.0,23052950485663.0,22575832432407.0,22814936900607.0,23055043335107.0
8,64,23292054090363.0,23537989112863.0,23781380093963.0,23294154034307.0,23540043533907.0,23783416682307.0
15,8,18261167357263.0,18498236968963.0,18735830833263.0,18263433016807.0,18500491762107.0,18738068042107.0
15,16,18973226031163.0,19212411808363.0,19452655687863.0,18975475550507.0,19214643511007.0,19454870115207.0
15,32,19692188422563.0,19934165372463.0,20174667025563.0,19694414134507.0,19936370035507.0,20176852714907.0
15,64,20415786379263.0,20660259214263.0,20907036537063.0,20417967961807.0,20662429878107.0,20909193149407.0
22,8,15351829832263.0,15589653361963.0,15827334276363.0,15354203624507.0,15592031065807.0,15829711670907.0
22,16,16065371770263.0,16306026864663.0,16546186597263.0,16067754840507.0,16308361278707.0,16548570660507.0
22,32,16786483127763.0,17032212576963.0,17276834621163.0,16788795541507.0,17034532860907.0,17279135978907.0
22,64,17519538779363.0,17764967395763.0,18015419322263.0,17521837753107.0,17767266033207.0,18017713211807.0
28,8,12426761344063.0,12668022734763.0,12906983411863.0,12429251824707.0,12670544840407.0,12909486670707.0
28,16,13146329569663.0,13387308065863.0,13629823558463.0,13148793261807.0,13389776927107.0,13632309047407.0
28,32,13870532765263.0,14113817534063.0,14357142736463.0,13872970804607.0,14116287740907.0,14359563099807.0
28,64,14600735081663.0,14850855106863.0,15101590140163.0,14603166069707.0,14853278831107.0,15103984133007.0
32,8,9473362483563.0,9717061685663.0,9957748893763.0,9476014597207.0,9719695245607.0,9960333915807.0
32,16,10198427496263.0,10444571115663.0,10686834428563.0,10201020550607.0,10447179110707.0,10689412874807.0
32,32,10929771621763.0,11174480931963.0,11424984895963.0,10932310753107.0,11177057656707.0,11427534821607.0
32,64,11670409651063.0,11920967155263.0,12171127361563.0,11672965593607.0,11923518974907.0,12173639752307.0
42,8,6522766567263.0,6763277937263.0,7003887739963.0,6525525075807.0,6766035401607.0,7006606192007.0
42,16,7243846679163.0,7488050049563.0,7731042199163.0,7246567613407.0,7490752491307.0,7733772823407.0
42,32,7975283893463.0,8222756054263.0,8469382599163.0,7978149729707.0,8225470229307.0,8472073464907.0
42,64,8717604104663.0,8968326771663.0,9220165973263.0,8720272938507.0,8970964408207.0,9222821088207.0
52,8,3565169464463.0,3808396580763.0,4050164413063.0,3568030649107.0,3811259759107.0,4053030631307.0
52,16,4292228664363.0,4537214413763.0,4781425149063.0,4295048429907.0,4540053908107.0,4784270983507.0
52,32,5026504662463.0,5272730530963.0,5518788430963.0,5029334218807.0,5275552053207.0,5521583398007.0
52,64,5771497080163.0,6022397461563.0,6272376773563.0,5774282705007.0,6025161251207.0,6275159579707.0
64,8,586391586163.0,831130176363.0,1074839880363.0,589386781107.0,834102506607.0,1077835398207.0
64,16,1318800912563.0,1565193236763.0,1812120666063.0,1321753096207.0,1568176549507.0,1815069772107.0
64,32,2059779112163.0,2307711061763.0,2555374999163.0,2062708913407.0,2310616035807.0,2558290086907.0
64,64,2804072959863.0,3056332417463.0,3312892700063.0,2806969900907.0,3059228066307.0,3315746980107.0
