#Clients,Mean Throughput [req/s] - 8 workers,Std Throughput - 8 workers,Mean Throughput [req/s] - 16 workers,Std Throughput - 16 workers,Mean Throughput [req/s] - 32 workers,Std Throughput - 32 workers,Mean Throughput [req/s] - 64 workers,Std Throughput - 64 workers
4.0,1958.82636072,0.0,1967.93915609,0.0,2010.00409078,0.0,1996.48757395,0.0
20.0,9727.26343917,0.0,9780.93173035,0.0,9739.32983237,0.0,9760.76271616,0.0
32.0,11429.6467151,0.0,14552.0559913,0.0,14538.1539905,0.0,15038.5699856,0.0
60.0,9425.63595546,0.0,19053.5252453,0.0,22578.3125774,0.0,22509.7919416,0.0
88.0,8769.85790825,0.0,20192.2863884,0.0,25601.0213406,0.0,25175.9086884,0.0
112.0,8483.3270987,0.0,18369.9690634,0.0,25977.6802725,0.0,26666.2665204,0.0
128.0,8472.48298584,0.0,18544.4501497,0.0,25902.3956659,0.0,29582.8739031,0.0
168.0,8192.75381474,0.0,16834.3533923,0.0,24577.9776804,0.0,31923.0472423,0.0
208.0,8187.84588698,0.0,16473.8673499,0.0,23139.6123062,0.0,34708.9258007,0.0
256.0,7780.34703559,0.0,15942.8310174,0.0,22672.9753043,0.0,33317.0223752,0.0
