#Number of Clients,Mean Throughput [req/s] - 8 WORKERS,Std Dev Throughput - 8 WORKERS,Response Time [ms] - 8 WORKERS,Mean Throughput [req/s] - 16 WORKERS,Std Dev Throughput - 16 WORKERS,Response Time [ms] - 16 WORKERS,Mean Throughput [req/s] - 32 WORKERS,Std Dev Throughput - 32 WORKERS,Response Time [ms] - 32 WORKERS,Mean Throughput [req/s] - 64 WORKERS,Std Dev Throughput - 64 WORKERS,Response Time [ms] - 64 WORKERS
4,1136.20287953,9.85182740791,3.52049803083,1138.51258525,4.79603099825,3.51335598026,1234.85544734,0.334261982424,3.23924553972,2411.65479864,0.0,1.65861217047
20,5570.67550158,59.9826277775,3.590228868,5563.12518104,77.6284097209,3.59510155698,5559.62173175,34.4584292638,3.59736704492,5545.27153736,43.1853610036,3.60667640263
32,7123.10253427,92.5298704348,4.49242445214,8004.15775694,289.277273519,3.9979222014,8027.58872859,196.802164182,3.98625304334,8213.64139788,172.927984807,3.89595776707
60,7156.46476696,59.0042500921,8.38402786205,10652.1121314,485.843096547,5.63268573031,11778.9248343,371.438796935,5.09384352512,11920.0561004,810.561327432,5.0335333571
88,7117.89644709,79.9075519264,12.3632031815,13331.4985802,112.604592781,6.60090832777,12344.4185733,757.016326121,7.12872781147,12915.2788383,83.6621334942,6.81363531532
112,7069.57569143,63.7614221272,15.8425349538,13233.5431082,431.500387676,8.46334190956,13857.0513938,496.288660069,8.08252757508,14378.2322583,782.364587608,7.78955284542
128,7236.19195234,109.59432518,17.6888618825,13411.7928267,211.552543203,9.5438396383,14333.1982977,239.830985092,8.93031669144,14907.1736839,343.430924576,8.58647002536
168,7178.47389537,40.0394809455,23.4033030486,13043.4942617,118.753105138,12.8799841997,15437.5650251,687.618787321,10.8825452542,16863.6631471,229.376348426,9.96224832851
208,7244.41845049,91.963560994,28.711759463,13152.9890185,432.597712613,15.8138959675,15253.5120924,290.894429685,13.636203829,17327.9335473,258.915916425,12.0037394783
256,7023.6210027,57.4634840485,36.4484359138,13216.0358396,75.423731908,19.3704075191,15306.600577,364.39443967,16.7248108887,18372.1896665,975.947683681,13.9341039172
