#Clients	Mean User CPU - READ-ONLY	Std User CPU - READ-ONLY	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - READ-ONLY	Std System CPU - READ-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - READ-ONLY	Std Net-Received - READ-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - READ-ONLY	Std Net-Sent - READ-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - READ-ONLY	Std Context Switches - READ-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
6	2.39571014493	0.0420323424446	3.57778985507	0.211105304754	5.09575724638	0.109801011635	5.05508333333	0.321301190677	430.081755265	15.5033217874	5895.15931414	177.417783789	5760.46162746	207.697074146	389.017394135	11.7013369062	5314.59632971	257.499574498	5366.07980435	192.808013482
30	2.44880797101	0.0551022895494	6.43005434783	0.0165829553364	5.79615942029	0.0881300506261	9.43615942029	0.0748595967529	892.177925442	0.493924909144	19493.6410956	198.606253993	11950.2335647	6.4739245348	1285.5919561	13.0907688607	2518.20687681	21.7767903447	4099.22655797	63.3470300318
48	2.30089492754	0.0972744646147	10.2637137681	0.281816067999	5.4977173913	0.123933074595	13.8725688406	0.300467763392	892.909533514	0.554110357904	21024.1442553	78.5263601382	11958.9070992	7.15379720708	1386.51464136	5.17611738583	1766.64795652	29.6899897555	2899.08514493	40.0836556777
84	2.27068115942	0.0406626220137	13.4331413043	0.149331827297	5.41656521739	0.111934603525	17.9275181159	0.19859253031	892.849273239	0.374460513462	25317.6434945	83.7494128075	11956.9902061	4.597625027	1669.64955559	5.52248496243	1364.33664855	23.2528441176	2064.64333696	36.4988435355
114	2.28474275362	0.0198603115113	15.0177427536	0.064251113018	5.37510507246	0.0232208553523	19.9437862319	0.138280096573	892.667632614	0.532445479955	28934.5294526	319.772323863	11954.4430763	6.21362340828	1908.17073568	21.0764819841	1208.65000725	42.2144840323	1746.39008696	22.9359842175
138	2.34895652174	0.0996408357867	15.5139782609	0.207874044706	5.4527826087	0.16064937364	20.8013007246	0.260152391651	893.894464023	0.0848107582237	30647.8545311	87.3014126251	11969.4125127	0.91432686416	2021.09748995	5.75604086774	1203.64501812	0.590409801713	1557.24555797	26.0638390363
168	2.26177536232	0.117713439297	15.688384058	0.163849338025	5.4165	0.143863370133	21.3157355072	0.20695853624	893.336404552	1.08558443263	32753.441102	242.619334519	11961.5367662	12.8813315615	2159.9832746	16.0594140872	1299.43580072	6.97027308404	1324.24511232	34.1240958
192	2.31807246377	0.173741363027	15.7390326087	0.11112538935	5.47828985507	0.199517265823	21.4058695652	0.342588217129	885.395914714	11.018467937	32943.0300788	251.567473843	11848.0566335	155.88332462	2172.52983823	16.6463222981	1218.89823188	54.5527154908	1119.67705435	38.5919855058
252	2.46537973352	0.0789848044807	15.3793913043	0.0791314535489	5.635942964	0.112361934403	21.3865217391	0.0998974265207	892.853200415	2.21358298037	35499.8259348	54.0908849656	11952.4508632	30.8582209909	2341.08509185	3.65565035691	1177.36673356	12.3058419534	573.806257246	8.06496323546
312	2.43191666667	0.0181866554675	14.8802822105	0.0834968781672	5.63938405797	0.00855309012969	21.4525113473	0.127829206679	902.380385247	0.99478849314	36550.2709195	157.587539689	12083.5600621	11.3011863619	2410.340873	10.1792032121	1162.47871014	4.93690536695	341.587592929	21.229883934
384	2.53935869565	0.0672345061127	14.7036884058	0.0526569280736	5.73226811594	0.12191753114	20.5264746377	0.282506038397	919.855504133	1.21620662008	35674.5134242	76.6558571471	12315.1116218	11.9387074339	2352.85128298	4.9513027724	1153.75976812	24.1937526449	250.860724638	3.82126623606
