#Clients	Mean User CPU - READ-ONLY	Std User CPU - READ-ONLY	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - READ-ONLY	Std System CPU - READ-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - READ-ONLY	Std Net-Received - READ-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - READ-ONLY	Std Net-Sent - READ-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - READ-ONLY	Std Context Switches - READ-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
6	2.64413888889	0.082374743158	2.41077777778	0.103903829809	3.58820410628	0.101526163252	3.59392874396	0.134619012493	1920.11309608	69.3624912071	129.78437901	3.98852710192	143.930625142	5.17620771921	1965.99775556	60.4967714568	4337.83018599	130.14716018	4403.09314493	67.6003676212
30	2.93782729469	0.091069541326	4.65180072464	0.0359645065438	3.99525966184	0.123036010643	6.51418115942	0.0266031168833	3981.09687429	2.31144815307	428.585830172	4.3307003047	297.801997235	0.173371645836	6497.81686505	65.6991381547	2517.36818116	28.4716787888	3631.89925604	37.6953332089
48	2.69083937198	0.0621979039677	4.473602657	0.0562568054129	3.77407246377	0.0662835542617	6.31801207729	0.0944841763788	3982.05208215	3.14821102766	462.196238347	1.68742998428	297.864209456	0.234232968167	7007.51763238	25.5805639802	2080.70670411	12.0654859814	2966.79165097	12.580154063
84	2.73518478261	0.0822358304758	4.76474637681	0.117182737875	3.83831763285	0.0911545168691	6.74750362319	0.126246796106	3982.69377335	2.51481259419	556.743569784	1.94271445591	297.92027924	0.185315722744	8441.35065552	29.3350216495	1802.68101691	13.0146973738	2622.62114734	6.55437653907
114	2.56571859903	0.0770293704535	5.45874516908	0.0859416306341	3.74696618357	0.0896347965402	7.62742391304	0.0798011065864	3984.41398112	1.38679695562	636.350773466	6.69387852198	298.084105856	0.0946151094654	9648.32286595	101.647942287	1657.21443961	10.6206879081	2573.30322464	52.5511344447
138	2.64538888889	0.0964963280105	5.80336111111	0.04193865442	3.90894323671	0.0961507633983	8.03696256039	0.0743740772283	3989.78060368	1.42902840193	673.942547932	2.03167998068	298.484515351	0.10763781755	10218.5362791	30.8089322912	1574.63635507	8.32426776396	2484.86237802	18.3327920837
168	2.63140338164	0.107850113646	6.17543236715	0.168665890128	3.93192149758	0.119595886578	8.55079347826	0.208622667978	3985.42713051	2.15853220601	720.264248613	4.99284969058	298.183568982	0.16280851052	10920.9073386	75.7069119365	1507.17176449	9.73704748288	2367.06783937	17.9607381352
192	2.81136835749	0.124552652378	6.18113405797	0.118058980478	4.07675724638	0.13320031579	8.66230434783	0.118913049256	3949.71988932	53.1421336461	724.561300526	5.57242166219	295.680857488	3.73108038387	10985.7444827	84.6096907578	1465.53120773	20.7622309525	2222.59302536	14.5300528369
252	2.70292352205	0.0466134138157	6.64038888889	0.0212902781298	3.95302604004	0.0627023117336	9.34361714976	0.0179473328297	3983.23621034	8.072708569	780.728409477	1.19267788108	298.614828755	0.495401936677	11837.5030641	18.1385373211	1458.13427879	8.73185973682	1961.35688527	3.48470463887
312	2.58669927536	0.0371608655098	7.08682729469	0.0641849424006	3.81120531401	0.0598270724221	10.062115942	0.0837929436925	3984.3748396	2.39907628425	800.234799592	1.15864524584	301.593669799	0.146776370207	12132.7336202	18.0938993491	1443.73179227	2.05098705891	1872.76498188	39.5312020928
384	2.84894565217	0.0492961668392	7.05657125604	0.134254784771	4.08460990338	0.0518639988966	9.99083695652	0.110874792708	3988.91544125	3.74733552674	784.841614064	1.81016836482	306.940401381	0.352712091673	11898.9119973	27.8794113521	1455.86597101	13.8412547521	2010.41721377	7.77205204511
