#Clients	Mean User CPU - READ-ONLY	Std User CPU - READ-ONLY	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - READ-ONLY	Std System CPU - READ-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - READ-ONLY	Std Net-Received - READ-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - READ-ONLY	Std Net-Sent - READ-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - READ-ONLY	Std Context Switches - READ-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
2	0.790183496961	0.103883524434	1.01291156304	0.0826909297984	1.63746926134	0.155599499362	1.61777142746	0.130917399812	38.1299629943	0.329306319816	490.731663791	6.50023907047	509.500138544	4.5172286567	32.6966274048	0.432172728134	983.246735001	5.00246805981	945.454049653	9.53879152694
10	1.15012007168	0.0323014541919	1.52669927536	0.105365261458	2.4742688172	0.0764922514729	2.3549208158	0.160119067693	177.020717826	2.03179463961	2316.73915197	41.9831143624	2370.02515961	27.2206317625	153.096046908	2.76872681484	939.993602151	11.4409618578	916.158680789	19.2223473722
16	1.10045188562	0.0312006817778	1.71322296244	0.0953606972478	2.56945367773	0.0330280370901	2.69177275206	0.145560085281	276.698815768	4.2870381671	3571.07116045	51.0769798759	3705.26651902	57.403594773	235.79896296	3.36397165551	948.658905544	18.411519254	909.678805633	10.326321774
26	1.5380956249	0.139195465228	2.19293369176	0.104513155069	3.55412694795	0.226818269977	3.42560215054	0.14754134979	422.509140607	0.887024196775	5545.6367205	37.5055726548	5658.60063871	11.8411903716	365.991273942	2.47293795971	1000.87920389	12.0655471304	970.940591398	6.07583514391
40	1.83685663082	0.120080833306	2.55900052595	0.195828862214	4.27048387097	0.257274422352	4.0465538024	0.286282839698	570.019743014	13.9661794797	7627.28352322	122.982317741	7634.19086722	187.089699865	503.2479802	8.11388259592	1138.83442473	27.2980429153	1101.85442198	26.3236068968
54	1.53895334658	0.0816565165184	2.62498705803	0.151711219631	3.74024614306	0.169232840227	4.18699998063	0.243762551034	553.198137086	26.5213242489	7920.38322975	202.030671982	7407.26759671	355.745173084	522.616295066	13.2913372705	1130.75529866	30.4820668603	1155.34382753	37.6914170732
64	1.68276164875	0.0683505989503	2.47881384288	0.0550068896399	3.94679749104	0.147022609655	3.9602858762	0.0871005477478	561.929438984	15.0763726805	7789.80668741	165.40179269	7523.9686975	202.082489185	514.003762107	10.9301902051	1153.55420968	73.3156382176	1124.77944268	49.1814750476
84	1.93817383513	0.0213688472307	2.70491522518	0.164360150759	4.50978673835	0.0119241464554	4.3490736715	0.228189097188	651.63047085	4.91636888987	8903.34207646	96.5001319979	8724.96119827	66.0740759651	587.478573797	6.33137100144	1305.4343853	33.4474304538	1329.71742756	34.964075653
104	1.8345125448	0.148499479567	2.84973028642	0.115696860286	4.47385842294	0.235978505335	4.60042465463	0.159090147682	705.983485943	7.58654425426	9757.06203908	158.019951294	9453.07004123	101.736920634	643.77839073	10.3751941797	1406.35364158	30.0856225544	1450.45320969	32.0974358629
128	1.96548275253	0.113709004402	3.08047861866	0.0626663110337	4.83388299334	0.194423786778	4.998644728	0.0595941307789	779.612199893	9.03462523967	10810.4771226	116.074318276	10437.9603211	120.600598443	713.226923355	7.68343085286	1561.28845533	35.6067012806	1583.92336992	18.8982963811
156	2.18864392134	0.0590261931819	3.28779234845	0.0457006216058	5.24229237625	0.0971457258051	5.28871150849	0.0473895753452	829.955587918	3.32419825211	11460.1849511	195.480658923	11112.3400955	44.4177825601	756.122989977	12.8980655635	1670.07880647	15.0875747952	1647.04118521	66.3433788894
192	1.94432752844	0.0340638051557	3.21384403759	0.126563545253	4.858567964	0.030516398139	5.16851453066	0.22153286512	806.5018956	6.66272723267	11348.6742856	250.816103653	10794.4451457	89.3125303182	748.89948962	16.4906369492	1536.72729299	56.5930279468	1509.24442644	70.6609013215
