#Clients	Mean User CPU - READ-ONLY	Std User CPU - READ-ONLY	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - READ-ONLY	Std System CPU - READ-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - READ-ONLY	Std Net-Received - READ-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - READ-ONLY	Std Net-Sent - READ-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - READ-ONLY	Std Context Switches - READ-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
2	1.47594202899	0.0605209897175	1.39277972573	0.123513746266	2.03769927536	0.0308246513603	2.11400658407	0.176887679859	1025.8814715	3.86549162404	65.2407573541	0.66608556248	77.4613762455	0.290204430038	985.48255028	9.9654450501	2875.81388043	38.3600606974	2798.84613998	43.178311715
10	2.87779347826	0.0644890238703	2.72009782609	0.0700999101337	3.68063768116	0.0694227426498	3.69753623188	0.144841806437	4786.12008534	57.3706356237	307.544716655	6.50028652884	358.128991168	4.28275586796	4660.73876953	98.6069923832	2765.22665942	71.7339058408	2781.11484783	77.662124705
16	3.84635869565	0.06895388711	3.51790942029	0.0859137541471	4.97931884058	0.124198589228	4.65457971014	0.120205968327	7423.82398876	132.400477061	474.310957314	4.77492284149	555.046415025	9.89044595032	7189.99838301	72.2370438258	2765.25533696	43.4954303579	2712.13372101	47.1737999921
26	5.20503623188	0.0640266885795	5.01564878448	0.0892530166684	6.7284057971	0.0851734609914	6.69302692068	0.157162254262	11395.27302	66.6556052557	736.457956374	4.59675514792	851.509471949	5.00613342466	11165.7353902	69.8210566685	2759.90213768	45.7541549726	2702.97162864	20.583511469
40	7.50046014493	0.0833645229912	7.2969057971	0.156711814021	9.56309057971	0.0821877841474	9.54188405797	0.217847496766	15423.429316	373.855002864	1012.71651028	21.9324702223	1152.22559655	27.8916253033	15355.7685335	332.701569595	2770.77522101	48.400329891	2730.31094565	38.6713713948
54	9.47434938445	0.311617788124	8.88757971014	0.165642630753	12.4390990728	0.191873578785	12.058826087	0.16882502603	14794.9406236	718.396267167	1054.17718948	29.2981819541	1105.53749227	53.5798364158	15983.1308488	445.380098896	2334.05767313	37.8048739722	2452.70447826	65.5993592332
64	10.285376422	0.332057347854	9.90744202899	0.0582761203361	13.1193960963	0.219791234585	12.8869456522	0.37701638986	15147.6836673	376.617694339	1035.79934825	19.817973962	1131.9123082	28.1722394823	15704.8498571	299.654185953	2174.97731233	73.7426292419	2216.46014493	32.726294474
84	11.6828433458	0.222319082508	11.2179818841	0.276898117595	15.0888786816	0.422794957861	15.0885072464	0.0409271269532	17572.1327867	47.7497603416	1181.919101	17.9763322474	1312.98223454	3.62013893908	17919.7914296	274.284641824	2088.9757276	5.55064766088	2125.39430797	23.9501197625
104	11.9180143369	0.207976311744	12.1202065217	0.139266031354	15.4955497896	0.417688798703	15.7601485507	0.22895489287	18967.4642263	202.918721487	1292.55569945	17.7056723735	1417.16262467	15.2065443598	19596.8952141	268.944605902	1971.50451519	17.379973288	2070.65371739	14.7677726945
128	13.1368835802	0.295490515187	12.5715797101	0.140694369702	17.7777632983	0.541290254511	17.9640724638	0.246422201222	20979.4740127	382.049274925	1430.77956225	10.022012486	1567.32881263	28.6185789151	21694.842409	151.620496886	1839.73415345	36.6353535665	1882.43856522	16.5475301471
156	14.0916538492	0.16117482374	14.4436666667	0.627360892514	18.3628827334	0.391549941543	19.8308985507	1.28212281648	22297.7787817	48.9769031666	1520.59665846	17.0660732334	1665.7581599	3.63970698458	23055.117973	258.380356384	1754.82024046	6.23967210156	1785.85543841	25.546662318
192	14.2689453405	0.393958077258	14.9722152486	0.459236043176	19.4875149992	0.997192948887	22.0279615085	0.780870716683	21583.4214799	82.6595370147	1502.07987949	38.7544016416	1612.8599832	6.19250375061	22770.8319251	588.608471699	1591.81606806	28.7956245462	1620.83896918	29.7875108152
