Number of Clients,Average Throughput READ-ONLY,Std Dev Throughput READ-ONLY,Average Response Time READ-ONLY,Std Dev Response Time READ-ONLY,Average Throughput WRITE-ONLY,Std Dev Throughput WRITE-ONLY,Average Response Time WRITE-ONLY,Std Dev Response Time WRITE-ONLY
2,955.226666667,3.59640870252,2.09833333333,0.168663043439,921.643333333,7.88361310286,2.17833333333,0.172956320754
10,4461.92666667,51.1710467181,2.24833333333,0.170236763232,4352.48,90.8513613914,2.30666666667,0.179876500843
16,6903.80333333,160.055356327,2.32,0.175404294892,6659.28666667,84.655670152,2.39666666667,0.178387842137
26,10655.5266667,22.0733585019,2.455,0.159138304628,10474.1033333,17.5192091399,2.495,0.16938614662
40,14322.7833333,415.251824024,2.78833333333,0.169353345274,14330.31,302.974832398,2.79666666667,0.173941241675
54,13846.5166667,691.661987406,3.91333333333,0.281582827759,14852.3433333,416.278570938,3.62833333333,0.19735050601
64,14140.17,364.95025862,4.52166666667,0.227186902987,14659.2866667,273.879485946,4.37166666667,0.220258686296
84,16425.8533333,124.195842478,5.11666666667,0.223283576547,16726.4466667,262.944831899,5.03,0.26801741237
104,17798.1066667,191.553662165,5.845,0.233220210674,18295.21,235.04667579,5.69166666667,0.25745010304
128,19544.6333333,282.109857601,6.55666666667,0.314360020076,20270.5266667,135.897912011,6.315,0.215309854241
156,20906.7733333,110.084734737,7.46333333333,0.166999667332,21526.67,259.863577415,7.27833333333,0.523304139313
192,20242.5533333,97.8339478686,9.48166666667,0.246739854007,21347.9833333,428.952883919,8.99833333333,0.341682926442
