Number of Clients,Average Throughput READ-ONLY,,Std Dev Throughput READ-ONLY,Average Response Time READ-ONLY,,Std Dev Response Time READ-ONLY,Average Throughput WRITE-ONLY,,Std Dev Throughput WRITE-ONLY,Average Response Time WRITE-ONLY,,Std Dev Response Time WRITE-ONLY
2,955.226666667,,3.5964087025,2.0983333333,,0.1686630434,921.643333333,,7.8836131029,2.1783333333,,0.1729563208
10,4461.92666667,367.11%,51.1710467181,2.2483333333,7.15%,0.1702367632,4352.48,372.25%,90.8513613914,2.3066666667,5.89%,0.1798765008
16,6903.80333333,54.73%,160.055356327,2.32,3.19%,0.1754042949,6659.28666667,53.00%,84.655670152,2.3966666667,3.90%,0.1783878421
26,10655.5266667,54.34%,22.0733585019,2.455,5.82%,0.1591383046,10474.1033333,57.29%,17.5192091399,2.495,4.10%,0.1693861466
40,14322.7833333,34.42%,415.251824024,2.7883333333,13.58%,0.1693533453,14330.31,36.82%,302.974832398,2.7966666667,12.09%,0.1739412417
54,13846.5166667,-3.33%,691.661987406,3.9133333333,40.35%,0.2815828278,14852.3433333,3.64%,416.278570938,3.6283333333,29.74%,0.197350506
64,14140.17,2.12%,364.95025862,4.5216666667,15.55%,0.227186903,14659.2866667,-1.30%,273.879485946,4.3716666667,20.49%,0.2202586863
84,16425.8533333,16.16%,124.195842478,5.1166666667,13.16%,0.2232835765,16726.4466667,14.10%,262.944831899,5.03,15.06%,0.2680174124
104,17798.1066667,8.35%,191.553662165,5.845,14.23%,0.2332202107,18295.21,9.38%,235.04667579,5.6916666667,13.15%,0.257450103
128,19544.6333333,9.81%,282.109857601,6.5566666667,12.18%,0.3143600201,20270.5266667,10.80%,135.897912011,6.315,10.95%,0.2153098542
156,20906.7733333,6.97%,110.084734737,7.4633333333,13.83%,0.1669996673,21526.67,6.20%,259.863577415,7.2783333333,15.25%,0.5233041393
192,20242.5533333,-3.18%,97.8339478686,9.4816666667,27.04%,0.246739854,21347.9833333,-0.83%,428.952883919,8.9983333333,23.63%,0.3416829264
,,,,,,,,,,,,
,,,,,,,,,,,,
,,20.886714497,,,2.5567911041,,,22.3568336269,,,2.3412394797,
,,0.5506894702,,,0.1390218082,,,0.5621712994,,,0.130631417,
