#Buckets	Mean job – Keys 6	Std Dev – Keys 6
0.1	0	0
0.2	1893.6666666667	116.6633332857
0.3	42758	605.4824522643
0.4	60301	965.5262813616
0.5	51861.6666666667	1799.0320545597
0.6	34650.6666666667	1597.7660446177
0.7	20663.3333333333	1041.0193722181
0.8	12112.6666666667	696.1510851341
0.9	7746	438.2191232705
1	5232	349.8956987446
1.1	3542	200.3971057675
1.2	2469	150.602124819
1.3	1774.3333333333	75.3679861303
1.4	1289.3333333333	104.2033268823
1.5	904.3333333333	45.7966519883
1.6	701	63.2218316723
1.7	563.6666666667	74.1440040282
1.8	493	33.1511689085
1.9	403	9.8488578018
2	341.3333333333	9.6090235369
2.1	327.3333333333	39.2088425401
2.2	303.6666666667	18.5831464864
2.3	283.3333333333	24.8461935381
2.4	277	25.2388589282
2.5	270.6666666667	32.501282026
2.6	266.3333333333	25.5799400573
2.7	254.3333333333	25.1064400769
2.8	252.6666666667	16.0727512683
2.9	238	4.3588989435
3	224.3333333333	18.6100331363
3.1	207	16.8226038413
3.2	212	18.1934053987
3.3	198	32.4499614792
3.4	197.6666666667	16.6533279957
3.5	198.6666666667	23.5867194271
3.6	181.6666666667	13.6503968196
3.7	171.6666666667	7.0237691686
3.8	161.6666666667	4.6188021535
3.9	140.3333333333	31.8171861316
4	138	19
4.1	145	24.5560583156
4.2	144.3333333333	41.5491676611
4.3	161.3333333333	29.938826519
4.4	164	27.0554985169
4.5	159	13.7477270849
4.6	144	31.432467291
4.7	123	9.8488578018
4.8	116	5.2915026221
4.9	92.3333333333	18.7705443004
5	103.3333333333	26.1597655443
5.1	97.3333333333	7.5718777944
5.2	86.6666666667	3.5118845843
5.3	78.6666666667	11.0604400154
5.4	68.3333333333	14.7422295917
5.5	72.3333333333	9.0737717259
5.6	75	12.5299640861
5.7	58.3333333333	1.1547005384
5.8	71.6666666667	9.5043849529
5.9	73.6666666667	19.6553639837
6	81	10.5356537529
6.1	85.6666666667	14.1891977692
6.2	100	26.9629375254
6.3	109.6666666667	19.4250697124
6.4	117.6666666667	9.0737717259
6.5	122	14.7986485869
6.6	159	25.5147016443
6.7	183	22.9128784748
6.8	237	19.9749843554
6.9	391.3333333333	71.8145760506
7	661	139.4740119162
7.1	1107.3333333333	128.6286645089
7.2	1497	86.6948672068
7.3	1467.3333333333	57.5007246331
7.4	1170.6666666667	24.5017006212
7.5	850	22.5166604984
7.6	546.3333333333	15.0443787952
7.7	352	14.7986485869
7.8	202	23.5159520326
7.9	140	5.1961524227
8	98.6666666667	6.4291005073
8.1	59	7.5498344353
8.2	44.6666666667	9.6090235369
8.3	38	8.7177978871
8.4	27.3333333333	2.8867513459
8.5	21.6666666667	2.0816659995
8.6	18	2
8.7	14.3333333333	5.1316014394
8.8	16.6666666667	4.6188021535
8.9	16.3333333333	1.5275252317
9	6.6666666667	3.0550504633
9.1	10.6666666667	2.0816659995
9.2	13.3333333333	4.7258156263
9.3	12	1.7320508076
9.4	10	2
9.5	12.3333333333	2.3094010768
9.6	15	4.3588989435
9.7	13.3333333333	3.2145502537
9.8	11.6666666667	4.0414518843
9.9	16	3
10	13	4
10.1	10.3333333333	4.9328828623
10.2	10.3333333333	4.0414518843
10.3	9.6666666667	3.2145502537
10.4	4.3333333333	0.5773502692
10.5	5	1
10.6	2.3333333333	2.3094010768
10.7	4.3333333333	0.5773502692
10.8	3	3.4641016151
10.9	5.6666666667	1.5275252317
11	3	2.6457513111
11.1	4.3333333333	4.0414518843
11.2	2.3333333333	1.5275252317
11.3	2.3333333333	3.2145502537
11.4	3.3333333333	1.1547005384
11.5	1	1
11.6	4.3333333333	1.1547005384
11.7	2.3333333333	1.5275252317
11.8	1	1
11.9	1.6666666667	0.5773502692
12	1.6666666667	2.8867513459
12.1	2	1
12.2	1.3333333333	1.5275252317
12.3	1.3333333333	1.1547005384
12.4	2.3333333333	1.5275252317
12.5	1.6666666667	2.0816659995
12.6	1	1.7320508076
12.7	2	1.7320508076
12.8	1.6666666667	2.0816659995
12.9	1.6666666667	2.0816659995
13	1.3333333333	1.5275252317
13.1	1	1
13.2	2	1
13.3	1	0
13.4	0	0
13.5	0.6666666667	1.1547005384
13.6	0	0
13.7	1.6666666667	1.1547005384
13.8	1	1
13.9	1	1.7320508076
14	0.6666666667	0.5773502692
14.1	0.6666666667	0.5773502692
14.2	2	1.7320508076
14.3	1.6666666667	2.0816659995
14.4	0.6666666667	0.5773502692
14.5	1	1
14.6	1	1
14.7	1	1
14.8	0.3333333333	0.5773502692
14.9	2.6666666667	3.7859388972
