#Buckets	Mean Jobs – 6 Keys	Std Dev – 6 Keys
0.1	0	0
0.2	88.3333333333	4.5092497528
0.3	10335.3333333333	748.2207784694
0.4	35997.3333333333	2418.9324780434
0.5	46302.3333333333	2567.5000162285
0.6	39593.3333333333	2107.7178021105
0.7	28180.3333333333	1857.9984750622
0.8	18553.6666666667	1431.6097000696
0.9	12369.6666666667	1189.0140172989
1	8797	907.7730994032
1.1	6360.3333333333	612.2755371018
1.2	4732.3333333333	602.8244631179
1.3	3665.3333333333	385.1159998407
1.4	2748.6666666667	331.7247855276
1.5	2138	229.9325988197
1.6	1687	189.4518408462
1.7	1282.6666666667	115.8029936285
1.8	1036	97.5551126287
1.9	875.3333333333	132.0315618833
2	773.3333333333	123.39097752
2.1	669	84.480767042
2.2	622.6666666667	33.2916405924
2.3	540	47.0319040652
2.4	499.6666666667	72.5695069112
2.5	452	48.1352261862
2.6	431	49.1121166312
2.7	385.3333333333	30.2709982216
2.8	337	32.0780298647
2.9	336.6666666667	36.0739980226
3	337.6666666667	12.7017059222
3.1	315	13.4536240471
3.2	287.3333333333	15.5670592384
3.3	297	13.8564064606
3.4	278	19.1572440607
3.5	275.3333333333	12.503332889
3.6	270	13
3.7	272.3333333333	34.0636658822
3.8	244.3333333333	62.9629520697
3.9	233.3333333333	18.929694486
4	197.6666666667	18.7171935218
4.1	190.6666666667	27.4286954362
4.2	171.6666666667	11.9303534454
4.3	167	6.9282032303
4.4	176	25.7099202644
4.5	188	32.1869538789
4.6	174	14.7986485869
4.7	152.3333333333	28.3078316607
4.8	133	26.6270539114
4.9	139	15.7162336455
5	136	5.2915026221
5.1	117.3333333333	7.6376261583
5.2	115.3333333333	14.5716619963
5.3	100.6666666667	12.6622799421
5.4	103	13.7477270849
5.5	100	13.1148770486
5.6	104	12.2882057274
5.7	95.3333333333	24.00694344
5.8	90	10.5830052443
5.9	98.3333333333	11.8462370959
6	87	26
6.1	91.6666666667	31.1822599138
6.2	101.3333333333	29.0229794014
6.3	112.6666666667	32.8684245642
6.4	134.3333333333	29.5691280449
6.5	147	23.5796522451
6.6	172.3333333333	39.0170902725
6.7	212.6666666667	51.1891915675
6.8	284.6666666667	72.2795498971
6.9	413.6666666667	61.0764548196
7	622.6666666667	103.8524594477
7.1	1108.3333333333	118.0945948523
7.2	1635.6666666667	141.7403729829
7.3	1769	170.4318045436
7.4	1745.3333333333	111.1500487329
7.5	1349.6666666667	114.3780281931
7.6	899.6666666667	49.3592274386
7.7	563	97.0772887961
7.8	383.6666666667	55.8241285945
7.9	238	29.7153159162
8	171.3333333333	32.8075194633
8.1	132	17.4355957742
8.2	91.3333333333	15.502687939
8.3	73.3333333333	19.0875177363
8.4	57.6666666667	7.0945988846
8.5	54.3333333333	6.4291005073
8.6	40	4
8.7	29.3333333333	3.7859388972
8.8	33	4.3588989435
8.9	25.6666666667	2.5166114784
9	31.6666666667	5.7735026919
9.1	24.3333333333	11.5036226178
9.2	25.6666666667	3.7859388972
9.3	23.3333333333	4.6188021535
9.4	20.3333333333	3.2145502537
9.5	21	3.4641016151
9.6	22.6666666667	10.0166528009
9.7	21.6666666667	8.5049005481
9.8	21	4.3588989435
9.9	22	6.0827625303
10	22.3333333333	2.3094010768
10.1	15.6666666667	4.7258156263
10.2	11.3333333333	3.2145502537
10.3	6.6666666667	1.1547005384
10.4	10	5.1961524227
10.5	6.6666666667	0.5773502692
10.6	5.3333333333	1.5275252317
10.7	7.6666666667	1.5275252317
10.8	5	1.7320508076
10.9	5.3333333333	0.5773502692
11	5	4
11.1	4	2.6457513111
11.2	5	2
11.3	2	1.7320508076
11.4	3.3333333333	4.1633319989
11.5	4	2.6457513111
11.6	5.3333333333	2.0816659995
11.7	2	1
11.8	3	2
11.9	2	1.7320508076
12	2.3333333333	3.2145502537
12.1	2.3333333333	1.1547005384
12.2	2	1
12.3	3.3333333333	1.5275252317
12.4	1.6666666667	1.1547005384
12.5	2.3333333333	2.5166114784
12.6	2	1
12.7	2.3333333333	2.0816659995
12.8	3	2
12.9	0.3333333333	0.5773502692
13	2	1
13.1	2	2
13.2	2.6666666667	1.1547005384
13.3	3.3333333333	1.5275252317
13.4	2.6666666667	0.5773502692
13.5	2.6666666667	1.5275252317
13.6	2.6666666667	1.1547005384
13.7	1	1.7320508076
13.8	2.3333333333	1.5275252317
13.9	3.3333333333	3.5118845843
14	1.3333333333	1.1547005384
14.1	0.6666666667	1.1547005384
14.2	1.6666666667	1.5275252317
14.3	1.3333333333	0.5773502692
14.4	0.6666666667	1.1547005384
14.5	2.3333333333	1.5275252317
14.6	0.3333333333	0.5773502692
14.7	1	1
14.8	1.3333333333	1.5275252317
14.9	0.6666666667	0.5773502692
