#Buckets	Mean jobs - Keys 1	Std jobs - Keys 1	Mean jobs - Keys 3	Std jobs - Keys 3	Mean jobs - Keys 6	Std jobs - Keys 6	Mean jobs - Keys 9	Std jobs - Keys 9
0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.2	5187.66666667	176.83199811	393.0	77.4209274034	30.0	4.54606056566	0.0	0.0
0.3	61306.0	2515.38983062	30446.6666667	1967.77121525	14424.0	451.380105897	5001.66666667	225.141930544
0.4	74471.0	2839.128857	63172.6666667	1751.27198218	49825.6666667	272.091079522	35217.6666667	1769.06987488
0.5	56303.3333333	1644.87757059	57231.0	949.743474137	54878.3333333	946.201294064	49863.0	2422.71762008
0.6	35982.6666667	1099.28047174	40949.3333333	887.900269675	43897.0	1539.34423267	45477.0	1700.61890695
0.7	20868.6666667	786.51820633	24851.0	562.299445729	29587.6666667	1162.79156439	32487.3333333	1007.98456778
0.8	12397.0	663.740913309	14543.0	313.695181134	17590.3333333	880.059972704	20315.6666667	744.602951616
0.9	8068.0	397.150685089	8949.33333333	50.4402837246	10773.0	635.295731661	12519.0	677.124803858
1.0	5573.0	248.021504444	6157.33333333	50.4997249717	7134.33333333	467.222526093	8000.66666667	440.160829193
1.1	3715.33333333	212.047688557	4241.33333333	130.267246672	4873.0	237.049924418	5535.0	248.431076961
1.2	2612.33333333	201.08759838	2996.66666667	149.544493565	3373.66666667	194.261564792	3903.0	119.132978921
1.3	1960.0	134.166563147	2233.33333333	82.4068497692	2492.66666667	138.140829912	2780.66666667	176.733949452
1.4	1511.33333333	96.5033102483	1615.33333333	68.8589540696	1812.33333333	122.79341278	2088.66666667	134.960076401
1.5	1185.33333333	57.004873086	1223.33333333	22.0504472114	1357.66666667	99.6304281945	1536.0	91.0201442905
1.6	944.666666667	47.8632310745	941.0	33.476359818	1033.33333333	60.9608253079	1191.66666667	81.1473282917
1.7	790.666666667	24.9042611258	795.333333333	61.8025529857	807.333333333	41.2499158248	980.0	77.6187262628
1.8	691.666666667	33.3099918276	690.666666667	43.4920171475	681.333333333	66.8048567762	794.0	67.9018900081
1.9	599.666666667	21.8225164044	566.666666667	57.7369513878	586.333333333	44.3796750276	644.0	81.9552723543
2.0	506.0	16.3910544709	524.333333333	46.9065264353	482.333333333	37.3660570869	572.666666667	44.5146667465
2.1	458.333333333	15.9652400198	493.333333333	38.4216374225	437.666666667	24.8506650928	480.666666667	31.8991466274
2.2	434.666666667	5.79271573233	464.666666667	35.6495285928	411.666666667	21.8225164044	433.333333333	12.9185482501
2.3	434.666666667	32.2214559296	420.0	37.2111094522	401.333333333	35.2357142053	425.0	9.2736184955
2.4	371.0	32.5678778349	394.333333333	57.1625362939	335.666666667	15.4560308258	393.0	7.48331477355
2.5	358.0	36.8872154908	372.333333333	57.279044064	360.0	26.9443871706	344.666666667	30.8688984074
2.6	334.666666667	19.6694913226	353.333333333	59.4773532999	369.0	29.6984848098	316.666666667	20.8539897595
2.7	334.333333333	2.49443825785	351.0	68.7071078322	330.333333333	35.0364889159	287.666666667	24.2807651353
2.8	311.333333333	29.9146935282	315.666666667	65.4437841883	336.666666667	4.0276819912	271.666666667	30.3021818063
2.9	296.0	28.5773803325	276.333333333	57.7831194112	306.333333333	25.9786236912	275.666666667	33.4697209762
3.0	289.666666667	7.71722460186	264.666666667	40.4337592723	303.0	12.56980509	277.333333333	34.1207007874
3.1	280.0	16.5126214353	255.666666667	56.4761503252	274.0	9.93310961717	248.333333333	28.2410261066
3.2	236.666666667	23.6690139681	235.666666667	53.574454941	265.0	16.9901932498	249.666666667	29.4542960458
3.3	237.666666667	7.31816613337	219.0	46.7831878634	267.0	9.41629792788	244.666666667	42.129430199
3.4	234.333333333	21.4838440591	195.666666667	23.7533623351	244.333333333	20.0720922898	238.0	45.7456737481
3.5	209.0	8.60232526704	194.333333333	20.2868320729	250.666666667	11.8977121984	205.333333333	43.713715112
