#Buckets	Mean jobs - Keys 1	Std jobs - Keys 1	Mean jobs - Keys 3	Std jobs - Keys 3	Mean jobs - Keys 6	Std jobs - Keys 6	Mean jobs - Keys 9	Std jobs - Keys 9
0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.2	6140.66666667	397.200481146	8.0	3.55902608401	0.0	0.0	0.0	0.0
0.3	68120.6666667	4072.39170786	4531.33333333	296.924606967	1858.33333333	145.23850117	559.0	56.6215506676
0.4	75911.6666667	4672.37629288	26502.0	1754.4374217	18310.6666667	1270.31159782	10829.6666667	629.308791894
0.5	54984.6666667	3450.70208637	42631.0	2055.34684826	37377.0	1977.47330365	29568.3333333	1340.20404748
0.6	34554.3333333	2877.80429417	42821.6666667	1418.07153871	41680.0	1874.38043097	38486.6666667	1477.37996316
0.7	19704.6666667	1717.98454268	32642.3333333	732.485418892	35226.3333333	1419.208778	35535.3333333	762.998179698
0.8	11927.3333333	1251.85205019	21888.3333333	415.047252999	25308.0	1425.69585349	26772.3333333	534.269178931
0.9	7448.66666667	796.87821459	14735.6666667	240.214256215	16963.0	1112.29162843	18053.0	407.873346355
1.0	5122.33333333	628.491492031	10590.3333333	346.227606576	11437.0	993.819903202	11973.0	234.36012175
1.1	3601.0	454.86041815	8019.0	225.157722497	8325.33333333	728.49128722	8293.66666667	123.381071842
1.2	2586.0	278.169013371	5917.0	171.604195753	6082.33333333	598.449292385	5986.33333333	132.565287898
1.3	1932.33333333	171.334630345	4465.33333333	137.262117457	4633.66666667	395.724932525	4301.33333333	164.094146419
1.4	1460.33333333	119.505462451	3413.0	207.518673859	3560.66666667	372.730763719	3321.66666667	120.654695539
1.5	1121.33333333	108.087413184	2643.0	117.314392411	2789.0	250.930269198	2481.66666667	63.8974873441
1.6	836.0	77.7045687202	2104.33333333	85.9857869392	2189.33333333	204.26344645	1950.66666667	12.2836838485
1.7	736.666666667	132.608027242	1628.0	56.8565446248	1733.66666667	162.756122943	1573.66666667	45.3455865793
1.8	616.666666667	74.0690368658	1309.0	107.004672795	1380.66666667	122.055542912	1268.66666667	19.6694913226
1.9	540.0	51.8459255873	1061.66666667	54.020572213	1133.33333333	88.8531872748	1072.0	26.4196896272
2.0	503.0	47.6934656601	965.0	64.6580750306	958.333333333	107.660990562	908.0	19.0962474499
2.1	471.333333333	42.129430199	879.666666667	77.1895214535	853.0	102.06860438	787.333333333	40.3677539077
2.2	429.666666667	43.8659574411	718.0	64.9153294685	768.0	73.7427962583	674.333333333	46.1471077702
2.3	383.666666667	32.0555074138	667.0	62.3591746792	692.0	52.1983396926	592.333333333	31.2552217859
2.4	348.333333333	18.1169043223	597.333333333	95.2412142346	632.0	57.2072256508	559.0	44.6989932773
2.5	367.333333333	22.8667638482	539.0	39.7324384687	586.0	49.8263651761	517.333333333	15.9234278833
2.6	337.333333333	34.4125300177	541.666666667	32.9679979509	526.0	33.5360502544	456.666666667	36.7453700787
2.7	291.0	9.41629792788	489.0	40.8982477212	494.0	38.4013888638	416.666666667	9.9777530314
2.8	308.333333333	31.668421004	465.333333333	43.774675581	448.666666667	40.6639343344	392.666666667	33.806639716
2.9	300.0	20.3141986469	456.666666667	32.427697352	410.666666667	30.025914733	387.333333333	48.0092583664
3.0	260.0	9.79795897113	399.0	16.2685791225	380.0	19.2527054376	393.333333333	21.5612821717
3.1	236.333333333	4.64279609239	373.0	10.1980390272	392.666666667	12.0369800568	388.333333333	22.4845626054
3.2	222.666666667	15.5420576358	343.666666667	25.4602086052	384.0	8.52447456836	361.0	30.2324329157
3.3	213.666666667	20.7578633026	319.333333333	18.9267594221	337.333333333	12.3917535303	386.0	26.2805377926
3.4	183.0	18.2391520271	307.0	19.2006944319	342.333333333	6.01849002842	339.333333333	21.6692306175
3.5	174.666666667	0.942809041582	289.666666667	19.4821855949	333.333333333	15.5848929701	345.333333333	13.2748718345
3.6	169.0	0.816496580928	302.666666667	5.90668171556	323.0	12.3288280059	360.333333333	16.7796172649
3.7	175.0	11.3431330181	257.666666667	15.9234278833	305.666666667	16.75974012	347.333333333	25.7725090401
3.8	166.333333333	9.5684667296	231.333333333	26.549743669	329.333333333	32.8261413443	326.0	24.344746182
3.9	151.333333333	3.3993463424	232.333333333	12.7104506433	287.0	45.284287194	335.0	22.861904266
4.0	127.333333333	2.62466929134	223.666666667	13.2999582288	267.0	12.6754355612	289.333333333	22.528993665
4.1	133.0	18.2391520271	216.666666667	22.9395340454	231.333333333	18.3545331972	286.333333333	19.4307888557
4.2	150.0	10.7082522695	217.333333333	30.5541413814	224.333333333	29.3181779031	271.0	14.9888847706
4.3	145.666666667	3.85861230093	217.0	18.9912260443	198.666666667	14.0554457615	257.0	10.6144555521
4.4	155.333333333	4.49691252108	235.333333333	14.5220139405	209.666666667	4.18993502999	273.666666667	10.6562449088
4.5	158.333333333	18.0061717814	219.333333333	23.4141457718	200.0	24.7790233867	266.666666667	18.8738502225
4.6	148.666666667	5.90668171556	214.666666667	10.3387082795	205.0	31.2729915422	278.0	13.4907375632
4.7	108.666666667	7.93025150225	193.333333333	15.839472494	203.0	4.54606056566	225.333333333	31.1804782231
4.8	108.333333333	13.8162545174	166.333333333	4.18993502999	176.0	27.3130005675	221.666666667	8.21921867063
4.9	106.666666667	20.5480466766	151.666666667	14.3372087784	159.666666667	16.0485374896	188.666666667	7.58653778449
5.0	98.6666666667	11.4406682012	178.0	2.44948974278	160.666666667	19.1543438647	181.333333333	8.80656320908
5.1	100.333333333	13.4742552876	147.0	7.87400787401	148.0	7.34846922835	172.333333333	15.9652400198
5.2	89.3333333333	7.93025150225	125.0	6.37704215657	145.666666667	20.4341761653	162.666666667	24.5673676969
5.3	95.3333333333	10.5303793326	122.333333333	2.35702260396	133.666666667	10.9645894689	149.0	10.1980390272
5.4	98.0	15.8954920234	128.333333333	9.80929264637	118.666666667	14.0079342596	143.333333333	5.24933858267
5.5	79.0	17.9629247804	123.666666667	5.43650214343	120.333333333	9.84321537349	137.666666667	12.2836838485
5.6	78.0	23.7907545067	107.333333333	11.0855260989	121.666666667	15.7550697308	140.333333333	6.54896090146
5.7	74.0	8.64098759788	122.333333333	5.43650214343	125.333333333	9.28559218479	122.0	9.89949493661
