#Buckets	Mean jobs - Keys 1	Std jobs - Keys 1	Mean jobs - Keys 3	Std jobs - Keys 3	Mean jobs - Keys 6	Std jobs - Keys 6	Mean jobs - Keys 9	Std jobs - Keys 9
0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.3	6.94557	2.57440553554	0.0	0.0	0.0	0.0	0.0	0.0
0.4	2215.73103	180.93880032	150.12618	19.1022147224	7.4709	2.20658618214	0.0	0.0
0.5	16578.88875	1015.73108191	4561.69305	322.812053023	1257.504	72.4009511867	240.52365	22.269300696
0.6	34037.26014	1558.58191947	17165.13561	669.044726859	8436.09108	175.594497633	3366.94188	212.594066974
0.7	40024.77669	1481.3974392	28025.43528	870.387697196	18943.56174	258.578153268	11278.60827	720.212594768
0.8	40134.45717	1348.17165308	34341.03918	630.774756729	27413.82624	310.604481455	20321.75322	1370.40816799
0.9	36170.90316	1202.74899365	35114.85054	770.472029688	32009.96292	565.310905743	27690.03021	1673.98918045
1.0	39276.74661	1337.77389992	43494.80175	1073.11247883	44712.57996	1462.35351119	43404.22311	2296.62672686
1.1	17920.09275	738.467741941	21391.59372	715.184493897	24484.29891	1011.83452196	25309.72041	1032.02167702
1.2	12860.40528	462.101369369	15808.61484	457.710240181	18524.64525	845.710144195	20120.19219	1024.03593856
1.3	9591.98661	564.761515237	11454.81705	314.397501016	13759.12527	610.095930393	15255.76473	701.343264245
1.4	7063.7472	463.430332476	8510.82471	326.556261522	10037.27127	526.901684696	11419.38996	638.529329439
1.5	5468.44173	298.737592717	6313.19094	263.515578268	7597.63803	432.424069374	8532.46386	457.804521955
1.6	4060.46259	227.683767319	4782.59775	338.542473222	5468.78277	290.742461366	6390.50529	441.769317024
1.7	3172.01238	202.309044614	3711.39816	187.698776569	4268.29893	297.206124095	4864.43667	262.383239747
1.8	2491.27479	135.248984739	2843.23557	187.055547357	3178.14912	181.157585534	3727.50087	192.297161985
