#Buckets	Mean jobs - Keys 1	Std jobs - Keys 1	Mean jobs - Keys 3	Std jobs - Keys 3	Mean jobs - Keys 6	Std jobs - Keys 6	Mean jobs - Keys 9	Std jobs - Keys 9
0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.3	7.04817	2.42433835225	0.0	0.0	0.0	0.0	0.0	0.0
0.4	2644.26339	255.314314357	4.19406	3.46330546721	0.0	0.0	0.0	0.0
0.5	19037.86116	1620.72700874	568.70436	26.5046506319	139.17912	3.05746460287	31.01592	0.461834333284
0.6	37644.09861	2916.25657249	3859.37229	285.101343738	1808.22324	96.7331595122	739.31994	81.3173802838
0.7	42284.41035	3254.64837697	10017.72147	705.120304556	6379.85973	414.750571361	3712.11669	222.026656292
0.8	40257.375	2632.71062542	17633.61825	1121.53305691	13345.99293	816.387227565	9431.6013	463.085818339
0.9	34976.14614	2491.95531645	24317.31498	1063.15144614	20636.42334	1023.21777978	16392.68415	986.598438163
1.0	37696.40127	3111.7883691	40006.23555	1541.97083908	36903.7272	1551.19905697	32761.62102	1470.88926743
1.1	16852.15923	1615.4313489	24155.0889	692.887069998	24828.00537	1136.8286511	23339.75955	675.207715008
1.2	12181.33182	1140.22640548	19698.74511	391.707358811	21619.75809	1385.44155904	21448.65417	578.924588849
1.3	8984.82318	851.892207541	15378.11376	216.662320804	17683.7628	1130.17322949	17966.50668	477.435488712
1.4	6750.37452	689.546279397	12083.622	200.592752341	13868.89167	1046.47474313	14225.73219	437.085535578
1.5	5239.11867	501.822264942	9576.76167	166.654044142	10878.39708	825.092429976	11019.93378	278.75361384
1.6	3932.34798	332.048738783	7502.3514	122.087486324	8343.20157	872.520878922	8398.40082	276.745949029
1.7	3140.35728	353.822264791	6124.14627	99.3853993385	6683.2947	662.361794205	6507.16848	173.786620914
1.8	2429.12484	169.656521476	4924.62597	104.863226655	5282.38479	551.791739221	5077.35813	120.59345696
