#Clients	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
6	1.35263760684	0.0116801406806	2.14588974359	0.0210216557616	1929.05211589	8.72871325778	120.599535089	0.546129065406	1755.56330513	20.6630696964
30	2.95031794872	0.068095919155	4.45412478632	0.103515374937	6202.21286058	81.2960133874	408.790826155	5.39047382486	4008.27275299	47.2930516348
48	3.22330940171	0.0357199952987	4.83843076923	0.042592909673	7038.65502304	123.428766864	464.296847456	8.11681329677	4066.95301282	81.2193762386
90	3.61074842578	0.15318005298	5.4182372449	0.199312522062	8780.72659923	371.312893283	579.666882718	24.6261532128	4031.76663001	96.822653784
132	4.10828974359	0.0347977451591	6.13818803419	0.0608354697357	10298.5340737	88.3172934509	679.592508847	5.82375835888	3946.82307009	61.2189049301
168	4.14208119658	0.159758258046	6.17512735043	0.214233016671	10538.4986144	185.953489039	695.58922526	12.452678593	3956.93157863	24.4119305625
192	4.51066923077	0.170971753412	6.47250512821	0.194698042478	10761.8415022	249.81010055	710.091771835	16.5470265853	3897.46764444	10.2943546902
252	4.808613884	0.248848492999	6.91073377047	0.294682202431	11232.0040393	367.049657752	740.854865711	24.1602137294	4119.45681279	93.6888303878
312	4.66385408103	0.0595445851878	6.75408740784	0.149947659146	11129.7400933	107.120756455	734.341670114	7.09945727287	4087.42743919	70.4000279956
384	4.72658374763	0.20310684213	6.91498249494	0.219696520773	11253.7712259	225.800942826	742.559090123	14.9113444656	4099.07324693	121.21623201
