#Clients	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
6	1.04964444444	0.00246524145735	1.61120769231	0.00717030456725	40.3724584335	0.182475859676	608.08946648	2.7608345318	1830.80179487	6.31137678082
30	1.70297179487	0.027710877914	2.4619974359	0.0332146402242	136.615958033	1.75667670778	2065.18230919	27.2121913386	2323.02613675	22.3633429448
48	1.79572222222	0.0205496471065	2.59537435897	0.0162658915703	155.493549679	2.58110574084	2344.75180205	41.2267613427	2384.50286923	58.2700065133
90	2.00969058085	0.0677771717489	2.82367172074	0.074368102044	194.146186258	8.29525860386	2927.16469594	123.650778511	2470.59577032	76.8113640554
132	2.21894871795	0.0291493608469	3.1023008547	0.0368307208151	227.66648137	1.9018823465	3433.70083216	29.6902576457	2574.83407009	8.60156236404
168	2.29797707314	0.0261419356566	3.1998057154	0.0590212187892	232.631169744	4.09118282611	3505.13026159	59.9995480715	2711.12606346	71.6170724267
192	2.44758717293	0.0885168857118	3.35925283188	0.109140094339	238.173306301	5.36030567815	3585.14774484	81.1002530936	2801.25605956	51.4599822485
252	2.63159286227	0.0706877605235	3.55075817838	0.107353200288	249.346475187	7.93157284294	3744.54944973	122.104963961	3311.96944046	101.057254389
312	2.6243017094	0.0306119567676	3.68411396229	0.0904764110962	249.08687166	1.90848476871	3711.30165317	36.1275879579	3389.34056567	105.817753868
384	2.720092523	0.059608744961	3.69208520911	0.0468865499707	258.584328787	7.24513937105	3754.92270706	75.6151697012	3515.45658509	70.2106487079
