#Virtual Clients per Thread,Number of Worker Threads,MW1: Timestamp - rep1,MW1: Timestamp - rep2,MW1: Timestamp - rep3,MW2: Timestamp - rep1,MW2: Timestamp - rep2,MW2: Timestamp - rep3
1,8,2126744054422.0,2361682369122.0,2595736567222.0,1952835044239.0,2187771357739.0,2421816418239.0
1,16,2831969471522.0,3066086546922.0,3301694152722.0,2658060503839.0,2892189833539.0,3127788625039.0
1,32,3534349864622.0,3770915330422.0,4005954755522.0,3360446140339.0,3596997219339.0,3832062126639.0
1,64,4240126047022.0,4477621024122.0,4715973006722.0,4066208264539.0,4303702644639.0,4542073669939.0
5,8,4952949776622.0,5186252774822.0,5419484667822.0,4779046454739.0,5012313132439.0,5245558935939.0
5,16,5659278505822.0,5893361272122.0,6128630097622.0,5485372291939.0,5719449271339.0,5954742303139.0
5,32,6362777750822.0,6598509275922.0,6834290840322.0,6188873976939.0,6424595698039.0,6660385307239.0
5,64,7070147298322.0,7310600942922.0,7550650084922.0,6896241066339.0,7136698134739.0,7376744167639.0
8,8,7790162111622.0,8023762134222.0,8257763555022.0,7616262495139.0,7849870603739.0,8083877690839.0
8,16,8493009315522.0,8727435930922.0,8962082312922.0,8319089182039.0,8553531184039.0,8788193911139.0
8,32,9198627696122.0,9434742802522.0,9671648075222.0,9024711897739.0,9260832132539.0,9497754759239.0
8,64,9909059042522.0,10151636697722.0,10403588678622.0,9735169158339.0,9977724256439.0,10229680256339.0
15,8,10643834770822.0,10879518772422.0,11113827044222.0,10469904378739.0,10705611740539.0,10939932787739.0
15,16,11349205274122.0,11585201525022.0,11822472104822.0,11175269616239.0,11411285548039.0,11648562675439.0
15,32,12058269789922.0,12298393717422.0,12537540171222.0,11884369701139.0,12124497304939.0,12363604121539.0
15,64,12775826800222.0,13018244216122.0,13261709349222.0,12601943958039.0,12844337797839.0,13087799618539.0
22,8,13503895223322.0,13740366855122.0,13975828361522.0,13329988513639.0,13566451619739.0,13801918186639.0
22,16,14210955070822.0,14449001525222.0,14686635283622.0,14037066919639.0,14275093893139.0,14512845697839.0
22,32,14923902722122.0,15163412464622.0,15402953759422.0,14750006318439.0,14989509248039.0,15229031097439.0
22,64,15643315513522.0,15887111745822.0,16136253492222.0,15469419375039.0,15713202211339.0,15962355640239.0
28,8,16381704775522.0,16619780418222.0,16858058717822.0,16207794984239.0,16445887549339.0,16684153759239.0
28,16,17095552745922.0,17333355680322.0,17571707559522.0,16921623072239.0,17159440618139.0,17397789569039.0
28,32,17809773638022.0,18052202435022.0,18293775912722.0,17635894609939.0,17878286434039.0,18119878462339.0
28,64,18534630540222.0,18781199649622.0,19026550465422.0,18360715688639.0,18607306314239.0,18852655362339.0
32,8,19272474555022.0,19510394557522.0,19763389859522.0,19098549446939.0,19336508412539.0,19589515310639.0
32,16,20000857380222.0,20240024321822.0,20480589351322.0,19826971234739.0,20066118279339.0,20306674923239.0
32,32,20719952171722.0,20961868564422.0,21204457465822.0,20546037565039.0,20787970447639.0,21030541618439.0
32,64,21447364922522.0,21695068841822.0,21950973967222.0,21273450924339.0,21521152191039.0,21777070738339.0
42,8,22201782237122.0,22444246580922.0,22684919466722.0,22027834957339.0,22270332364339.0,22511003766339.0
42,16,22927446735522.0,23169968719222.0,23418813552622.0,22753528016939.0,22996059222339.0,23244896481039.0
42,32,23661990576622.0,23907962581722.0,24152711679522.0,23488085689139.0,23734039840439.0,23978809646339.0
42,64,24398061287322.0,24652194865222.0,24904124767822.0,24224163336239.0,24478295560739.0,24730205837439.0
52,8,25157899132622.0,25400245526622.0,25643685258622.0,24983979226239.0,25226346961139.0,25469784261639.0
52,16,25887596902322.0,26133479101022.0,26380090443622.0,25713686148939.0,25959606833739.0,26206182318339.0
52,32,26624273935422.0,26871873988622.0,27120754913722.0,26450347897039.0,26697953802439.0,26946863195739.0
52,64,27368340073722.0,27622123577922.0,27883051509722.0,27194469135839.0,27448231012839.0,27709140986939.0
64,8,28133698852322.0,28405682673122.0,28651162535322.0,27959785665339.0,28231769214539.0,28477271214239.0
64,16,28898826051222.0,29147197283422.0,29411677752822.0,28724902574139.0,28973305035139.0,29237760711739.0
64,32,29658840943322.0,29910924391222.0,30156405509422.0,29484941770539.0,29737031640639.0,29982497928939.0
64,64,30406546217822.0,30661473838922.0,30914550257822.0,30232627433039.0,30487565880439.0,30740653915539.0
