#Clients,Mean Throughput [req/s] - 8 workers,Std Throughput - 8 workers,Mean Throughput [req/s] - 16 workers,Std Throughput - 16 workers,Mean Throughput [req/s] - 32 workers,Std Throughput - 32 workers,Mean Throughput [req/s] - 64 workers,Std Throughput - 64 workers
6.0,3142.69911847,0.0,3091.10355875,0.0,3086.69599231,0.0,3097.32755416,0.0
30.0,9103.85713118,0.0,12188.2775174,0.0,11928.2964862,0.0,11731.443265,0.0
48.0,8413.58973939,0.0,13871.3336403,0.0,14224.1175199,0.0,14852.4652253,0.0
90.0,7997.24350185,0.0,14028.9513406,0.0,18380.5906728,0.0,19706.9123576,0.0
132.0,7791.16573011,0.0,13934.5785973,0.0,18268.1028342,0.0,22647.8628477,0.0
168.0,7768.26498229,0.0,13161.5655834,0.0,17602.5371065,0.0,22440.2141193,0.0
192.0,7693.76989229,0.0,13039.5332171,0.0,17075.32725,0.0,22789.1849991,0.0
252.0,7732.84160809,0.0,12936.387289,0.0,16561.1127584,0.0,24416.3791064,0.0
312.0,7639.58204972,0.0,12926.553834,0.0,16426.6772876,0.0,25803.5577532,0.0
384.0,7684.23368376,0.0,12694.3130338,0.0,15839.5641762,0.0,27271.0119876,0.0
