#Number of Clients,Mean Throughput [req/s] - 8 WORKERS,Std Dev Throughput - 8 WORKERS,Response Time [ms] - 8 WORKERS,Mean Throughput [req/s] - 16 WORKERS,Std Dev Throughput - 16 WORKERS,Response Time [ms] - 16 WORKERS,Mean Throughput [req/s] - 32 WORKERS,Std Dev Throughput - 32 WORKERS,Response Time [ms] - 32 WORKERS,Mean Throughput [req/s] - 64 WORKERS,Std Dev Throughput - 64 WORKERS,Response Time [ms] - 64 WORKERS
6,2439.94967991,36.7792290564,2.45906710676,2379.47139181,22.8286393568,2.52156845451,2356.06731611,8.88380193354,2.54661654146,2485.52188252,0.0,2.41397995415
30,7286.38072143,38.9527958224,4.11727044564,8654.29828188,236.833846911,3.46648555699,7943.65389757,898.752733482,3.77659958337,8019.41400569,193.921650136,3.74092171556
48,7121.35489556,90.8932849682,6.74029039473,9174.50659078,437.238791674,5.23188898771,8963.96970614,320.848650903,5.35477043917,9171.37620057,90.861746222,5.23367474524
90,7172.13541743,69.3148378677,12.5485639579,10093.4616363,342.311495398,8.91666340476,11828.5006174,238.720882501,7.60874120154,11796.0522787,285.490979859,7.62967117078
132,7020.01544793,179.849522888,18.8033774255,10177.2570742,708.248588195,12.9700958753,12275.8056421,298.591701375,10.752858415,13650.9285214,302.883531373,9.66967190499
168,7158.31002357,53.2377963698,23.4692265977,10135.1344183,37.0631034825,16.5760011723,12286.834684,539.615446612,13.6731716769,14014.8287466,234.962012911,11.9873030943
192,7085.27765209,63.6150966126,27.0984440452,10619.2685744,439.318158831,18.0803412828,12189.681545,449.646286339,15.7510267427,14120.4055918,315.54845203,13.5973431323
252,7166.36681588,58.1383513746,35.1642619579,10718.9298519,438.749116647,23.5098096062,12439.6929607,429.572072038,20.2577347204,14782.4271994,463.312503923,17.0472681245
312,7003.66469253,172.159637215,44.5481064124,11229.8243287,67.2607003414,27.7831594572,13070.0781647,313.121803258,23.8713186003,14646.938309,195.021202941,21.3013800849
384,7049.44529154,162.581377296,54.4723711043,10738.0558686,611.675451222,35.7606632615,12968.6025933,479.590086648,29.6099751101,14801.3074406,339.520779567,25.9436540684
